mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6554,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 56, 'TODOS': 0, 'VAMOS': 58, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 12, 'SEMILLA': 34, 'FCN-NACION': 8, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 13, 'CREO': 0, 'BIEN': 2, 'VIVA': 42, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",20,27,318,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0696,presidente
6555,,"{'UNE': 15, 'AZUL': 3, 'VALOR UNIONISTA': 17, 'CABAL': 56, 'TODOS': 1, 'VAMOS': 54, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 60, 'FCN-NACION': 5, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 7, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",19,38,337,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0696,presidente
6556,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 29, 'CABAL': 57, 'TODOS': 1, 'VAMOS': 35, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 15, 'SEMILLA': 40, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 11, 'CREO': 1, 'BIEN': 2, 'VIVA': 30, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 15}",35,30,337,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0696,presidente
6557,,"{'UNE': 15, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 60, 'TODOS': 2, 'VAMOS': 54, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 12, 'CREO': 3, 'BIEN': 3, 'VIVA': 34, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 15}",31,36,336,1,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0696,presidente
6558,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 58, 'TODOS': 0, 'VAMOS': 43, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 15, 'SEMILLA': 46, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 12, 'CREO': 1, 'BIEN': 5, 'VIVA': 43, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 12}",25,37,336,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0696,presidente
6559,,"{'UNE': 14, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 49, 'TODOS': 1, 'VAMOS': 27, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 17, 'SEMILLA': 43, 'FCN-NACION': 4, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 5, 'VIVA': 32, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 17}",19,34,287,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0696,presidente
6560,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 45, 'TODOS': 1, 'VAMOS': 46, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 12, 'SEMILLA': 39, 'FCN-NACION': 4, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 7, 'VIVA': 30, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 17}",18,38,314,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0696,presidente
6561,,"{'UNE': 11, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 55, 'TODOS': 2, 'VAMOS': 38, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 13, 'SEMILLA': 48, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 4, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 18}",16,39,304,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0696,presidente
6562,,"{'UNE': 9, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 27, 'TODOS': 1, 'VAMOS': 32, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 86, 'FCN-NACION': 6, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 6, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",15,43,300,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0697,presidente
6563,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 35, 'TODOS': 1, 'VAMOS': 41, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 93, 'FCN-NACION': 4, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",11,38,297,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0697,presidente
6564,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 38, 'TODOS': 0, 'VAMOS': 26, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 63, 'FCN-NACION': 4, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",5,17,208,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0697,presidente
6565,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 40, 'TODOS': 1, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 31, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",10,18,180,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0697,presidente
6566,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 74, 'CABAL': 28, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 4, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 7}",22,64,294,86,Sumas Asentadas sin cuadrar,3.Chimaltenango,10.Santa Cruz Balanyá,0698,presidente
6567,,"{'UNE': 20, 'AZUL': 1, 'VALOR UNIONISTA': 61, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 24, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 24, 'FCN-NACION': 7, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 2, 'VIVA': 30, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 12}",24,49,299,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0698,presidente
6568,,"{'UNE': 10, 'AZUL': 0, 'VALOR UNIONISTA': 66, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 30, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 3, 'VIVA': 37, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 9}",13,60,282,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0698,presidente
6569,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 36, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 0, 'VIVA': 26, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",4,34,169,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0698,presidente
6570,,"{'UNE': 8, 'AZUL': 0, 'VALOR UNIONISTA': 36, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 0, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",4,32,170,0,Algún campo sin dato,3.Chimaltenango,10.Santa Cruz Balanyá,0698,presidente
