mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6572,,"{'UNE': 32, 'AZUL': 4, 'VALOR UNIONISTA': 9, 'CABAL': 7, 'TODOS': 10, 'VAMOS': 40, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 40, 'SEMILLA': 22, 'FCN-NACION': 2, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 7}",40,39,291,0,Algún campo sin dato,3.Chimaltenango,11.Acatenango,0700,presidente
6573,,"{'UNE': 36, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 11, 'TODOS': 22, 'VAMOS': 32, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 43, 'SEMILLA': 17, 'FCN-NACION': 2, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",40,39,299,0,Algún campo sin dato,3.Chimaltenango,11.Acatenango,0700,presidente
6574,,"{'UNE': 35, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 11, 'TODOS': 10, 'VAMOS': 38, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 44, 'SEMILLA': 15, 'FCN-NACION': 4, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 2, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",61,47,328,2,Algún campo sin dato,3.Chimaltenango,11.Acatenango,0700,presidente
6575,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 11, 'TODOS': 19, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 65, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",64,53,311,0,Algún campo sin dato,3.Chimaltenango,11.Acatenango,0700,presidente
6576,,"{'UNE': 43, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 18, 'TODOS': 12, 'VAMOS': 27, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 84, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 2, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",37,34,303,0,Algún campo sin dato,3.Chimaltenango,11.Acatenango,0700,presidente
6577,,"{'UNE': 34, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 22, 'TODOS': 9, 'VAMOS': 48, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 58, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 23, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 5}",44,43,312,0,Algún campo sin dato,3.Chimaltenango,11.Acatenango,0700,presidente
6578,,"{'UNE': 21, 'AZUL': 4, 'VALOR UNIONISTA': 9, 'CABAL': 13, 'TODOS': 8, 'VAMOS': 32, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 42, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 0, 'UR': 7, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 5}",52,65,296,0,Algún campo sin dato,3.Chimaltenango,11.Acatenango,0700,presidente
6579,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 13, 'TODOS': 5, 'VAMOS': 27, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 55, 'SEMILLA': 12, 'FCN-NACION': 5, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 2, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",66,59,314,0,Algún campo sin dato,3.Chimaltenango,11.Acatenango,0700,presidente
6580,,"{'UNE': 33, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 11, 'TODOS': 12, 'VAMOS': 43, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 53, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 0, 'VIVA': 13, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 14}",47,37,312,0,Algún campo sin dato,3.Chimaltenango,11.Acatenango,0700,presidente
6581,,"{'UNE': 33, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 12, 'TODOS': 20, 'VAMOS': 38, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 42, 'SEMILLA': 32, 'FCN-NACION': 1, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 9}",45,42,319,0,Algún campo sin dato,3.Chimaltenango,11.Acatenango,0700,presidente
