mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6659,,"{'UNE': 36, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 19, 'TODOS': 3, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 3, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 33, 'FCN-NACION': 4, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 7, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",23,53,265,0,Algún campo sin dato,3.Chimaltenango,13.San Andrés Itzapa,0713,presidente
6660,,"{'UNE': 21, 'AZUL': 4, 'VALOR UNIONISTA': 19, 'CABAL': 14, 'TODOS': 5, 'VAMOS': 13, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 7, 'SEMILLA': 25, 'FCN-NACION': 2, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 6, 'VIVA': 33, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 10}",28,51,260,2,,3.Chimaltenango,13.San Andrés Itzapa,0713,presidente
6661,,"{'UNE': 24, 'AZUL': 4, 'VALOR UNIONISTA': 32, 'CABAL': 21, 'TODOS': 9, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 9, 'VICTORIA': 7, 'SEMILLA': 26, 'FCN-NACION': 5, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 1, 'VIVA': 37, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 9}",22,47,284,0,Algún campo sin dato,3.Chimaltenango,13.San Andrés Itzapa,0713,presidente
6662,,"{'UNE': 27, 'AZUL': 4, 'VALOR UNIONISTA': 25, 'CABAL': 18, 'TODOS': 2, 'VAMOS': 24, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 10, 'SEMILLA': 31, 'FCN-NACION': 4, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 3, 'VIVA': 33, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 9}",27,56,295,1,,3.Chimaltenango,13.San Andrés Itzapa,0713,presidente
6663,,"{'UNE': 20, 'AZUL': 3, 'VALOR UNIONISTA': 28, 'CABAL': 19, 'TODOS': 5, 'VAMOS': 14, 'PHG': 3, 'PR': 4, 'PIN': 1, 'ELEFANTE': 7, 'VICTORIA': 8, 'SEMILLA': 24, 'FCN-NACION': 7, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 9, 'CREO': 4, 'BIEN': 2, 'VIVA': 30, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 11}",21,42,271,0,Algún campo sin dato,3.Chimaltenango,13.San Andrés Itzapa,0714,presidente
6664,,"{'UNE': 25, 'AZUL': 3, 'VALOR UNIONISTA': 21, 'CABAL': 24, 'TODOS': 3, 'VAMOS': 14, 'PHG': 1, 'PR': 6, 'PIN': 3, 'ELEFANTE': 4, 'VICTORIA': 10, 'SEMILLA': 35, 'FCN-NACION': 1, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 2, 'VIVA': 26, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 15}",24,44,279,0,Algún campo sin dato,3.Chimaltenango,13.San Andrés Itzapa,0714,presidente
6665,,"{'UNE': 26, 'AZUL': 6, 'VALOR UNIONISTA': 26, 'CABAL': 19, 'TODOS': 3, 'VAMOS': 15, 'PHG': 0, 'PR': 4, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 34, 'FCN-NACION': 3, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 3, 'VIVA': 29, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 13}",23,43,278,0,Algún campo sin dato,3.Chimaltenango,13.San Andrés Itzapa,0714,presidente
6666,,"{'UNE': 33, 'AZUL': 6, 'VALOR UNIONISTA': 31, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 20, 'PHG': 1, 'PR': 7, 'PIN': 0, 'ELEFANTE': 9, 'VICTORIA': 4, 'SEMILLA': 36, 'FCN-NACION': 6, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 9, 'CREO': 3, 'BIEN': 3, 'VIVA': 29, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 14}",19,36,288,0,Algún campo sin dato,3.Chimaltenango,13.San Andrés Itzapa,0714,presidente
6667,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 23, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 15, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 7, 'SEMILLA': 31, 'FCN-NACION': 2, 'PPN': 5, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 5, 'BIEN': 4, 'VIVA': 24, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 10}",33,42,265,0,Algún campo sin dato,3.Chimaltenango,13.San Andrés Itzapa,0714,presidente
6668,,"{'UNE': 26, 'AZUL': 2, 'VALOR UNIONISTA': 22, 'CABAL': 26, 'TODOS': 3, 'VAMOS': 15, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 8, 'SEMILLA': 38, 'FCN-NACION': 1, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 3, 'VIVA': 25, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 6}",33,33,270,0,Algún campo sin dato,3.Chimaltenango,13.San Andrés Itzapa,0714,presidente
