mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6705,,"{'UNE': 37, 'AZUL': 5, 'VALOR UNIONISTA': 16, 'CABAL': 50, 'TODOS': 0, 'VAMOS': 25, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 24, 'FCN-NACION': 2, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 3, 'VIVA': 24, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",23,51,286,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6706,,"{'UNE': 27, 'AZUL': 3, 'VALOR UNIONISTA': 20, 'CABAL': 43, 'TODOS': 1, 'VAMOS': 20, 'PHG': 6, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 9, 'SEMILLA': 28, 'FCN-NACION': 2, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 4, 'BIEN': 5, 'VIVA': 30, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 13}",10,52,296,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6707,,"{'UNE': 25, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 51, 'TODOS': 1, 'VAMOS': 24, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 32, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 4, 'VIVA': 34, 'MI FAMILIA': 10, 'CAMBIO': 0, 'VOS': 10}",11,50,288,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6708,,"{'UNE': 34, 'AZUL': 5, 'VALOR UNIONISTA': 14, 'CABAL': 53, 'TODOS': 1, 'VAMOS': 30, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 30, 'FCN-NACION': 1, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 3, 'VIVA': 20, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 8}",16,56,296,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6709,,"{'UNE': 29, 'AZUL': 3, 'VALOR UNIONISTA': 23, 'CABAL': 34, 'TODOS': 2, 'VAMOS': 30, 'PHG': 2, 'PR': 4, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 29, 'FCN-NACION': 2, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 8, 'CREO': 7, 'BIEN': 8, 'VIVA': 21, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 11}",31,49,317,0,Sumas Asentadas sin cuadrar,3.Chimaltenango,14.Parramos,0721,presidente
6710,,"{'UNE': 32, 'AZUL': 3, 'VALOR UNIONISTA': 18, 'CABAL': 55, 'TODOS': 1, 'VAMOS': 23, 'PHG': 5, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 5, 'VIVA': 21, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 14}",23,43,292,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6711,,"{'UNE': 34, 'AZUL': 6, 'VALOR UNIONISTA': 21, 'CABAL': 62, 'TODOS': 1, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 33, 'FCN-NACION': 2, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 2, 'VIVA': 27, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 7}",22,50,310,0,Sumas Asentadas sin cuadrar,3.Chimaltenango,14.Parramos,0721,presidente
6712,,"{'UNE': 24, 'AZUL': 4, 'VALOR UNIONISTA': 15, 'CABAL': 66, 'TODOS': 0, 'VAMOS': 29, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 5, 'VIVA': 21, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 6}",28,54,300,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6713,,"{'UNE': 28, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 66, 'TODOS': 0, 'VAMOS': 33, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 49, 'FCN-NACION': 3, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 1, 'VIVA': 24, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 9}",29,34,320,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6714,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 24, 'CABAL': 63, 'TODOS': 2, 'VAMOS': 31, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 37, 'FCN-NACION': 3, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 5, 'VIVA': 25, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 13}",20,43,324,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6715,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 23, 'CABAL': 37, 'TODOS': 2, 'VAMOS': 15, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 39, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 4, 'VIVA': 31, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 16}",14,42,266,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6716,,"{'UNE': 26, 'AZUL': 3, 'VALOR UNIONISTA': 24, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 7, 'SEMILLA': 48, 'FCN-NACION': 3, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 19, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 15}",13,55,271,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6717,,"{'UNE': 29, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 40, 'TODOS': 1, 'VAMOS': 21, 'PHG': 4, 'PR': 2, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 3, 'VIVA': 26, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 12}",9,48,261,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6718,,"{'UNE': 24, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 33, 'TODOS': 1, 'VAMOS': 20, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 2, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 7, 'VIVA': 21, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 10}",18,56,272,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6719,,"{'UNE': 20, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 32, 'TODOS': 1, 'VAMOS': 33, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 40, 'FCN-NACION': 3, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 4, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 17}",8,59,277,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6720,,"{'UNE': 29, 'AZUL': 3, 'VALOR UNIONISTA': 15, 'CABAL': 42, 'TODOS': 2, 'VAMOS': 22, 'PHG': 3, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 7, 'UR': 3, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 6, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",17,51,275,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6721,,"{'UNE': 25, 'AZUL': 5, 'VALOR UNIONISTA': 20, 'CABAL': 53, 'TODOS': 2, 'VAMOS': 13, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 2, 'VIVA': 20, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 19}",15,42,274,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
6722,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 16, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 22, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 47, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 13}",20,38,250,0,Algún campo sin dato,3.Chimaltenango,14.Parramos,0721,presidente
