mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6731,,"{'UNE': 45, 'AZUL': 1, 'VALOR UNIONISTA': 27, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 6, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 8, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 3, 'UR': 6, 'URNG-MAIZ WINAQ': 13, 'CREO': 1, 'BIEN': 2, 'VIVA': 34, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 11}",12,49,285,0,Algún campo sin dato,3.Chimaltenango,15.Zaragoza,0723,presidente
6732,,"{'UNE': 31, 'AZUL': 1, 'VALOR UNIONISTA': 33, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 7, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 5, 'UR': 7, 'URNG-MAIZ WINAQ': 13, 'CREO': 0, 'BIEN': 5, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 15}",8,48,283,0,Algún campo sin dato,3.Chimaltenango,15.Zaragoza,0723,presidente
6733,,"{'UNE': 35, 'AZUL': 2, 'VALOR UNIONISTA': 42, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 9, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 6, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 3, 'VIVA': 35, 'MI FAMILIA': 7, 'CAMBIO': 2, 'VOS': 11}",17,52,293,0,Algún campo sin dato,3.Chimaltenango,15.Zaragoza,0723,presidente
6734,,"{'UNE': 39, 'AZUL': 2, 'VALOR UNIONISTA': 42, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 6, 'VICTORIA': 11, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 1, 'VIVA': 22, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 9}",7,40,263,0,Algún campo sin dato,3.Chimaltenango,15.Zaragoza,0723,presidente
6735,,"{'UNE': 45, 'AZUL': 2, 'VALOR UNIONISTA': 33, 'CABAL': 31, 'TODOS': 1, 'VAMOS': 9, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 8, 'SEMILLA': 19, 'FCN-NACION': 4, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 3, 'VIVA': 41, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 14}",10,36,281,0,Algún campo sin dato,3.Chimaltenango,15.Zaragoza,0723,presidente
6736,,"{'UNE': 42, 'AZUL': 3, 'VALOR UNIONISTA': 28, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 10, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 6, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 6, 'UR': 6, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 4, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 11}",5,49,258,0,Algún campo sin dato,3.Chimaltenango,15.Zaragoza,0723,presidente
6737,,"{'UNE': 43, 'AZUL': 4, 'VALOR UNIONISTA': 35, 'CABAL': 17, 'TODOS': 2, 'VAMOS': 9, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 6, 'SEMILLA': 26, 'FCN-NACION': 2, 'PPN': 6, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 10, 'VIVA': 27, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 10}",8,40,264,0,Algún campo sin dato,3.Chimaltenango,15.Zaragoza,0723,presidente
6738,,"{'UNE': 26, 'AZUL': 11, 'VALOR UNIONISTA': 38, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 9, 'SEMILLA': 27, 'FCN-NACION': 6, 'PPN': 7, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 4, 'VIVA': 35, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 11}",9,59,296,0,Algún campo sin dato,3.Chimaltenango,15.Zaragoza,0723,presidente
6739,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 36, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 13, 'PHG': 2, 'PR': 4, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 38, 'FCN-NACION': 2, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 5, 'BIEN': 4, 'VIVA': 23, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 17}",15,57,298,0,Algún campo sin dato,3.Chimaltenango,15.Zaragoza,0724,presidente
6740,,"{'UNE': 33, 'AZUL': 5, 'VALOR UNIONISTA': 28, 'CABAL': 27, 'TODOS': 2, 'VAMOS': 18, 'PHG': 0, 'PR': 3, 'PIN': 2, 'ELEFANTE': 5, 'VICTORIA': 11, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 9, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 4, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",16,44,275,0,Algún campo sin dato,3.Chimaltenango,15.Zaragoza,0724,presidente
6741,,"{'UNE': 32, 'AZUL': 2, 'VALOR UNIONISTA': 31, 'CABAL': 23, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 11, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 7, 'UR': 7, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 5, 'VIVA': 41, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 12}",18,46,293,0,Algún campo sin dato,3.Chimaltenango,15.Zaragoza,0724,presidente
6742,,"{'UNE': 57, 'AZUL': 2, 'VALOR UNIONISTA': 31, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 8, 'VICTORIA': 7, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 5, 'UR': 8, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 1, 'VIVA': 38, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 16}",8,50,298,0,Algún campo sin dato,3.Chimaltenango,15.Zaragoza,0724,presidente
6743,,"{'UNE': 20, 'AZUL': 2, 'VALOR UNIONISTA': 29, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 31, 'FCN-NACION': 4, 'PPN': 10, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 6, 'VIVA': 35, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 19}",8,49,263,56,Sumas Asentadas sin cuadrar,3.Chimaltenango,15.Zaragoza,0724,presidente
6744,,"{'UNE': 21, 'AZUL': 2, 'VALOR UNIONISTA': 26, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 36, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 7, 'VIVA': 28, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 16}",12,50,252,0,Algún campo sin dato,3.Chimaltenango,15.Zaragoza,0724,presidente
