mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6769,,"{'UNE': 22, 'AZUL': 5, 'VALOR UNIONISTA': 18, 'CABAL': 34, 'TODOS': 2, 'VAMOS': 40, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 42, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 3, 'VIVA': 29, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 5}",19,50,300,0,Algún campo sin dato,3.Chimaltenango,16.El Tejar,0730,presidente
6770,,"{'UNE': 21, 'AZUL': 4, 'VALOR UNIONISTA': 17, 'CABAL': 23, 'TODOS': 2, 'VAMOS': 19, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 38, 'FCN-NACION': 1, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 5, 'VIVA': 32, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 14}",16,69,287,0,Algún campo sin dato,3.Chimaltenango,16.El Tejar,0730,presidente
6771,,"{'UNE': 23, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 27, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 9, 'SEMILLA': 39, 'FCN-NACION': 3, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 6, 'BIEN': 9, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 21}",6,46,280,0,Algún campo sin dato,3.Chimaltenango,16.El Tejar,0730,presidente
6772,,"{'UNE': 16, 'AZUL': 3, 'VALOR UNIONISTA': 15, 'CABAL': 38, 'TODOS': 1, 'VAMOS': 28, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 29, 'SEMILLA': 36, 'FCN-NACION': 5, 'PPN': 6, 'UR': 7, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 13, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 16}",15,44,315,0,Sumas Asentadas sin cuadrar,3.Chimaltenango,16.El Tejar,0730,presidente
6773,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,,3.Chimaltenango,16.El Tejar,0730,presidente
6774,,"{'UNE': 13, 'AZUL': 2, 'VALOR UNIONISTA': 22, 'CABAL': 30, 'TODOS': 1, 'VAMOS': 23, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 4, 'VIVA': 38, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 15}",8,52,284,0,,3.Chimaltenango,16.El Tejar,0730,presidente
6775,,"{'UNE': 22, 'AZUL': 3, 'VALOR UNIONISTA': 17, 'CABAL': 32, 'TODOS': 0, 'VAMOS': 25, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 13, 'SEMILLA': 41, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 4, 'VIVA': 29, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 11}",12,58,291,0,Algún campo sin dato,3.Chimaltenango,16.El Tejar,0730,presidente
6776,,"{'UNE': 15, 'AZUL': 5, 'VALOR UNIONISTA': 15, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 31, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 34, 'FCN-NACION': 6, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 6, 'VIVA': 33, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 7}",9,65,281,0,Algún campo sin dato,3.Chimaltenango,16.El Tejar,0730,presidente
6777,,"{'UNE': 18, 'AZUL': 4, 'VALOR UNIONISTA': 13, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 11, 'SEMILLA': 48, 'FCN-NACION': 3, 'PPN': 0, 'UR': 7, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 6, 'VIVA': 26, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 24}",4,41,256,0,Algún campo sin dato,3.Chimaltenango,16.El Tejar,0730,presidente
6778,,"{'UNE': 8, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 23, 'TODOS': 2, 'VAMOS': 20, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 49, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 8, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 18}",4,46,243,0,Algún campo sin dato,3.Chimaltenango,16.El Tejar,0730,presidente
6779,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 29, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 5, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 3, 'UR': 7, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 8, 'VIVA': 29, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 15}",6,57,273,0,Algún campo sin dato,3.Chimaltenango,16.El Tejar,0730,presidente
6780,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 21, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 12, 'SEMILLA': 50, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 11, 'VIVA': 28, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 19}",8,37,261,0,Sumas Asentadas sin cuadrar,3.Chimaltenango,16.El Tejar,0730,presidente
6781,,"{'UNE': 16, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 53, 'FCN-NACION': 0, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 7, 'CREO': 7, 'BIEN': 3, 'VIVA': 37, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 16}",5,45,261,0,Algún campo sin dato,3.Chimaltenango,16.El Tejar,0730,presidente
