mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6039,,"{'UNE': 36, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 91, 'TODOS': 0, 'VAMOS': 45, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 6, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 1, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",40,60,341,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0641,presidente
6040,,"{'UNE': 42, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 61, 'TODOS': 1, 'VAMOS': 62, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 3, 'VIVA': 44, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 13}",43,58,347,0,Sumas Asentadas sin cuadrar,3.Chimaltenango,2.San José Poaquil,0641,presidente
6041,,"{'UNE': 32, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 60, 'TODOS': 0, 'VAMOS': 59, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 2, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",36,57,319,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0641,presidente
6042,,"{'UNE': 32, 'AZUL': 5, 'VALOR UNIONISTA': 2, 'CABAL': 74, 'TODOS': 1, 'VAMOS': 53, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 1, 'VIVA': 31, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 11}",30,65,339,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0641,presidente
6043,,"{'UNE': 27, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 68, 'TODOS': 0, 'VAMOS': 42, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 8, 'VICTORIA': 7, 'SEMILLA': 14, 'FCN-NACION': 3, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 3, 'BIEN': 1, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",32,64,334,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0641,presidente
6044,,"{'UNE': 36, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 84, 'TODOS': 0, 'VAMOS': 47, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 3, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 35, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",20,64,332,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0641,presidente
6045,,"{'UNE': 38, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 70, 'TODOS': 1, 'VAMOS': 44, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 10}",28,84,338,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0641,presidente
6046,,"{'UNE': 24, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 93, 'TODOS': 2, 'VAMOS': 25, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 5, 'VIVA': 42, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 14}",26,71,344,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0641,presidente
6047,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 85, 'TODOS': 1, 'VAMOS': 42, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 18, 'FCN-NACION': 2, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 3, 'VIVA': 27, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 17}",22,58,338,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0641,presidente
6048,,"{'UNE': 27, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 73, 'TODOS': 1, 'VAMOS': 42, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 19, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 2, 'VIVA': 41, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 19}",23,74,343,0,Sumas Asentadas sin cuadrar,3.Chimaltenango,2.San José Poaquil,0642,presidente
6049,,"{'UNE': 31, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 73, 'TODOS': 2, 'VAMOS': 43, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 5, 'SEMILLA': 15, 'FCN-NACION': 3, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 15, 'CREO': 0, 'BIEN': 0, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 21}",23,67,353,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0642,presidente
6050,,"{'UNE': 38, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 94, 'TODOS': 0, 'VAMOS': 49, 'PHG': 6, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 13, 'CREO': 0, 'BIEN': 2, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 21}",16,59,357,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0642,presidente
6051,,"{'UNE': 24, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 96, 'TODOS': 0, 'VAMOS': 38, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 6, 'SEMILLA': 12, 'FCN-NACION': 3, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 2, 'VIVA': 24, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 12}",34,53,325,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0643,presidente
6052,,"{'UNE': 29, 'AZUL': 4, 'VALOR UNIONISTA': 5, 'CABAL': 75, 'TODOS': 1, 'VAMOS': 35, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 10, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 1, 'VIVA': 38, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 23}",16,75,333,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0643,presidente
6053,,"{'UNE': 27, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 47, 'TODOS': 0, 'VAMOS': 26, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 1, 'VIVA': 37, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",13,72,274,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0643,presidente
6054,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 49, 'TODOS': 0, 'VAMOS': 27, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 7, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 7, 'VIVA': 39, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 16}",17,79,295,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0644,presidente
6055,,"{'UNE': 33, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 60, 'TODOS': 1, 'VAMOS': 19, 'PHG': 0, 'PR': 3, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 13, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 0, 'VIVA': 30, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 16}",16,68,279,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0644,presidente
6056,,"{'UNE': 25, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 64, 'TODOS': 0, 'VAMOS': 30, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 2, 'SEMILLA': 26, 'FCN-NACION': 3, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 4, 'VIVA': 37, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 19}",10,56,302,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0644,presidente
6057,,"{'UNE': 15, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 51, 'TODOS': 0, 'VAMOS': 19, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 61, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 9, 'VIVA': 30, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 21}",13,58,300,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0644,presidente
6058,,"{'UNE': 8, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 40, 'TODOS': 1, 'VAMOS': 16, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 58, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 4, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 23}",7,74,281,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0644,presidente
6059,,"{'UNE': 25, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 60, 'TODOS': 1, 'VAMOS': 30, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 3, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 1, 'VIVA': 36, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",12,62,297,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0644,presidente
6060,,"{'UNE': 21, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 74, 'TODOS': 1, 'VAMOS': 36, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 23}",10,62,298,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0644,presidente
6061,,"{'UNE': 21, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 75, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 8, 'VICTORIA': 5, 'SEMILLA': 30, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 45, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",11,74,310,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0644,presidente
6062,,"{'UNE': 22, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 67, 'TODOS': 0, 'VAMOS': 39, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 4, 'SEMILLA': 24, 'FCN-NACION': 3, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 14}",7,70,284,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0644,presidente
6063,,"{'UNE': 18, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 65, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 1, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",18,45,241,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0644,presidente
6064,,"{'UNE': 57, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 69, 'TODOS': 0, 'VAMOS': 49, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 15}",31,58,309,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0645,presidente
6065,,"{'UNE': 52, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 49, 'TODOS': 3, 'VAMOS': 46, 'PHG': 1, 'PR': 0, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",30,61,299,0,Algún campo sin dato,3.Chimaltenango,2.San José Poaquil,0645,presidente
