mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6081,,"{'UNE': 25, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 17, 'TODOS': 13, 'VAMOS': 3, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 18, 'SEMILLA': 36, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 10, 'VIVA': 24, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 14}",18,55,265,0,Algún campo sin dato,3.Chimaltenango,3.San Martín Jilotepeque,0648,presidente
6082,,"{'UNE': 37, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 15, 'TODOS': 8, 'VAMOS': 7, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 25, 'SEMILLA': 13, 'FCN-NACION': 5, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 19, 'VIVA': 20, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 10}",25,46,263,0,Algún campo sin dato,3.Chimaltenango,3.San Martín Jilotepeque,0648,presidente
6083,,"{'UNE': 21, 'AZUL': 4, 'VALOR UNIONISTA': 12, 'CABAL': 16, 'TODOS': 7, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 9, 'VICTORIA': 28, 'SEMILLA': 17, 'FCN-NACION': 6, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 8, 'VIVA': 23, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 11}",23,38,248,0,Algún campo sin dato,3.Chimaltenango,3.San Martín Jilotepeque,0648,presidente
6084,,"{'UNE': 25, 'AZUL': 5, 'VALOR UNIONISTA': 13, 'CABAL': 13, 'TODOS': 16, 'VAMOS': 6, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 18, 'SEMILLA': 20, 'FCN-NACION': 3, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 16, 'VIVA': 20, 'MI FAMILIA': 6, 'CAMBIO': 2, 'VOS': 12}",12,65,275,0,Algún campo sin dato,3.Chimaltenango,3.San Martín Jilotepeque,0648,presidente
6085,,"{'UNE': 24, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 16, 'TODOS': 16, 'VAMOS': 6, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 14, 'SEMILLA': 26, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 2, 'BIEN': 18, 'VIVA': 20, 'MI FAMILIA': 9, 'CAMBIO': 2, 'VOS': 15}",21,59,281,0,Algún campo sin dato,3.Chimaltenango,3.San Martín Jilotepeque,0648,presidente
6086,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 13, 'TODOS': 16, 'VAMOS': 3, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 32, 'SEMILLA': 27, 'FCN-NACION': 2, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 13, 'VIVA': 25, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 13}",13,47,264,0,Algún campo sin dato,3.Chimaltenango,3.San Martín Jilotepeque,0648,presidente
6087,,"{'UNE': 24, 'AZUL': 10, 'VALOR UNIONISTA': 14, 'CABAL': 13, 'TODOS': 16, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 26, 'SEMILLA': 33, 'FCN-NACION': 3, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 11, 'VIVA': 24, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 4}",21,44,272,0,Algún campo sin dato,3.Chimaltenango,3.San Martín Jilotepeque,0648,presidente
6088,,"{'UNE': 26, 'AZUL': 5, 'VALOR UNIONISTA': 9, 'CABAL': 10, 'TODOS': 12, 'VAMOS': 9, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 15, 'SEMILLA': 30, 'FCN-NACION': 4, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 18, 'VIVA': 23, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 12}",28,46,266,0,Sumas Asentadas sin cuadrar,3.Chimaltenango,3.San Martín Jilotepeque,0648,presidente
6089,,"{'UNE': 25, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 13, 'TODOS': 18, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 23, 'SEMILLA': 21, 'FCN-NACION': 7, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 16, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 5, 'VOS': 15}",15,56,286,1,Algún campo sin dato,3.Chimaltenango,3.San Martín Jilotepeque,0648,presidente
6090,,"{'UNE': 30, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 17, 'TODOS': 10, 'VAMOS': 4, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 10, 'VICTORIA': 23, 'SEMILLA': 27, 'FCN-NACION': 6, 'PPN': 5, 'UR': 6, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 12, 'VIVA': 31, 'MI FAMILIA': 9, 'CAMBIO': 1, 'VOS': 13}",13,52,297,0,Algún campo sin dato,3.Chimaltenango,3.San Martín Jilotepeque,0648,presidente
