mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6190,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 29, 'TODOS': 7, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 8, 'SEMILLA': 55, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 30, 'CREO': 2, 'BIEN': 0, 'VIVA': 42, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 28}",11,30,300,0,Algún campo sin dato,3.Chimaltenango,4.Comalapa,0658,presidente
6191,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 37, 'TODOS': 12, 'VAMOS': 14, 'PHG': 0, 'PR': 5, 'PIN': 2, 'ELEFANTE': 3, 'VICTORIA': 8, 'SEMILLA': 40, 'FCN-NACION': 4, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 14, 'CREO': 2, 'BIEN': 4, 'VIVA': 34, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 27}",12,35,304,0,Algún campo sin dato,3.Chimaltenango,4.Comalapa,0658,presidente
6192,,"{'UNE': 38, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 34, 'TODOS': 6, 'VAMOS': 20, 'PHG': 3, 'PR': 3, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 30, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 19, 'CREO': 2, 'BIEN': 1, 'VIVA': 47, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 26}",17,38,318,0,Algún campo sin dato,3.Chimaltenango,4.Comalapa,0658,presidente
6193,,"{'UNE': 26, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 31, 'TODOS': 4, 'VAMOS': 14, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 10, 'SEMILLA': 45, 'FCN-NACION': 6, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 10, 'CREO': 3, 'BIEN': 2, 'VIVA': 38, 'MI FAMILIA': 6, 'CAMBIO': 2, 'VOS': 25}",13,33,298,0,Algún campo sin dato,3.Chimaltenango,4.Comalapa,0658,presidente
6194,,"{'UNE': 21, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 41, 'TODOS': 6, 'VAMOS': 15, 'PHG': 0, 'PR': 6, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 24, 'FCN-NACION': 4, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 11, 'CREO': 2, 'BIEN': 6, 'VIVA': 54, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 27}",13,36,293,0,Algún campo sin dato,3.Chimaltenango,4.Comalapa,0658,presidente
6195,,"{'UNE': 16, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 36, 'TODOS': 7, 'VAMOS': 17, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 9, 'SEMILLA': 49, 'FCN-NACION': 5, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 23, 'CREO': 3, 'BIEN': 10, 'VIVA': 39, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 34}",6,37,330,0,Algún campo sin dato,3.Chimaltenango,4.Comalapa,0658,presidente
6196,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 41, 'TODOS': 2, 'VAMOS': 11, 'PHG': 0, 'PR': 2, 'PIN': 3, 'ELEFANTE': 4, 'VICTORIA': 13, 'SEMILLA': 37, 'FCN-NACION': 2, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 16, 'CREO': 0, 'BIEN': 6, 'VIVA': 32, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 28}",11,43,300,0,Algún campo sin dato,3.Chimaltenango,4.Comalapa,0658,presidente
6197,,"{'UNE': 24, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 31, 'TODOS': 1, 'VAMOS': 22, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 45, 'FCN-NACION': 1, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 19, 'CREO': 3, 'BIEN': 4, 'VIVA': 34, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 28}",10,40,303,0,Algún campo sin dato,3.Chimaltenango,4.Comalapa,0658,presidente
6198,,"{'UNE': 26, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 46, 'TODOS': 5, 'VAMOS': 15, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 8, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 15, 'CREO': 2, 'BIEN': 6, 'VIVA': 38, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 41}",7,38,317,0,Algún campo sin dato,3.Chimaltenango,4.Comalapa,0658,presidente
6199,,"{'UNE': 20, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 35, 'TODOS': 3, 'VAMOS': 15, 'PHG': 0, 'PR': 6, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 10, 'SEMILLA': 43, 'FCN-NACION': 1, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 21, 'CREO': 1, 'BIEN': 6, 'VIVA': 36, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 31}",8,39,310,91,Algún campo sin dato,3.Chimaltenango,4.Comalapa,0658,presidente
