mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6256,,"{'UNE': 29, 'AZUL': 5, 'VALOR UNIONISTA': 20, 'CABAL': 16, 'TODOS': 3, 'VAMOS': 37, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 18, 'FCN-NACION': 3, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 4, 'BIEN': 3, 'VIVA': 25, 'MI FAMILIA': 4, 'CAMBIO': 3, 'VOS': 8}",79,64,337,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6257,,"{'UNE': 21, 'AZUL': 0, 'VALOR UNIONISTA': 23, 'CABAL': 8, 'TODOS': 2, 'VAMOS': 36, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 10, 'FCN-NACION': 2, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 5, 'VIVA': 32, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",107,73,343,1,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6258,,"{'UNE': 32, 'AZUL': 2, 'VALOR UNIONISTA': 24, 'CABAL': 6, 'TODOS': 5, 'VAMOS': 24, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 9, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 4, 'BIEN': 1, 'VIVA': 30, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 9}",95,66,331,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6259,,"{'UNE': 21, 'AZUL': 2, 'VALOR UNIONISTA': 27, 'CABAL': 12, 'TODOS': 4, 'VAMOS': 39, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 4, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 5, 'BIEN': 2, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 7}",84,74,346,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6260,,"{'UNE': 22, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 12, 'TODOS': 7, 'VAMOS': 40, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 9, 'SEMILLA': 14, 'FCN-NACION': 3, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 4, 'VIVA': 31, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 7}",86,80,353,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6261,,"{'UNE': 29, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 13, 'TODOS': 3, 'VAMOS': 41, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 19, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 11, 'VIVA': 23, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 3}",64,78,331,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6262,,"{'UNE': 23, 'AZUL': 5, 'VALOR UNIONISTA': 20, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 39, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 4, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",100,91,348,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6263,,"{'UNE': 32, 'AZUL': 2, 'VALOR UNIONISTA': 28, 'CABAL': 11, 'TODOS': 5, 'VAMOS': 34, 'PHG': 0, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 16, 'FCN-NACION': 4, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 4, 'CAMBIO': 2, 'VOS': 6}",66,88,344,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6264,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 27, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 19, 'FCN-NACION': 3, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 6}",74,95,319,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6265,,"{'UNE': 20, 'AZUL': 3, 'VALOR UNIONISTA': 17, 'CABAL': 10, 'TODOS': 3, 'VAMOS': 31, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 5, 'VIVA': 30, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 7}",64,70,313,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6266,,"{'UNE': 21, 'AZUL': 7, 'VALOR UNIONISTA': 18, 'CABAL': 12, 'TODOS': 4, 'VAMOS': 25, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 28, 'FCN-NACION': 3, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 37, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",56,73,319,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6267,,"{'UNE': 13, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 8, 'TODOS': 3, 'VAMOS': 33, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 13, 'FCN-NACION': 2, 'PPN': 4, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 3, 'VIVA': 35, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 5}",67,71,302,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6268,,"{'UNE': 14, 'AZUL': 1, 'VALOR UNIONISTA': 24, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 32, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 7, 'VIVA': 44, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 7}",40,84,294,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6269,,"{'UNE': 11, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 7, 'TODOS': 5, 'VAMOS': 47, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 27, 'FCN-NACION': 4, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 7, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 4, 'VOS': 7}",50,93,320,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6270,,"{'UNE': 10, 'AZUL': 3, 'VALOR UNIONISTA': 19, 'CABAL': 1, 'TODOS': 2, 'VAMOS': 40, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 5, 'VIVA': 37, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",47,104,311,0,Sumas Asentadas sin cuadrar,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6271,,"{'UNE': 9, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 8, 'TODOS': 5, 'VAMOS': 32, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 4, 'BIEN': 5, 'VIVA': 50, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",58,107,326,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6272,,"{'UNE': 8, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 35, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 2}",41,65,224,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6273,,"{'UNE': 15, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 1, 'TODOS': 3, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 17, 'FCN-NACION': 4, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 30, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",58,66,238,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0666,presidente
6274,,"{'UNE': 17, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 25, 'PHG': 2, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 2, 'VIVA': 35, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",94,88,326,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0667,presidente
6275,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 24, 'CABAL': 6, 'TODOS': 3, 'VAMOS': 16, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 3, 'VIVA': 29, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 3}",131,85,349,0,Algún campo sin dato,3.Chimaltenango,5.Santa Apolonia,0667,presidente
