mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6285,,"{'UNE': 20, 'AZUL': 5, 'VALOR UNIONISTA': 14, 'CABAL': 17, 'TODOS': 2, 'VAMOS': 17, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 7, 'VICTORIA': 14, 'SEMILLA': 43, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 13, 'CREO': 3, 'BIEN': 1, 'VIVA': 18, 'MI FAMILIA': 6, 'CAMBIO': 2, 'VOS': 25}",13,40,266,1,Algún campo sin dato,3.Chimaltenango,6.Tecpán Guatemala,0668,presidente
6286,,"{'UNE': 28, 'AZUL': 5, 'VALOR UNIONISTA': 15, 'CABAL': 16, 'TODOS': 4, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 11, 'SEMILLA': 25, 'FCN-NACION': 7, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 9, 'CREO': 5, 'BIEN': 4, 'VIVA': 27, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 12}",15,48,259,0,Algún campo sin dato,3.Chimaltenango,6.Tecpán Guatemala,0668,presidente
6287,,"{'UNE': 36, 'AZUL': 8, 'VALOR UNIONISTA': 20, 'CABAL': 17, 'TODOS': 7, 'VAMOS': 17, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 22, 'FCN-NACION': 7, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 10, 'CREO': 2, 'BIEN': 7, 'VIVA': 32, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 17}",9,60,288,0,Algún campo sin dato,3.Chimaltenango,6.Tecpán Guatemala,0668,presidente
6288,,"{'UNE': 18, 'AZUL': 10, 'VALOR UNIONISTA': 7, 'CABAL': 24, 'TODOS': 4, 'VAMOS': 15, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 26, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 5, 'VIVA': 25, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 18}",12,50,268,0,Algún campo sin dato,3.Chimaltenango,6.Tecpán Guatemala,0668,presidente
6289,,"{'UNE': 16, 'AZUL': 5, 'VALOR UNIONISTA': 10, 'CABAL': 15, 'TODOS': 12, 'VAMOS': 23, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 15, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 11, 'CREO': 3, 'BIEN': 3, 'VIVA': 25, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 18}",17,73,286,0,Algún campo sin dato,3.Chimaltenango,6.Tecpán Guatemala,0668,presidente
6290,,"{'UNE': 23, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 21, 'TODOS': 9, 'VAMOS': 21, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 28, 'FCN-NACION': 2, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 22}",18,52,264,0,Algún campo sin dato,3.Chimaltenango,6.Tecpán Guatemala,0668,presidente
6291,,"{'UNE': 16, 'AZUL': 7, 'VALOR UNIONISTA': 12, 'CABAL': 22, 'TODOS': 6, 'VAMOS': 21, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 37, 'FCN-NACION': 3, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 3, 'VIVA': 21, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 24}",15,46,262,0,Algún campo sin dato,3.Chimaltenango,6.Tecpán Guatemala,0668,presidente
6292,,"{'UNE': 11, 'AZUL': 7, 'VALOR UNIONISTA': 14, 'CABAL': 8, 'TODOS': 4, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 8, 'VICTORIA': 15, 'SEMILLA': 17, 'FCN-NACION': 3, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 2, 'VIVA': 28, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 14}",23,54,252,0,Algún campo sin dato,3.Chimaltenango,6.Tecpán Guatemala,0668,presidente
6293,,"{'UNE': 25, 'AZUL': 4, 'VALOR UNIONISTA': 17, 'CABAL': 14, 'TODOS': 10, 'VAMOS': 20, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 10, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 10, 'CREO': 2, 'BIEN': 4, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 17}",14,73,277,0,Algún campo sin dato,3.Chimaltenango,6.Tecpán Guatemala,0668,presidente
6294,,"{'UNE': 19, 'AZUL': 15, 'VALOR UNIONISTA': 19, 'CABAL': 9, 'TODOS': 4, 'VAMOS': 14, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 7, 'SEMILLA': 22, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 4, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 16}",32,41,242,0,Algún campo sin dato,3.Chimaltenango,6.Tecpán Guatemala,0668,presidente
