mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6392,,"{'UNE': 27, 'AZUL': 6, 'VALOR UNIONISTA': 11, 'CABAL': 34, 'TODOS': 1, 'VAMOS': 8, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 52, 'FCN-NACION': 5, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 30, 'CREO': 0, 'BIEN': 2, 'VIVA': 31, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 23}",8,42,296,0,Algún campo sin dato,3.Chimaltenango,7.Patzún,0679,presidente
6393,,"{'UNE': 29, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 31, 'TODOS': 3, 'VAMOS': 15, 'PHG': 3, 'PR': 4, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 1, 'SEMILLA': 51, 'FCN-NACION': 6, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 26, 'CREO': 5, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 18}",21,25,292,0,Sumas Asentadas sin cuadrar,3.Chimaltenango,7.Patzún,0679,presidente
6394,,"{'UNE': 37, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 44, 'TODOS': 3, 'VAMOS': 9, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 39, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 25, 'CREO': 0, 'BIEN': 4, 'VIVA': 32, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 20}",17,32,296,0,Algún campo sin dato,3.Chimaltenango,7.Patzún,0679,presidente
6395,,"{'UNE': 42, 'AZUL': 5, 'VALOR UNIONISTA': 12, 'CABAL': 47, 'TODOS': 3, 'VAMOS': 8, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 40, 'FCN-NACION': 3, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 27, 'CREO': 3, 'BIEN': 4, 'VIVA': 27, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 18}",7,41,309,0,Algún campo sin dato,3.Chimaltenango,7.Patzún,0679,presidente
6396,,"{'UNE': 34, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 38, 'TODOS': 6, 'VAMOS': 15, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 51, 'FCN-NACION': 4, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 23, 'CREO': 3, 'BIEN': 6, 'VIVA': 26, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 22}",9,46,306,0,Algún campo sin dato,3.Chimaltenango,7.Patzún,0679,presidente
6397,,"{'UNE': 36, 'AZUL': 5, 'VALOR UNIONISTA': 16, 'CABAL': 40, 'TODOS': 2, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 54, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 28, 'CREO': 3, 'BIEN': 4, 'VIVA': 24, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 23}",8,41,323,0,Algún campo sin dato,3.Chimaltenango,7.Patzún,0679,presidente
6398,,"{'UNE': 25, 'AZUL': 4, 'VALOR UNIONISTA': 12, 'CABAL': 49, 'TODOS': 2, 'VAMOS': 22, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 53, 'FCN-NACION': 2, 'PPN': 4, 'UR': 7, 'URNG-MAIZ WINAQ': 20, 'CREO': 4, 'BIEN': 0, 'VIVA': 40, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 15}",9,36,318,0,Algún campo sin dato,3.Chimaltenango,7.Patzún,0679,presidente
6399,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 23, 'CABAL': 46, 'TODOS': 2, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 54, 'FCN-NACION': 6, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 27, 'CREO': 4, 'BIEN': 2, 'VIVA': 29, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 19}",10,30,318,0,Algún campo sin dato,3.Chimaltenango,7.Patzún,0679,presidente
6400,,"{'UNE': 31, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 41, 'TODOS': 4, 'VAMOS': 13, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 48, 'FCN-NACION': 3, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 25, 'CREO': 2, 'BIEN': 4, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 25}",10,48,311,0,Algún campo sin dato,3.Chimaltenango,7.Patzún,0679,presidente
6401,,"{'UNE': 13, 'AZUL': 5, 'VALOR UNIONISTA': 15, 'CABAL': 44, 'TODOS': 3, 'VAMOS': 12, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 47, 'FCN-NACION': 1, 'PPN': 0, 'UR': 7, 'URNG-MAIZ WINAQ': 15, 'CREO': 2, 'BIEN': 7, 'VIVA': 31, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 19}",15,51,300,0,Algún campo sin dato,3.Chimaltenango,7.Patzún,0679,presidente
6402,,"{'UNE': 27, 'AZUL': 6, 'VALOR UNIONISTA': 16, 'CABAL': 43, 'TODOS': 2, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 12, 'SEMILLA': 51, 'FCN-NACION': 5, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 22, 'CREO': 3, 'BIEN': 6, 'VIVA': 28, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 14}",9,33,309,0,Algún campo sin dato,3.Chimaltenango,7.Patzún,0679,presidente
6403,,"{'UNE': 31, 'AZUL': 5, 'VALOR UNIONISTA': 22, 'CABAL': 31, 'TODOS': 3, 'VAMOS': 13, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 43, 'FCN-NACION': 7, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 23, 'CREO': 2, 'BIEN': 4, 'VIVA': 32, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 27}",7,41,309,0,Algún campo sin dato,3.Chimaltenango,7.Patzún,0679,presidente
6404,,"{'UNE': 27, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 37, 'TODOS': 2, 'VAMOS': 21, 'PHG': 1, 'PR': 4, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 50, 'FCN-NACION': 5, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 19, 'CREO': 1, 'BIEN': 5, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",8,43,299,0,Algún campo sin dato,3.Chimaltenango,7.Patzún,0679,presidente
6405,,"{'UNE': 22, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 44, 'TODOS': 3, 'VAMOS': 11, 'PHG': 2, 'PR': 3, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 9, 'SEMILLA': 39, 'FCN-NACION': 1, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 23, 'CREO': 4, 'BIEN': 3, 'VIVA': 41, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 14}",11,51,315,0,Algún campo sin dato,3.Chimaltenango,7.Patzún,0679,presidente
