mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6500,,"{'UNE': 26, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 24, 'TODOS': 11, 'VAMOS': 11, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 23, 'FCN-NACION': 3, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 22, 'CREO': 6, 'BIEN': 2, 'VIVA': 47, 'MI FAMILIA': 10, 'CAMBIO': 2, 'VOS': 16}",36,50,315,0,Algún campo sin dato,3.Chimaltenango,9.Patzicía,0691,presidente
6501,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 20, 'TODOS': 16, 'VAMOS': 15, 'PHG': 1, 'PR': 7, 'PIN': 2, 'ELEFANTE': 4, 'VICTORIA': 7, 'SEMILLA': 23, 'FCN-NACION': 3, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 12, 'CREO': 6, 'BIEN': 0, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",57,73,318,0,Algún campo sin dato,3.Chimaltenango,9.Patzicía,0691,presidente
6502,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 36, 'TODOS': 8, 'VAMOS': 13, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 20, 'FCN-NACION': 3, 'PPN': 7, 'UR': 6, 'URNG-MAIZ WINAQ': 12, 'CREO': 1, 'BIEN': 6, 'VIVA': 27, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 9}",59,54,317,0,Algún campo sin dato,3.Chimaltenango,9.Patzicía,0691,presidente
6503,,"{'UNE': 30, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 33, 'TODOS': 12, 'VAMOS': 23, 'PHG': 0, 'PR': 3, 'PIN': 2, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 25, 'FCN-NACION': 7, 'PPN': 3, 'UR': 7, 'URNG-MAIZ WINAQ': 7, 'CREO': 4, 'BIEN': 2, 'VIVA': 37, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",37,60,315,0,Algún campo sin dato,3.Chimaltenango,9.Patzicía,0691,presidente
6504,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 29, 'TODOS': 9, 'VAMOS': 22, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 25, 'FCN-NACION': 8, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 19, 'CREO': 1, 'BIEN': 4, 'VIVA': 27, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 14}",32,68,302,0,Algún campo sin dato,3.Chimaltenango,9.Patzicía,0691,presidente
6505,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 38, 'TODOS': 12, 'VAMOS': 16, 'PHG': 0, 'PR': 7, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 33, 'FCN-NACION': 4, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 13, 'CREO': 3, 'BIEN': 7, 'VIVA': 33, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 9}",36,59,323,0,Algún campo sin dato,3.Chimaltenango,9.Patzicía,0691,presidente
6506,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 36, 'TODOS': 6, 'VAMOS': 14, 'PHG': 1, 'PR': 5, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 30, 'FCN-NACION': 4, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 10, 'CREO': 3, 'BIEN': 2, 'VIVA': 40, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 5}",54,55,313,0,Algún campo sin dato,3.Chimaltenango,9.Patzicía,0691,presidente
6507,,"{'UNE': 18, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 31, 'TODOS': 4, 'VAMOS': 17, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 38, 'FCN-NACION': 7, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 14, 'CREO': 2, 'BIEN': 3, 'VIVA': 38, 'MI FAMILIA': 7, 'CAMBIO': 2, 'VOS': 9}",35,49,307,0,Algún campo sin dato,3.Chimaltenango,9.Patzicía,0691,presidente
6508,,"{'UNE': 18, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 27, 'TODOS': 12, 'VAMOS': 16, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 34, 'FCN-NACION': 3, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 10, 'CREO': 3, 'BIEN': 4, 'VIVA': 45, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 18}",35,46,316,0,Algún campo sin dato,3.Chimaltenango,9.Patzicía,0691,presidente
6509,,"{'UNE': 28, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 20, 'TODOS': 12, 'VAMOS': 12, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 39, 'FCN-NACION': 4, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 15, 'CREO': 2, 'BIEN': 3, 'VIVA': 34, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 18}",26,68,321,0,Algún campo sin dato,3.Chimaltenango,9.Patzicía,0691,presidente
