mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6897,,"{'UNE': 55, 'AZUL': 1, 'VALOR UNIONISTA': 26, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 9, 'FCN-NACION': 2, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 10, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 5}",50,76,296,0,Algún campo sin dato,4.El Progreso,3.San Agustín Acasaguastlán,0754,presidente
6898,,"{'UNE': 42, 'AZUL': 3, 'VALOR UNIONISTA': 29, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 9, 'PHG': 2, 'PR': 3, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 3, 'VIVA': 30, 'MI FAMILIA': 9, 'CAMBIO': 1, 'VOS': 3}",42,92,306,0,Algún campo sin dato,4.El Progreso,3.San Agustín Acasaguastlán,0754,presidente
6899,,"{'UNE': 53, 'AZUL': 0, 'VALOR UNIONISTA': 32, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 9, 'PHG': 1, 'PR': 0, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 8, 'VIVA': 23, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 5}",43,80,292,0,Algún campo sin dato,4.El Progreso,3.San Agustín Acasaguastlán,0754,presidente
6900,,"{'UNE': 68, 'AZUL': 0, 'VALOR UNIONISTA': 32, 'CABAL': 3, 'TODOS': 3, 'VAMOS': 8, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 11, 'FCN-NACION': 4, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 4, 'VIVA': 28, 'MI FAMILIA': 8, 'CAMBIO': 1, 'VOS': 9}",25,89,313,0,Algún campo sin dato,4.El Progreso,3.San Agustín Acasaguastlán,0754,presidente
6901,,"{'UNE': 44, 'AZUL': 4, 'VALOR UNIONISTA': 23, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 7, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 9, 'VIVA': 29, 'MI FAMILIA': 3, 'CAMBIO': 3, 'VOS': 7}",32,94,295,0,Algún campo sin dato,4.El Progreso,3.San Agustín Acasaguastlán,0754,presidente
6902,,"{'UNE': 46, 'AZUL': 0, 'VALOR UNIONISTA': 27, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 27, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 8, 'VIVA': 21, 'MI FAMILIA': 6, 'CAMBIO': 2, 'VOS': 8}",20,73,265,0,Algún campo sin dato,4.El Progreso,3.San Agustín Acasaguastlán,0754,presidente
6903,,"{'UNE': 36, 'AZUL': 3, 'VALOR UNIONISTA': 27, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 6, 'VIVA': 25, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 9}",31,82,268,0,Algún campo sin dato,4.El Progreso,3.San Agustín Acasaguastlán,0754,presidente
6904,,"{'UNE': 60, 'AZUL': 2, 'VALOR UNIONISTA': 24, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 7}",37,84,274,0,Sumas Asentadas sin cuadrar,4.El Progreso,3.San Agustín Acasaguastlán,0754,presidente
6905,,"{'UNE': 35, 'AZUL': 1, 'VALOR UNIONISTA': 18, 'CABAL': 6, 'TODOS': 4, 'VAMOS': 11, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 9}",48,84,281,0,Algún campo sin dato,4.El Progreso,3.San Agustín Acasaguastlán,0754,presidente
6906,,"{'UNE': 50, 'AZUL': 0, 'VALOR UNIONISTA': 21, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 24, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 9, 'VIVA': 20, 'MI FAMILIA': 5, 'CAMBIO': 3, 'VOS': 10}",41,66,291,0,Algún campo sin dato,4.El Progreso,3.San Agustín Acasaguastlán,0754,presidente
