mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6970,,"{'UNE': 46, 'AZUL': 4, 'VALOR UNIONISTA': 14, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 28, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 9, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",30,75,273,0,Algún campo sin dato,4.El Progreso,4.San Cristóbal Acasaguastlán,0763,presidente
6971,,"{'UNE': 53, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 39, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",34,96,302,0,Algún campo sin dato,4.El Progreso,4.San Cristóbal Acasaguastlán,0763,presidente
6972,,"{'UNE': 48, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 20, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 14, 'VIVA': 16, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 9}",25,107,299,0,Algún campo sin dato,4.El Progreso,4.San Cristóbal Acasaguastlán,0763,presidente
6973,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 23, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 22, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 9, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 11}",13,87,267,0,Algún campo sin dato,4.El Progreso,4.San Cristóbal Acasaguastlán,0763,presidente
6974,,"{'UNE': 40, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 12, 'TODOS': 3, 'VAMOS': 19, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 6, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 10}",21,98,274,0,Algún campo sin dato,4.El Progreso,4.San Cristóbal Acasaguastlán,0763,presidente
6975,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 11}",7,34,148,13,Algún campo sin dato,4.El Progreso,4.San Cristóbal Acasaguastlán,0763,presidente
6976,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",8,23,116,16,Algún campo sin dato,4.El Progreso,4.San Cristóbal Acasaguastlán,0763,presidente
6977,,"{'UNE': 64, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 55, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 2}",38,51,272,0,Algún campo sin dato,4.El Progreso,4.San Cristóbal Acasaguastlán,0764,presidente
6978,,"{'UNE': 63, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 69, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",65,45,296,0,Algún campo sin dato,4.El Progreso,4.San Cristóbal Acasaguastlán,0764,presidente
6979,,"{'UNE': 50, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 69, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 13, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 6}",38,58,280,0,Algún campo sin dato,4.El Progreso,4.San Cristóbal Acasaguastlán,0764,presidente
