mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
6987,,"{'UNE': 41, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 58, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",33,62,263,0,Sumas Asentadas sin cuadrar,4.El Progreso,5.El Jícaro,0767,presidente
6988,,"{'UNE': 30, 'AZUL': 7, 'VALOR UNIONISTA': 10, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 56, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",22,74,256,0,Algún campo sin dato,4.El Progreso,5.El Jícaro,0767,presidente
6989,,"{'UNE': 39, 'AZUL': 7, 'VALOR UNIONISTA': 6, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 69, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 7, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",23,78,265,0,Algún campo sin dato,4.El Progreso,5.El Jícaro,0767,presidente
6990,,"{'UNE': 39, 'AZUL': 7, 'VALOR UNIONISTA': 14, 'CABAL': 6, 'TODOS': 2, 'VAMOS': 70, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 5, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",28,69,279,0,Algún campo sin dato,4.El Progreso,5.El Jícaro,0768,presidente
6991,,"{'UNE': 45, 'AZUL': 14, 'VALOR UNIONISTA': 9, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 58, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 2}",34,69,277,0,Algún campo sin dato,4.El Progreso,5.El Jícaro,0768,presidente
6992,,"{'UNE': 33, 'AZUL': 10, 'VALOR UNIONISTA': 8, 'CABAL': 2, 'TODOS': 2, 'VAMOS': 63, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 22, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",37,66,273,0,Algún campo sin dato,4.El Progreso,5.El Jícaro,0768,presidente
6993,,"{'UNE': 41, 'AZUL': 13, 'VALOR UNIONISTA': 7, 'CABAL': 3, 'TODOS': 3, 'VAMOS': 78, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 3, 'VIVA': 15, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 2}",42,63,305,0,Algún campo sin dato,4.El Progreso,5.El Jícaro,0768,presidente
6994,,"{'UNE': 25, 'AZUL': 11, 'VALOR UNIONISTA': 18, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 68, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 13, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 6}",23,70,274,0,Algún campo sin dato,4.El Progreso,5.El Jícaro,0768,presidente
6995,,"{'UNE': 42, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 71, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 8, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",13,57,263,0,Algún campo sin dato,4.El Progreso,5.El Jícaro,0769,presidente
6996,,"{'UNE': 37, 'AZUL': 5, 'VALOR UNIONISTA': 10, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 72, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 9}",20,49,255,0,Sumas Asentadas sin cuadrar,4.El Progreso,5.El Jícaro,0769,presidente
