mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
7013,,"{'UNE': 61, 'AZUL': 2, 'VALOR UNIONISTA': 24, 'CABAL': 46, 'TODOS': 2, 'VAMOS': 23, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 7, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",23,52,273,0,Algún campo sin dato,4.El Progreso,6.Sansare,0775,presidente
7014,,"{'UNE': 57, 'AZUL': 2, 'VALOR UNIONISTA': 25, 'CABAL': 45, 'TODOS': 1, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 13, 'VIVA': 14, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 5}",17,57,289,0,Algún campo sin dato,4.El Progreso,6.Sansare,0775,presidente
7015,,"{'UNE': 80, 'AZUL': 3, 'VALOR UNIONISTA': 30, 'CABAL': 49, 'TODOS': 1, 'VAMOS': 20, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",19,57,297,0,Algún campo sin dato,4.El Progreso,6.Sansare,0775,presidente
7016,,"{'UNE': 85, 'AZUL': 0, 'VALOR UNIONISTA': 27, 'CABAL': 52, 'TODOS': 1, 'VAMOS': 30, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 4, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",21,48,301,5,Algún campo sin dato,4.El Progreso,6.Sansare,0775,presidente
7017,,"{'UNE': 69, 'AZUL': 1, 'VALOR UNIONISTA': 33, 'CABAL': 57, 'TODOS': 1, 'VAMOS': 21, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",21,63,305,0,Algún campo sin dato,4.El Progreso,6.Sansare,0775,presidente
7018,,"{'UNE': 89, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 45, 'TODOS': 0, 'VAMOS': 36, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 4, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",23,49,293,0,Algún campo sin dato,4.El Progreso,6.Sansare,0775,presidente
7019,,"{'UNE': 76, 'AZUL': 2, 'VALOR UNIONISTA': 28, 'CABAL': 62, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 3, 'VIVA': 13, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 7}",22,64,322,0,Algún campo sin dato,4.El Progreso,6.Sansare,0775,presidente
7020,,"{'UNE': 90, 'AZUL': 5, 'VALOR UNIONISTA': 24, 'CABAL': 54, 'TODOS': 3, 'VAMOS': 23, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 9, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",20,66,322,0,Algún campo sin dato,4.El Progreso,6.Sansare,0775,presidente
7021,,"{'UNE': 83, 'AZUL': 1, 'VALOR UNIONISTA': 26, 'CABAL': 54, 'TODOS': 5, 'VAMOS': 31, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 9, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",26,45,321,0,Algún campo sin dato,4.El Progreso,6.Sansare,0775,presidente
7022,,"{'UNE': 66, 'AZUL': 2, 'VALOR UNIONISTA': 29, 'CABAL': 57, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 4, 'BIEN': 4, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",9,52,283,0,Sumas Asentadas sin cuadrar,4.El Progreso,6.Sansare,0775,presidente
