mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
7040,,"{'UNE': 31, 'AZUL': 4, 'VALOR UNIONISTA': 20, 'CABAL': 43, 'TODOS': 0, 'VAMOS': 45, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 5, 'VIVA': 16, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 10}",4,63,295,0,Algún campo sin dato,4.El Progreso,7.Sanarate,0780,presidente
7041,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 50, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 47, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 7, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 15}",4,64,297,0,Algún campo sin dato,4.El Progreso,7.Sanarate,0780,presidente
7042,,"{'UNE': 36, 'AZUL': 4, 'VALOR UNIONISTA': 17, 'CABAL': 40, 'TODOS': 0, 'VAMOS': 55, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 22, 'FCN-NACION': 2, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 4, 'VIVA': 13, 'MI FAMILIA': 12, 'CAMBIO': 0, 'VOS': 15}",8,61,303,0,Algún campo sin dato,4.El Progreso,7.Sanarate,0780,presidente
7043,,"{'UNE': 35, 'AZUL': 6, 'VALOR UNIONISTA': 17, 'CABAL': 31, 'TODOS': 0, 'VAMOS': 59, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 9, 'VIVA': 14, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 14}",6,69,303,0,Algún campo sin dato,4.El Progreso,7.Sanarate,0780,presidente
7044,,"{'UNE': 36, 'AZUL': 6, 'VALOR UNIONISTA': 18, 'CABAL': 46, 'TODOS': 1, 'VAMOS': 54, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 39, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 16}",16,56,324,0,Algún campo sin dato,4.El Progreso,7.Sanarate,0780,presidente
7045,,"{'UNE': 38, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 35, 'TODOS': 2, 'VAMOS': 50, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 32, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 7, 'VIVA': 14, 'MI FAMILIA': 11, 'CAMBIO': 0, 'VOS': 9}",11,58,303,0,Algún campo sin dato,4.El Progreso,7.Sanarate,0780,presidente
7046,,"{'UNE': 27, 'AZUL': 5, 'VALOR UNIONISTA': 20, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 47, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 41, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 11, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 13}",12,64,300,0,Algún campo sin dato,4.El Progreso,7.Sanarate,0780,presidente
7047,,"{'UNE': 24, 'AZUL': 5, 'VALOR UNIONISTA': 28, 'CABAL': 53, 'TODOS': 1, 'VAMOS': 51, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 33, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 8, 'VIVA': 10, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 14}",6,57,315,0,Algún campo sin dato,4.El Progreso,7.Sanarate,0780,presidente
7048,,"{'UNE': 31, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 31, 'TODOS': 1, 'VAMOS': 39, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 49, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 4, 'VIVA': 12, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 12}",5,53,266,0,Algún campo sin dato,4.El Progreso,7.Sanarate,0780,presidente
7049,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 21, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 52, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 32, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 7, 'VIVA': 13, 'MI FAMILIA': 10, 'CAMBIO': 0, 'VOS': 14}",7,46,278,0,Algún campo sin dato,4.El Progreso,7.Sanarate,0780,presidente
