mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
7118,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 31, 'CABAL': 33, 'TODOS': 4, 'VAMOS': 28, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 5, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 1}",17,32,231,0,Algún campo sin dato,4.El Progreso,8.San Antonio La Paz,0796,presidente
7119,,"{'UNE': 50, 'AZUL': 1, 'VALOR UNIONISTA': 23, 'CABAL': 47, 'TODOS': 0, 'VAMOS': 21, 'PHG': 9, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 4}",27,48,259,0,Algún campo sin dato,4.El Progreso,8.San Antonio La Paz,0796,presidente
7120,,"{'UNE': 39, 'AZUL': 3, 'VALOR UNIONISTA': 25, 'CABAL': 48, 'TODOS': 4, 'VAMOS': 26, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 5}",26,28,240,0,Algún campo sin dato,4.El Progreso,8.San Antonio La Paz,0796,presidente
7121,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 30, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 19, 'PHG': 3, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 3, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",24,45,244,0,Algún campo sin dato,4.El Progreso,8.San Antonio La Paz,0796,presidente
7122,,"{'UNE': 41, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 46, 'TODOS': 2, 'VAMOS': 27, 'PHG': 6, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 4, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 0}",16,52,256,0,Algún campo sin dato,4.El Progreso,8.San Antonio La Paz,0796,presidente
7123,,"{'UNE': 42, 'AZUL': 1, 'VALOR UNIONISTA': 24, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 41, 'PHG': 7, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 22, 'FCN-NACION': 4, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 6}",21,44,261,0,Algún campo sin dato,4.El Progreso,8.San Antonio La Paz,0796,presidente
7124,,"{'UNE': 28, 'AZUL': 2, 'VALOR UNIONISTA': 31, 'CABAL': 35, 'TODOS': 0, 'VAMOS': 51, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 5, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 4}",24,52,296,1,Algún campo sin dato,4.El Progreso,8.San Antonio La Paz,0796,presidente
7125,,"{'UNE': 32, 'AZUL': 0, 'VALOR UNIONISTA': 19, 'CABAL': 24, 'TODOS': 2, 'VAMOS': 37, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 6, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 0, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 4}",15,31,220,0,Algún campo sin dato,4.El Progreso,8.San Antonio La Paz,0796,presidente
7126,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 19, 'CABAL': 22, 'TODOS': 4, 'VAMOS': 21, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 0, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",9,53,208,0,Algún campo sin dato,4.El Progreso,8.San Antonio La Paz,0796,presidente
7127,,"{'UNE': 32, 'AZUL': 0, 'VALOR UNIONISTA': 24, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 19, 'PHG': 8, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 4, 'VIVA': 8, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 8}",16,46,229,0,Algún campo sin dato,4.El Progreso,8.San Antonio La Paz,0796,presidente
