mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
7156,,"{'UNE': 39, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 18, 'SEMILLA': 34, 'FCN-NACION': 0, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 10, 'VIVA': 20, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 19}",3,48,253,0,Algún campo sin dato,5.Escuintla,1.Escuintla,0800,presidente
7157,,"{'UNE': 41, 'AZUL': 6, 'VALOR UNIONISTA': 15, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 14, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 10, 'VIVA': 21, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 116}",6,57,357,1,Sumas Asentadas sin cuadrar,5.Escuintla,1.Escuintla,0800,presidente
7158,,"{'UNE': 26, 'AZUL': 3, 'VALOR UNIONISTA': 15, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 12, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 13, 'SEMILLA': 23, 'FCN-NACION': 4, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 4, 'VIVA': 20, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 11}",4,53,239,53,Sumas Asentadas sin cuadrar,5.Escuintla,1.Escuintla,0800,presidente
7159,,"{'UNE': 40, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 20, 'TODOS': 3, 'VAMOS': 11, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 19, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 1, 'UR': 7, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 9, 'VIVA': 24, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 11}",2,43,257,0,Algún campo sin dato,5.Escuintla,1.Escuintla,0800,presidente
7160,,"{'UNE': 34, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 11, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 5, 'BIEN': 10, 'VIVA': 20, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 24}",5,62,259,0,Algún campo sin dato,5.Escuintla,1.Escuintla,0800,presidente
7161,,"{'UNE': 31, 'AZUL': 5, 'VALOR UNIONISTA': 20, 'CABAL': 18, 'TODOS': 3, 'VAMOS': 13, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 18, 'SEMILLA': 38, 'FCN-NACION': 1, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 7, 'VIVA': 26, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 15}",6,43,270,0,Algún campo sin dato,5.Escuintla,1.Escuintla,0800,presidente
7162,,"{'UNE': 25, 'AZUL': 5, 'VALOR UNIONISTA': 18, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 19, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 6, 'VIVA': 28, 'MI FAMILIA': 6, 'CAMBIO': 2, 'VOS': 12}",9,9,197,58,Sumas Asentadas sin cuadrar,5.Escuintla,1.Escuintla,0800,presidente
7163,,"{'UNE': 35, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 17, 'SEMILLA': 36, 'FCN-NACION': 3, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 14, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 18}",2,47,251,0,,5.Escuintla,1.Escuintla,0800,presidente
7164,,"{'UNE': 32, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 55, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 9, 'VIVA': 24, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 21}",1,46,244,0,Algún campo sin dato,5.Escuintla,1.Escuintla,0800,presidente
7165,,"{'UNE': 35, 'AZUL': 1, 'VALOR UNIONISTA': 22, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 22, 'SEMILLA': 36, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 7, 'VIVA': 18, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 19}",0,50,245,0,Algún campo sin dato,5.Escuintla,1.Escuintla,0800,presidente
