mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8020,,"{'UNE': 106, 'AZUL': 0, 'VALOR UNIONISTA': 35, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 23, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",21,72,296,0,Algún campo sin dato,5.Escuintla,10.Iztapa,0920,presidente
8021,,"{'UNE': 111, 'AZUL': 1, 'VALOR UNIONISTA': 44, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 1, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 24, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 6}",19,66,319,0,Algún campo sin dato,5.Escuintla,10.Iztapa,0920,presidente
8022,,"{'UNE': 111, 'AZUL': 0, 'VALOR UNIONISTA': 49, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",22,85,332,0,Algún campo sin dato,5.Escuintla,10.Iztapa,0920,presidente
8023,,"{'UNE': 100, 'AZUL': 1, 'VALOR UNIONISTA': 49, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 24, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",36,91,346,0,Algún campo sin dato,5.Escuintla,10.Iztapa,0920,presidente
8024,,"{'UNE': 101, 'AZUL': 1, 'VALOR UNIONISTA': 53, 'CABAL': 8, 'TODOS': 2, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 4, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 25, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",23,90,339,0,Algún campo sin dato,5.Escuintla,10.Iztapa,0920,presidente
8025,,"{'UNE': 104, 'AZUL': 0, 'VALOR UNIONISTA': 56, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 37, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",24,71,336,0,Algún campo sin dato,5.Escuintla,10.Iztapa,0920,presidente
8026,,"{'UNE': 99, 'AZUL': 2, 'VALOR UNIONISTA': 71, 'CABAL': 6, 'TODOS': 2, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 0, 'VIVA': 37, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",19,68,338,0,Algún campo sin dato,5.Escuintla,10.Iztapa,0921,presidente
8027,,"{'UNE': 102, 'AZUL': 0, 'VALOR UNIONISTA': 46, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",18,63,302,0,Algún campo sin dato,5.Escuintla,10.Iztapa,0921,presidente
8028,,"{'UNE': 103, 'AZUL': 0, 'VALOR UNIONISTA': 35, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 1, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 25, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",13,82,304,0,Algún campo sin dato,5.Escuintla,10.Iztapa,0921,presidente
8029,,"{'UNE': 104, 'AZUL': 2, 'VALOR UNIONISTA': 44, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",24,57,289,0,Algún campo sin dato,5.Escuintla,10.Iztapa,0921,presidente
