mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8062,,"{'UNE': 61, 'AZUL': 3, 'VALOR UNIONISTA': 20, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 14, 'PHG': 1, 'PR': 9, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 64, 'FCN-NACION': 0, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 5, 'VIVA': 35, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 13}",8,50,316,0,Algún campo sin dato,5.Escuintla,11.Palín,0929,presidente
8063,,"{'UNE': 59, 'AZUL': 3, 'VALOR UNIONISTA': 22, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 8, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 12, 'SEMILLA': 66, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 12, 'CREO': 2, 'BIEN': 4, 'VIVA': 26, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",15,51,317,0,Algún campo sin dato,5.Escuintla,11.Palín,0929,presidente
8064,,"{'UNE': 71, 'AZUL': 3, 'VALOR UNIONISTA': 2, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 10, 'PHG': 2, 'PR': 7, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 56, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 11, 'CREO': 2, 'BIEN': 3, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 17}",17,47,296,1,Sumas Asentadas sin cuadrar,5.Escuintla,11.Palín,0929,presidente
8065,,"{'UNE': 39, 'AZUL': 0, 'VALOR UNIONISTA': 22, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 10, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 10, 'SEMILLA': 57, 'FCN-NACION': 4, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 12, 'CREO': 2, 'BIEN': 4, 'VIVA': 39, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 7}",9,56,314,0,Algún campo sin dato,5.Escuintla,11.Palín,0929,presidente
8066,,"{'UNE': 51, 'AZUL': 3, 'VALOR UNIONISTA': 19, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 21, 'PHG': 1, 'PR': 10, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 12, 'SEMILLA': 51, 'FCN-NACION': 2, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 13, 'CREO': 0, 'BIEN': 2, 'VIVA': 29, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",13,69,326,1,Algún campo sin dato,5.Escuintla,11.Palín,0930,presidente
8067,,"{'UNE': 42, 'AZUL': 2, 'VALOR UNIONISTA': 32, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 9, 'PHG': 1, 'PR': 14, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 46, 'FCN-NACION': 3, 'PPN': 0, 'UR': 8, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 3, 'VIVA': 20, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 11}",11,60,298,0,Algún campo sin dato,5.Escuintla,11.Palín,0930,presidente
8068,,"{'UNE': 47, 'AZUL': 3, 'VALOR UNIONISTA': 22, 'CABAL': 8, 'TODOS': 2, 'VAMOS': 10, 'PHG': 0, 'PR': 9, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 52, 'FCN-NACION': 2, 'PPN': 14, 'UR': 2, 'URNG-MAIZ WINAQ': 19, 'CREO': 2, 'BIEN': 2, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 16}",14,59,319,0,Sumas Asentadas sin cuadrar,5.Escuintla,11.Palín,0930,presidente
8069,,"{'UNE': 50, 'AZUL': 4, 'VALOR UNIONISTA': 26, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 57, 'FCN-NACION': 4, 'PPN': 6, 'UR': 5, 'URNG-MAIZ WINAQ': 11, 'CREO': 2, 'BIEN': 12, 'VIVA': 30, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 19}",5,47,331,0,Algún campo sin dato,5.Escuintla,11.Palín,0930,presidente
8070,,"{'UNE': 44, 'AZUL': 0, 'VALOR UNIONISTA': 23, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 13, 'PHG': 1, 'PR': 7, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 10, 'SEMILLA': 71, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 7, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 22}",12,50,323,0,Algún campo sin dato,5.Escuintla,11.Palín,0930,presidente
8071,,"{'UNE': 44, 'AZUL': 3, 'VALOR UNIONISTA': 23, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 11, 'PHG': 1, 'PR': 9, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 8, 'SEMILLA': 57, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 13, 'CREO': 2, 'BIEN': 4, 'VIVA': 28, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 10}",12,64,310,0,Algún campo sin dato,5.Escuintla,11.Palín,0930,presidente
8072,,"{'UNE': 42, 'AZUL': 3, 'VALOR UNIONISTA': 20, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 7, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 10, 'SEMILLA': 52, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 10, 'CREO': 3, 'BIEN': 7, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",3,68,299,2,,5.Escuintla,11.Palín,0930,presidente
8073,,"{'UNE': 46, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 5, 'PHG': 0, 'PR': 6, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 10, 'SEMILLA': 57, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 4, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 17}",13,74,304,0,Algún campo sin dato,5.Escuintla,11.Palín,0930,presidente
8074,,"{'UNE': 52, 'AZUL': 2, 'VALOR UNIONISTA': 27, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 74, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 22}",9,61,324,0,,5.Escuintla,11.Palín,0931,presidente
