mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8189,,"{'UNE': 62, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 13, 'TODOS': 7, 'VAMOS': 10, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 9, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 5, 'VIVA': 22, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 5}",5,72,261,0,Algún campo sin dato,5.Escuintla,13.Nueva Concepción,0957,presidente
8190,,"{'UNE': 55, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 19, 'TODOS': 5, 'VAMOS': 5, 'PHG': 1, 'PR': 0, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 8, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",15,88,270,0,Algún campo sin dato,5.Escuintla,13.Nueva Concepción,0957,presidente
8191,,"{'UNE': 56, 'AZUL': 1, 'VALOR UNIONISTA': 19, 'CABAL': 16, 'TODOS': 8, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",12,74,258,0,Algún campo sin dato,5.Escuintla,13.Nueva Concepción,0957,presidente
8192,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,Acta ilegible,5.Escuintla,13.Nueva Concepción,0957,presidente
8193,,"{'UNE': 44, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 10, 'TODOS': 7, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 16, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 5, 'VIVA': 24, 'MI FAMILIA': 5, 'CAMBIO': 2, 'VOS': 3}",4,79,258,0,Algún campo sin dato,5.Escuintla,13.Nueva Concepción,0957,presidente
8194,,"{'UNE': 48, 'AZUL': 2, 'VALOR UNIONISTA': 18, 'CABAL': 12, 'TODOS': 7, 'VAMOS': 1, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 3, 'VIVA': 24, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 8}",8,75,255,0,Algún campo sin dato,5.Escuintla,13.Nueva Concepción,0957,presidente
8195,,"{'UNE': 43, 'AZUL': 2, 'VALOR UNIONISTA': 29, 'CABAL': 14, 'TODOS': 6, 'VAMOS': 3, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 3, 'VIVA': 31, 'MI FAMILIA': 4, 'CAMBIO': 2, 'VOS': 11}",1,70,261,0,Algún campo sin dato,5.Escuintla,13.Nueva Concepción,0957,presidente
8196,,"{'UNE': 41, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 16, 'TODOS': 9, 'VAMOS': 6, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 5, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",9,52,242,0,,5.Escuintla,13.Nueva Concepción,0957,presidente
8197,,"{'UNE': 45, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 10, 'TODOS': 6, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 10, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 4, 'VIVA': 41, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 10}",5,55,231,7,,5.Escuintla,13.Nueva Concepción,0957,presidente
8198,,"{'UNE': 57, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 17, 'TODOS': 3, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 14, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",12,63,249,0,Sumas Asentadas sin cuadrar,5.Escuintla,13.Nueva Concepción,0957,presidente
