mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8301,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 68, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 31, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 4, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 40, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",28,62,282,0,Algún campo sin dato,5.Escuintla,14.Sipacate,0970,presidente
8302,,"{'UNE': 35, 'AZUL': 0, 'VALOR UNIONISTA': 76, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 7, 'VICTORIA': 5, 'SEMILLA': 6, 'FCN-NACION': 4, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 53, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",39,53,310,0,Algún campo sin dato,5.Escuintla,14.Sipacate,0970,presidente
8303,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 78, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 42, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",18,69,278,0,,5.Escuintla,14.Sipacate,0970,presidente
8304,,"{'UNE': 36, 'AZUL': 3, 'VALOR UNIONISTA': 94, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 31, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 40, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",18,63,310,0,Algún campo sin dato,5.Escuintla,14.Sipacate,0970,presidente
8305,,"{'UNE': 24, 'AZUL': 3, 'VALOR UNIONISTA': 79, 'CABAL': 0, 'TODOS': 1, 'VAMOS': 26, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 5, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 41, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",30,89,314,0,Sumas Asentadas sin cuadrar,5.Escuintla,14.Sipacate,0970,presidente
8306,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 71, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 28, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 46, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",38,58,297,2,Algún campo sin dato,5.Escuintla,14.Sipacate,0970,presidente
8307,,"{'UNE': 26, 'AZUL': 1, 'VALOR UNIONISTA': 90, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 21, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 43, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",20,63,290,0,Algún campo sin dato,5.Escuintla,14.Sipacate,0970,presidente
8308,,"{'UNE': 22, 'AZUL': 2, 'VALOR UNIONISTA': 70, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 0, 'SEMILLA': 8, 'FCN-NACION': 5, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 53, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",15,54,259,0,Algún campo sin dato,5.Escuintla,14.Sipacate,0970,presidente
8309,,"{'UNE': 23, 'AZUL': 2, 'VALOR UNIONISTA': 81, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 24, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 48, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",31,44,277,0,Algún campo sin dato,5.Escuintla,14.Sipacate,0970,presidente
8310,,"{'UNE': 17, 'AZUL': 2, 'VALOR UNIONISTA': 76, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 5, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",41,54,277,0,Algún campo sin dato,5.Escuintla,14.Sipacate,0970,presidente
