mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
7367,,"{'UNE': 47, 'AZUL': 10, 'VALOR UNIONISTA': 15, 'CABAL': 26, 'TODOS': 2, 'VAMOS': 17, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 5, 'VIVA': 39, 'MI FAMILIA': 5, 'CAMBIO': 2, 'VOS': 13}",9,60,285,0,Algún campo sin dato,5.Escuintla,2.Santa Lucía Cotzumalguapa,0823,presidente
7368,,"{'UNE': 53, 'AZUL': 12, 'VALOR UNIONISTA': 6, 'CABAL': 27, 'TODOS': 1, 'VAMOS': 0, 'PHG': 14, 'PR': 0, 'PIN': 4, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 5, 'VIVA': 43, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 15}",4,50,275,0,Algún campo sin dato,5.Escuintla,2.Santa Lucía Cotzumalguapa,0823,presidente
7369,,"{'UNE': 34, 'AZUL': 11, 'VALOR UNIONISTA': 0, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 8, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 12}",9,54,232,0,Sumas Asentadas sin cuadrar,5.Escuintla,2.Santa Lucía Cotzumalguapa,0823,presidente
7370,,"{'UNE': 33, 'AZUL': 15, 'VALOR UNIONISTA': 13, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 25, 'PHG': 3, 'PR': 3, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 5, 'SEMILLA': 27, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 5, 'VIVA': 45, 'MI FAMILIA': 1, 'CAMBIO': 4, 'VOS': 16}",3,52,296,0,Algún campo sin dato,5.Escuintla,2.Santa Lucía Cotzumalguapa,0823,presidente
7371,,"{'UNE': 49, 'AZUL': 6, 'VALOR UNIONISTA': 7, 'CABAL': 41, 'TODOS': 2, 'VAMOS': 14, 'PHG': 1, 'PR': 7, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 17}",5,68,281,1,,5.Escuintla,2.Santa Lucía Cotzumalguapa,0823,presidente
7372,,"{'UNE': 38, 'AZUL': 9, 'VALOR UNIONISTA': 16, 'CABAL': 33, 'TODOS': 1, 'VAMOS': 17, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 6, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 0, 'VIVA': 34, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 23}",5,38,267,0,Algún campo sin dato,5.Escuintla,2.Santa Lucía Cotzumalguapa,0823,presidente
7373,,"{'UNE': 45, 'AZUL': 9, 'VALOR UNIONISTA': 10, 'CABAL': 28, 'TODOS': 0, 'VAMOS': 16, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 6, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 7, 'VIVA': 35, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 13}",10,53,283,0,Algún campo sin dato,5.Escuintla,2.Santa Lucía Cotzumalguapa,0823,presidente
7374,,"{'UNE': 29, 'AZUL': 10, 'VALOR UNIONISTA': 17, 'CABAL': 25, 'TODOS': 2, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 29, 'FCN-NACION': 2, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 37, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 22}",5,47,262,0,Algún campo sin dato,5.Escuintla,2.Santa Lucía Cotzumalguapa,0823,presidente
7375,,"{'UNE': 30, 'AZUL': 19, 'VALOR UNIONISTA': 19, 'CABAL': 29, 'TODOS': 3, 'VAMOS': 13, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 17, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 7, 'VIVA': 39, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 19}",8,46,274,0,Sumas Asentadas sin cuadrar,5.Escuintla,2.Santa Lucía Cotzumalguapa,0823,presidente
7376,,"{'UNE': 33, 'AZUL': 13, 'VALOR UNIONISTA': 16, 'CABAL': 27, 'TODOS': 1, 'VAMOS': 17, 'PHG': 1, 'PR': 7, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 4, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 7, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 5, 'VIVA': 38, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 12}",5,52,272,0,Algún campo sin dato,5.Escuintla,2.Santa Lucía Cotzumalguapa,0823,presidente
