mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
7534,,"{'UNE': 79, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 16, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 39, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",11,45,274,0,Sumas Asentadas sin cuadrar,5.Escuintla,3.La Democracia,0848,presidente
7535,,"{'UNE': 82, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 17, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 37, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",13,59,266,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0848,presidente
7536,,"{'UNE': 59, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 11, 'TODOS': 2, 'VAMOS': 22, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 11, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 5, 'VIVA': 51, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",19,50,265,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0848,presidente
7537,,"{'UNE': 68, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 22, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 17, 'SEMILLA': 9, 'FCN-NACION': 3, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 46, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",14,60,280,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0849,presidente
7538,,"{'UNE': 76, 'AZUL': 4, 'VALOR UNIONISTA': 9, 'CABAL': 23, 'TODOS': 1, 'VAMOS': 15, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 23, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 64, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",14,52,317,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0849,presidente
7539,,"{'UNE': 69, 'AZUL': 3, 'VALOR UNIONISTA': 5, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 14, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 20, 'SEMILLA': 9, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 57, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",13,66,291,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0849,presidente
7540,,"{'UNE': 49, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 29, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 12, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 51, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 9}",0,64,254,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0849,presidente
7541,,"{'UNE': 70, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 12, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 51, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",6,58,270,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0849,presidente
7542,,"{'UNE': 64, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 14, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 14, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 43, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",5,42,237,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0849,presidente
7543,,"{'UNE': 67, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 16, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 13, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 45, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",12,46,253,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0849,presidente
7544,,"{'UNE': 81, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 15, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 37, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 9}",14,51,278,0,Sumas Asentadas sin cuadrar,5.Escuintla,3.La Democracia,0849,presidente
7545,,"{'UNE': 67, 'AZUL': 4, 'VALOR UNIONISTA': 6, 'CABAL': 14, 'TODOS': 2, 'VAMOS': 27, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 13, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 40, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",14,42,256,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0849,presidente
7546,,"{'UNE': 82, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 7, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 37, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",14,45,247,0,Sumas Asentadas sin cuadrar,5.Escuintla,3.La Democracia,0849,presidente
7547,,"{'UNE': 60, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 16, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 11, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 45, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",3,54,251,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0850,presidente
7548,,"{'UNE': 54, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 12, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 42, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",6,52,254,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0850,presidente
7549,,"{'UNE': 69, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 13, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 11, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 56, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 8}",8,58,291,1,Sumas Asentadas sin cuadrar,5.Escuintla,3.La Democracia,0850,presidente
7550,,"{'UNE': 72, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 9, 'ELEFANTE': 2, 'VICTORIA': 13, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 3, 'VIVA': 45, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",11,37,262,0,Sumas Asentadas sin cuadrar,5.Escuintla,3.La Democracia,0851,presidente
7551,,"{'UNE': 54, 'AZUL': 3, 'VALOR UNIONISTA': 5, 'CABAL': 7, 'TODOS': 2, 'VAMOS': 15, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 10, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 47, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",6,32,209,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0851,presidente
7552,,"{'UNE': 67, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 12, 'TODOS': 3, 'VAMOS': 12, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 15, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 5, 'VIVA': 40, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",26,42,252,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0852,presidente
7553,,"{'UNE': 72, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 10, 'TODOS': 4, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 15, 'SEMILLA': 6, 'FCN-NACION': 3, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 0, 'VIVA': 44, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",18,64,286,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0852,presidente
7554,,"{'UNE': 69, 'AZUL': 9, 'VALOR UNIONISTA': 9, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 9, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 0, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",17,58,261,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0852,presidente
7555,,"{'UNE': 94, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 9, 'TODOS': 3, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 10, 'SEMILLA': 7, 'FCN-NACION': 3, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 50, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",15,66,299,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0852,presidente
7556,,"{'UNE': 89, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 14, 'TODOS': 2, 'VAMOS': 8, 'PHG': 2, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 14, 'SEMILLA': 14, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 8, 'VIVA': 52, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",18,63,304,0,Sumas Asentadas sin cuadrar,5.Escuintla,3.La Democracia,0852,presidente
7557,,"{'UNE': 79, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 9, 'TODOS': 2, 'VAMOS': 19, 'PHG': 2, 'PR': 3, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 16, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 45, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",15,59,287,0,Sumas Asentadas sin cuadrar,5.Escuintla,3.La Democracia,0852,presidente
7558,,"{'UNE': 74, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 11, 'TODOS': 3, 'VAMOS': 20, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 49, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",23,69,296,0,Algún campo sin dato,5.Escuintla,3.La Democracia,0852,presidente
