mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
7586,,"{'UNE': 41, 'AZUL': 2, 'VALOR UNIONISTA': 52, 'CABAL': 13, 'TODOS': 3, 'VAMOS': 12, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 18, 'SEMILLA': 12, 'FCN-NACION': 4, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 5, 'BIEN': 1, 'VIVA': 36, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",32,50,303,0,Algún campo sin dato,5.Escuintla,4.Siquinalá,0857,presidente
7587,,"{'UNE': 35, 'AZUL': 2, 'VALOR UNIONISTA': 39, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 7, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 24, 'SEMILLA': 11, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 6, 'BIEN': 5, 'VIVA': 37, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",20,71,281,0,Algún campo sin dato,5.Escuintla,4.Siquinalá,0857,presidente
7588,,"{'UNE': 28, 'AZUL': 2, 'VALOR UNIONISTA': 43, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 8, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 17, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 8, 'BIEN': 1, 'VIVA': 45, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",19,63,269,0,Algún campo sin dato,5.Escuintla,4.Siquinalá,0857,presidente
7589,,"{'UNE': 28, 'AZUL': 3, 'VALOR UNIONISTA': 35, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 9, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 22, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 10, 'BIEN': 5, 'VIVA': 39, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 13}",14,69,280,0,Algún campo sin dato,5.Escuintla,4.Siquinalá,0857,presidente
7590,,"{'UNE': 41, 'AZUL': 8, 'VALOR UNIONISTA': 44, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 12, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 21, 'SEMILLA': 12, 'FCN-NACION': 3, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 7, 'BIEN': 3, 'VIVA': 36, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 9}",18,52,293,0,Algún campo sin dato,5.Escuintla,4.Siquinalá,0857,presidente
7591,,"{'UNE': 40, 'AZUL': 4, 'VALOR UNIONISTA': 42, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 4, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 19, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 9, 'BIEN': 4, 'VIVA': 40, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 7}",15,81,304,0,Algún campo sin dato,5.Escuintla,4.Siquinalá,0857,presidente
7592,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 38, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 8, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 22, 'SEMILLA': 21, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 3, 'VIVA': 33, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 12}",28,70,306,0,Algún campo sin dato,5.Escuintla,4.Siquinalá,0857,presidente
7593,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 32, 'CABAL': 17, 'TODOS': 2, 'VAMOS': 14, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 14, 'BIEN': 3, 'VIVA': 41, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 10}",22,58,281,0,Sumas Asentadas sin cuadrar,5.Escuintla,4.Siquinalá,0857,presidente
7594,,"{'UNE': 44, 'AZUL': 1, 'VALOR UNIONISTA': 44, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 18, 'SEMILLA': 9, 'FCN-NACION': 3, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 9, 'BIEN': 5, 'VIVA': 45, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",18,51,283,0,Algún campo sin dato,5.Escuintla,4.Siquinalá,0857,presidente
7595,,"{'UNE': 38, 'AZUL': 4, 'VALOR UNIONISTA': 31, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 14, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 23, 'SEMILLA': 10, 'FCN-NACION': 3, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 5, 'BIEN': 7, 'VIVA': 34, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 17}",33,44,288,0,Sumas Asentadas sin cuadrar,5.Escuintla,4.Siquinalá,0857,presidente
7596,,"{'UNE': 33, 'AZUL': 3, 'VALOR UNIONISTA': 47, 'CABAL': 14, 'TODOS': 2, 'VAMOS': 5, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 16, 'SEMILLA': 30, 'FCN-NACION': 4, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 9, 'BIEN': 1, 'VIVA': 45, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 16}",14,69,320,0,Algún campo sin dato,5.Escuintla,4.Siquinalá,0857,presidente
7597,,"{'UNE': 29, 'AZUL': 2, 'VALOR UNIONISTA': 45, 'CABAL': 15, 'TODOS': 3, 'VAMOS': 6, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 20, 'SEMILLA': 15, 'FCN-NACION': 6, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 9, 'BIEN': 1, 'VIVA': 47, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 11}",19,73,314,0,Algún campo sin dato,5.Escuintla,4.Siquinalá,0857,presidente
