mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
7629,,"{'UNE': 68, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 39, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",7,46,267,0,Algún campo sin dato,5.Escuintla,5.Masagua,0863,presidente
7630,,"{'UNE': 56, 'AZUL': 3, 'VALOR UNIONISTA': 20, 'CABAL': 37, 'TODOS': 1, 'VAMOS': 24, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 1, 'VIVA': 31, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 5}",9,59,269,0,Algún campo sin dato,5.Escuintla,5.Masagua,0863,presidente
7631,,"{'UNE': 80, 'AZUL': 4, 'VALOR UNIONISTA': 21, 'CABAL': 45, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 5, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 8}",15,53,300,0,Algún campo sin dato,5.Escuintla,5.Masagua,0863,presidente
7632,,"{'UNE': 72, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 38, 'TODOS': 0, 'VAMOS': 20, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 4, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",11,67,292,0,Algún campo sin dato,5.Escuintla,5.Masagua,0863,presidente
7633,,"{'UNE': 50, 'AZUL': 3, 'VALOR UNIONISTA': 17, 'CABAL': 38, 'TODOS': 0, 'VAMOS': 27, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 13, 'FCN-NACION': 3, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 43, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",20,73,312,0,Algún campo sin dato,5.Escuintla,5.Masagua,0863,presidente
7634,,"{'UNE': 58, 'AZUL': 5, 'VALOR UNIONISTA': 16, 'CABAL': 35, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",11,64,269,0,,5.Escuintla,5.Masagua,0863,presidente
7635,,"{'UNE': 46, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 30, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",5,66,237,10,,5.Escuintla,5.Masagua,0863,presidente
7636,,"{'UNE': 46, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 41, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",14,41,246,0,Algún campo sin dato,5.Escuintla,5.Masagua,0863,presidente
7637,,"{'UNE': 65, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 34, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",3,48,256,0,Algún campo sin dato,5.Escuintla,5.Masagua,0863,presidente
7638,,"{'UNE': 59, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 31, 'TODOS': 2, 'VAMOS': 26, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 8, 'FCN-NACION': 3, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 7, 'VIVA': 44, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",8,58,280,0,Algún campo sin dato,5.Escuintla,5.Masagua,0863,presidente
