mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
7712,,"{'UNE': 63, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 7, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 6, 'VIVA': 30, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 5}",12,50,255,0,Algún campo sin dato,5.Escuintla,6.Tiquisate,0870,presidente
7713,,"{'UNE': 51, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 6, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 7}",11,61,253,0,Algún campo sin dato,5.Escuintla,6.Tiquisate,0870,presidente
7714,,"{'UNE': 40, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 5, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 35, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 4}",5,80,254,0,Algún campo sin dato,5.Escuintla,6.Tiquisate,0870,presidente
7715,,"{'UNE': 35, 'AZUL': 1, 'VALOR UNIONISTA': 22, 'CABAL': 38, 'TODOS': 0, 'VAMOS': 5, 'PHG': 2, 'PR': 5, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 3, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 12}",5,81,263,0,Algún campo sin dato,5.Escuintla,6.Tiquisate,0870,presidente
7716,,"{'UNE': 46, 'AZUL': 5, 'VALOR UNIONISTA': 16, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 3, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 23, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 4, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",4,83,272,0,Algún campo sin dato,5.Escuintla,6.Tiquisate,0870,presidente
7717,,"{'UNE': 42, 'AZUL': 8, 'VALOR UNIONISTA': 14, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 23, 'FCN-NACION': 2, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 6, 'VIVA': 8, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 7}",3,63,230,0,Sumas Asentadas sin cuadrar,5.Escuintla,6.Tiquisate,0870,presidente
7718,,"{'UNE': 39, 'AZUL': 5, 'VALOR UNIONISTA': 23, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 4, 'VIVA': 36, 'MI FAMILIA': 2, 'CAMBIO': 3, 'VOS': 4}",5,71,277,0,Algún campo sin dato,5.Escuintla,6.Tiquisate,0870,presidente
7719,,"{'UNE': 46, 'AZUL': 8, 'VALOR UNIONISTA': 12, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 9, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 8, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 6}",13,61,250,0,Algún campo sin dato,5.Escuintla,6.Tiquisate,0870,presidente
7720,,"{'UNE': 46, 'AZUL': 5, 'VALOR UNIONISTA': 15, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 2, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 40, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 8}",0,57,236,0,Algún campo sin dato,5.Escuintla,6.Tiquisate,0870,presidente
7721,,"{'UNE': 28, 'AZUL': 5, 'VALOR UNIONISTA': 16, 'CABAL': 32, 'TODOS': 1, 'VAMOS': 2, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 14, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 4, 'BIEN': 5, 'VIVA': 32, 'MI FAMILIA': 2, 'CAMBIO': 4, 'VOS': 9}",8,62,256,0,Algún campo sin dato,5.Escuintla,6.Tiquisate,0870,presidente
