mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
7874,,"{'UNE': 88, 'AZUL': 7, 'VALOR UNIONISTA': 10, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 29, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 0, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",24,32,245,0,,5.Escuintla,8.Guanagazapa,0894,presidente
7875,,"{'UNE': 99, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 18, 'TODOS': 2, 'VAMOS': 19, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 16, 'CREO': 1, 'BIEN': 2, 'VIVA': 20, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 1}",26,26,250,0,,5.Escuintla,8.Guanagazapa,0894,presidente
7876,,"{'UNE': 100, 'AZUL': 9, 'VALOR UNIONISTA': 7, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 2, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 5, 'VOS': 0}",33,38,269,0,Algún campo sin dato,5.Escuintla,8.Guanagazapa,0894,presidente
7877,,"{'UNE': 88, 'AZUL': 5, 'VALOR UNIONISTA': 11, 'CABAL': 25, 'TODOS': 1, 'VAMOS': 43, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 8, 'VOS': 1}",28,34,288,0,Algún campo sin dato,5.Escuintla,8.Guanagazapa,0894,presidente
7878,,"{'UNE': 94, 'AZUL': 5, 'VALOR UNIONISTA': 8, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 29, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 3, 'CAMBIO': 3, 'VOS': 4}",53,42,294,0,Algún campo sin dato,5.Escuintla,8.Guanagazapa,0894,presidente
7879,,"{'UNE': 91, 'AZUL': 7, 'VALOR UNIONISTA': 15, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 33, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 1, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 1}",30,35,280,0,,5.Escuintla,8.Guanagazapa,0894,presidente
7880,,"{'UNE': 119, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 39, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 2}",26,47,299,0,Algún campo sin dato,5.Escuintla,8.Guanagazapa,0894,presidente
7881,,"{'UNE': 76, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 38, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 6, 'FCN-NACION': 4, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 4}",22,34,247,0,Algún campo sin dato,5.Escuintla,8.Guanagazapa,0894,presidente
7882,,"{'UNE': 93, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 1, 'VIVA': 26, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 1}",15,39,232,0,Algún campo sin dato,5.Escuintla,8.Guanagazapa,0894,presidente
7883,,"{'UNE': 86, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 37, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",14,39,251,0,Algún campo sin dato,5.Escuintla,8.Guanagazapa,0894,presidente
