mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
7917,,"{'UNE': 29, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 8, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",2,39,134,0,Algún campo sin dato,5.Escuintla,9.San José,0903,presidente
7918,,"{'UNE': 76, 'AZUL': 2, 'VALOR UNIONISTA': 30, 'CABAL': 12, 'TODOS': 5, 'VAMOS': 16, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 6, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 24, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",3,63,273,0,Sumas Asentadas sin cuadrar,5.Escuintla,9.San José,0904,presidente
7919,,"{'UNE': 64, 'AZUL': 3, 'VALOR UNIONISTA': 26, 'CABAL': 6, 'TODOS': 2, 'VAMOS': 19, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 7, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 0, 'VIVA': 26, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 12}",5,67,272,0,Algún campo sin dato,5.Escuintla,9.San José,0904,presidente
7920,,"{'UNE': 69, 'AZUL': 0, 'VALOR UNIONISTA': 22, 'CABAL': 11, 'TODOS': 3, 'VAMOS': 18, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 11, 'VICTORIA': 1, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 6, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 10}",9,62,284,0,Algún campo sin dato,5.Escuintla,9.San José,0904,presidente
7921,,"{'UNE': 60, 'AZUL': 0, 'VALOR UNIONISTA': 27, 'CABAL': 8, 'TODOS': 7, 'VAMOS': 24, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 11, 'VICTORIA': 7, 'SEMILLA': 34, 'FCN-NACION': 0, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 5, 'VIVA': 20, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",9,73,308,0,Algún campo sin dato,5.Escuintla,9.San José,0905,presidente
7922,,"{'UNE': 66, 'AZUL': 2, 'VALOR UNIONISTA': 45, 'CABAL': 12, 'TODOS': 4, 'VAMOS': 15, 'PHG': 3, 'PR': 0, 'PIN': 3, 'ELEFANTE': 21, 'VICTORIA': 0, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 7, 'VOS': 3}",17,75,311,0,Algún campo sin dato,5.Escuintla,9.San José,0905,presidente
7923,,"{'UNE': 66, 'AZUL': 2, 'VALOR UNIONISTA': 27, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 9, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 9, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",12,71,298,0,Algún campo sin dato,5.Escuintla,9.San José,0905,presidente
7924,,"{'UNE': 72, 'AZUL': 2, 'VALOR UNIONISTA': 32, 'CABAL': 18, 'TODOS': 3, 'VAMOS': 23, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 1, 'SEMILLA': 30, 'FCN-NACION': 1, 'PPN': 3, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 8, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",8,63,311,0,Algún campo sin dato,5.Escuintla,9.San José,0905,presidente
7925,,"{'UNE': 66, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 10, 'TODOS': 8, 'VAMOS': 32, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 9, 'VICTORIA': 1, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 6, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 4, 'VIVA': 23, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 7}",9,70,305,0,Algún campo sin dato,5.Escuintla,9.San José,0905,presidente
7926,,"{'UNE': 55, 'AZUL': 0, 'VALOR UNIONISTA': 27, 'CABAL': 9, 'TODOS': 4, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 4, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",0,73,257,0,Algún campo sin dato,5.Escuintla,9.San José,0905,presidente
