mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8334,,"{'UNE': 34, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 20, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 52, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 16, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",6,46,230,0,Algún campo sin dato,6.Santa Rosa,1.Cuilapa,0975,presidente
8335,,"{'UNE': 45, 'AZUL': 6, 'VALOR UNIONISTA': 20, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 59, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 11, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",4,52,259,0,Algún campo sin dato,6.Santa Rosa,1.Cuilapa,0975,presidente
8336,,"{'UNE': 32, 'AZUL': 3, 'VALOR UNIONISTA': 22, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 28, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 49, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 21, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",10,63,273,0,Algún campo sin dato,6.Santa Rosa,1.Cuilapa,0975,presidente
8337,,"{'UNE': 45, 'AZUL': 0, 'VALOR UNIONISTA': 21, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 28, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 60, 'FCN-NACION': 0, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",10,52,260,0,Sumas Asentadas sin cuadrar,6.Santa Rosa,1.Cuilapa,0975,presidente
8338,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 27, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 27, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 56, 'FCN-NACION': 1, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 11, 'VIVA': 14, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 9}",7,59,288,0,Algún campo sin dato,6.Santa Rosa,1.Cuilapa,0975,presidente
8339,,"{'UNE': 39, 'AZUL': 3, 'VALOR UNIONISTA': 19, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 32, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 59, 'FCN-NACION': 1, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 9, 'VIVA': 5, 'MI FAMILIA': 8, 'CAMBIO': 1, 'VOS': 11}",8,51,277,277,Algún campo sin dato,6.Santa Rosa,1.Cuilapa,0975,presidente
8340,,"{'UNE': 31, 'AZUL': 6, 'VALOR UNIONISTA': 27, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 37, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 50, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 6, 'VIVA': 2, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 22}",5,62,280,0,Algún campo sin dato,6.Santa Rosa,1.Cuilapa,0975,presidente
8341,,"{'UNE': 29, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 32, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 66, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 7, 'VIVA': 12, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 9}",6,55,264,0,Algún campo sin dato,6.Santa Rosa,1.Cuilapa,0975,presidente
8342,,"{'UNE': 26, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 75, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",4,51,233,0,Algún campo sin dato,6.Santa Rosa,1.Cuilapa,0975,presidente
8343,,"{'UNE': 30, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 18, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 66, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 13, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 12}",7,58,242,0,,6.Santa Rosa,1.Cuilapa,0975,presidente
