mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8833,,"{'UNE': 56, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 29, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",15,49,233,0,Algún campo sin dato,6.Santa Rosa,10.Santa María Ixhuatán,1063,presidente
8834,,"{'UNE': 80, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 18, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 46, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",14,31,252,0,Algún campo sin dato,6.Santa Rosa,10.Santa María Ixhuatán,1063,presidente
8835,,"{'UNE': 70, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 24, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 16, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 35, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 5}",23,40,261,2,Algún campo sin dato,6.Santa Rosa,10.Santa María Ixhuatán,1063,presidente
8836,,"{'UNE': 92, 'AZUL': 0, 'VALOR UNIONISTA': 26, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 6, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",13,40,268,0,Algún campo sin dato,6.Santa Rosa,10.Santa María Ixhuatán,1063,presidente
8837,,"{'UNE': 77, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 7, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",27,36,252,0,Algún campo sin dato,6.Santa Rosa,10.Santa María Ixhuatán,1063,presidente
8838,,"{'UNE': 77, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 28, 'TODOS': 0, 'VAMOS': 18, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 7, 'VIVA': 36, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",25,48,276,124,Algún campo sin dato,6.Santa Rosa,10.Santa María Ixhuatán,1064,presidente
8839,,"{'UNE': 82, 'AZUL': 1, 'VALOR UNIONISTA': 19, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",27,33,258,0,Algún campo sin dato,6.Santa Rosa,10.Santa María Ixhuatán,1064,presidente
8840,,"{'UNE': 80, 'AZUL': 1, 'VALOR UNIONISTA': 18, 'CABAL': 32, 'TODOS': 1, 'VAMOS': 21, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 4, 'VIVA': 35, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",21,45,276,0,Algún campo sin dato,6.Santa Rosa,10.Santa María Ixhuatán,1064,presidente
8841,,"{'UNE': 102, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 9, 'VIVA': 30, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",27,43,281,0,Sumas Asentadas sin cuadrar,6.Santa Rosa,10.Santa María Ixhuatán,1065,presidente
8842,,"{'UNE': 69, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 45, 'TODOS': 1, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 6, 'VIVA': 36, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",32,41,275,0,Algún campo sin dato,6.Santa Rosa,10.Santa María Ixhuatán,1065,presidente
8843,,"{'UNE': 87, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 34, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 10, 'VIVA': 41, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 3}",22,50,286,0,Algún campo sin dato,6.Santa Rosa,10.Santa María Ixhuatán,1065,presidente
8844,,"{'UNE': 77, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 34, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 8, 'VIVA': 46, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 5}",18,52,272,0,Algún campo sin dato,6.Santa Rosa,10.Santa María Ixhuatán,1065,presidente
8845,,"{'UNE': 76, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 36, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 6, 'VIVA': 24, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",27,41,256,0,,6.Santa Rosa,10.Santa María Ixhuatán,1065,presidente
8846,,"{'UNE': 96, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 38, 'TODOS': 0, 'VAMOS': 21, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 0}",24,45,290,0,,6.Santa Rosa,10.Santa María Ixhuatán,1065,presidente
8847,,"{'UNE': 90, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 27, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 34, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",32,39,273,0,Algún campo sin dato,6.Santa Rosa,10.Santa María Ixhuatán,1065,presidente
8848,,"{'UNE': 65, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 47, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 81, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 8, 'VIVA': 46, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",32,52,381,1,Sumas Asentadas sin cuadrar,6.Santa Rosa,10.Santa María Ixhuatán,1065,presidente
