mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8872,,"{'UNE': 70, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 62, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 29, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 2}",18,66,300,0,Algún campo sin dato,6.Santa Rosa,11.Guazacapán,1070,presidente
8873,,"{'UNE': 82, 'AZUL': 5, 'VALOR UNIONISTA': 11, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 44, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 21, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 7}",12,66,305,0,Algún campo sin dato,6.Santa Rosa,11.Guazacapán,1070,presidente
8874,,"{'UNE': 90, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 62, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 4, 'VIVA': 29, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",22,56,328,0,Algún campo sin dato,6.Santa Rosa,11.Guazacapán,1070,presidente
8875,,"{'UNE': 68, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 51, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 5, 'BIEN': 6, 'VIVA': 23, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",22,68,303,0,Sumas Asentadas sin cuadrar,6.Santa Rosa,11.Guazacapán,1070,presidente
8876,,"{'UNE': 73, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 50, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 0, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 7}",23,71,294,1,Sumas Asentadas sin cuadrar,6.Santa Rosa,11.Guazacapán,1070,presidente
8877,,"{'UNE': 62, 'AZUL': 6, 'VALOR UNIONISTA': 1, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 48, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 2, 'VIVA': 24, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 10}",26,69,298,0,Sumas Asentadas sin cuadrar,6.Santa Rosa,11.Guazacapán,1070,presidente
8878,,"{'UNE': 69, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 48, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",24,82,303,0,Sumas Asentadas sin cuadrar,6.Santa Rosa,11.Guazacapán,1070,presidente
8879,,"{'UNE': 48, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 38, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 7, 'VIVA': 38, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",9,54,256,0,Algún campo sin dato,6.Santa Rosa,11.Guazacapán,1071,presidente
8880,,"{'UNE': 64, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 41, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 2, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",10,60,278,0,Algún campo sin dato,6.Santa Rosa,11.Guazacapán,1071,presidente
8881,,"{'UNE': 63, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 49, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 3, 'VIVA': 23, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",11,69,291,0,Algún campo sin dato,6.Santa Rosa,11.Guazacapán,1071,presidente
