mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8905,,"{'UNE': 20, 'AZUL': 1, 'VALOR UNIONISTA': 31, 'CABAL': 47, 'TODOS': 2, 'VAMOS': 19, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 12, 'VIVA': 8, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 12}",23,56,294,0,Algún campo sin dato,6.Santa Rosa,12.Santa Cruz Naranjo,1076,presidente
8906,,"{'UNE': 26, 'AZUL': 0, 'VALOR UNIONISTA': 25, 'CABAL': 46, 'TODOS': 1, 'VAMOS': 35, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 44, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 5, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",20,66,293,0,,6.Santa Rosa,12.Santa Cruz Naranjo,1076,presidente
8907,,"{'UNE': 32, 'AZUL': 2, 'VALOR UNIONISTA': 38, 'CABAL': 38, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 23, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 11, 'VIVA': 10, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 16}",22,74,298,0,Algún campo sin dato,6.Santa Rosa,12.Santa Cruz Naranjo,1076,presidente
8908,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 26, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 56, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 17}",6,51,255,0,Algún campo sin dato,6.Santa Rosa,12.Santa Cruz Naranjo,1076,presidente
8909,,"{'UNE': 17, 'AZUL': 3, 'VALOR UNIONISTA': 17, 'CABAL': 43, 'TODOS': 1, 'VAMOS': 21, 'PHG': 2, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 52, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",16,63,268,0,Algún campo sin dato,6.Santa Rosa,12.Santa Cruz Naranjo,1076,presidente
8910,,"{'UNE': 11, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 59, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 8, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",6,38,190,0,Algún campo sin dato,6.Santa Rosa,12.Santa Cruz Naranjo,1076,presidente
8911,,"{'UNE': 8, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 58, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",6,29,168,0,,6.Santa Rosa,12.Santa Cruz Naranjo,1076,presidente
8912,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 37, 'CABAL': 52, 'TODOS': 1, 'VAMOS': 37, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 9, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 9}",34,73,318,0,Algún campo sin dato,6.Santa Rosa,12.Santa Cruz Naranjo,1077,presidente
8913,,"{'UNE': 35, 'AZUL': 1, 'VALOR UNIONISTA': 29, 'CABAL': 44, 'TODOS': 0, 'VAMOS': 44, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",41,72,313,0,Algún campo sin dato,6.Santa Rosa,12.Santa Cruz Naranjo,1077,presidente
8914,,"{'UNE': 9, 'AZUL': 1, 'VALOR UNIONISTA': 23, 'CABAL': 41, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 27, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",23,64,241,0,Algún campo sin dato,6.Santa Rosa,12.Santa Cruz Naranjo,1077,presidente
