mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8935,,"{'UNE': 43, 'AZUL': 6, 'VALOR UNIONISTA': 28, 'CABAL': 25, 'TODOS': 2, 'VAMOS': 24, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 25, 'FCN-NACION': 12, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 3, 'VIVA': 13, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 11}",16,55,280,0,Algún campo sin dato,6.Santa Rosa,13.Pueblo Nuevo Viñas,1081,presidente
8936,,"{'UNE': 47, 'AZUL': 6, 'VALOR UNIONISTA': 28, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 19, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 31, 'FCN-NACION': 9, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 5, 'VIVA': 21, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 7}",21,45,275,0,Algún campo sin dato,6.Santa Rosa,13.Pueblo Nuevo Viñas,1081,presidente
8937,,"{'UNE': 31, 'AZUL': 8, 'VALOR UNIONISTA': 28, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 36, 'PHG': 1, 'PR': 7, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 28, 'FCN-NACION': 9, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",17,73,296,0,Algún campo sin dato,6.Santa Rosa,13.Pueblo Nuevo Viñas,1081,presidente
8938,,"{'UNE': 27, 'AZUL': 8, 'VALOR UNIONISTA': 23, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 39, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 21, 'FCN-NACION': 6, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 5, 'BIEN': 4, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",21,45,273,0,Algún campo sin dato,6.Santa Rosa,13.Pueblo Nuevo Viñas,1081,presidente
8939,,"{'UNE': 39, 'AZUL': 5, 'VALOR UNIONISTA': 18, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 34, 'FCN-NACION': 5, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 9}",18,51,246,0,Sumas Asentadas sin cuadrar,6.Santa Rosa,13.Pueblo Nuevo Viñas,1081,presidente
8940,,"{'UNE': 28, 'AZUL': 3, 'VALOR UNIONISTA': 27, 'CABAL': 33, 'TODOS': 1, 'VAMOS': 21, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 38, 'FCN-NACION': 5, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 16, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 10}",6,43,246,7,Algún campo sin dato,6.Santa Rosa,13.Pueblo Nuevo Viñas,1081,presidente
8941,,"{'UNE': 31, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 29, 'FCN-NACION': 12, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 5, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",12,57,234,0,Algún campo sin dato,6.Santa Rosa,13.Pueblo Nuevo Viñas,1082,presidente
8942,,"{'UNE': 31, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 64, 'FCN-NACION': 6, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",8,43,248,1,Algún campo sin dato,6.Santa Rosa,13.Pueblo Nuevo Viñas,1082,presidente
8943,,"{'UNE': 16, 'AZUL': 3, 'VALOR UNIONISTA': 15, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 63, 'FCN-NACION': 5, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 5, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",8,44,220,0,Algún campo sin dato,6.Santa Rosa,13.Pueblo Nuevo Viñas,1082,presidente
8944,,"{'UNE': 32, 'AZUL': 4, 'VALOR UNIONISTA': 13, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 33, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",3,39,191,0,Algún campo sin dato,6.Santa Rosa,13.Pueblo Nuevo Viñas,1082,presidente
8945,,"{'UNE': 51, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",14,33,175,0,Algún campo sin dato,6.Santa Rosa,13.Pueblo Nuevo Viñas,1083,presidente
8946,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 16, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",12,37,150,0,Algún campo sin dato,6.Santa Rosa,13.Pueblo Nuevo Viñas,1083,presidente
8947,,"{'UNE': 59, 'AZUL': 4, 'VALOR UNIONISTA': 30, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 33, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 21, 'FCN-NACION': 5, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 6, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",28,49,291,0,Algún campo sin dato,6.Santa Rosa,13.Pueblo Nuevo Viñas,1084,presidente
8948,,"{'UNE': 62, 'AZUL': 4, 'VALOR UNIONISTA': 23, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 40, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 18, 'FCN-NACION': 8, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",31,38,287,113,Algún campo sin dato,6.Santa Rosa,13.Pueblo Nuevo Viñas,1084,presidente
