mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8407,,"{'UNE': 43, 'AZUL': 2, 'VALOR UNIONISTA': 51, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 24, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",13,52,253,0,Algún campo sin dato,6.Santa Rosa,2.Barberena,0986,presidente
8408,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 56, 'CABAL': 15, 'TODOS': 2, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 23, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",6,68,264,0,Algún campo sin dato,6.Santa Rosa,2.Barberena,0986,presidente
8409,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 48, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 7, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 8}",6,77,266,0,Algún campo sin dato,6.Santa Rosa,2.Barberena,0986,presidente
8410,,"{'UNE': 27, 'AZUL': 0, 'VALOR UNIONISTA': 41, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 21, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 31, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 4, 'VIVA': 14, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 5}",13,83,271,0,Algún campo sin dato,6.Santa Rosa,2.Barberena,0986,presidente
8411,,"{'UNE': 35, 'AZUL': 0, 'VALOR UNIONISTA': 51, 'CABAL': 20, 'TODOS': 2, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",13,62,266,5,Algún campo sin dato,6.Santa Rosa,2.Barberena,0986,presidente
8412,,"{'UNE': 26, 'AZUL': 4, 'VALOR UNIONISTA': 43, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 30, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 8, 'VIVA': 12, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 10}",5,63,246,4,Algún campo sin dato,6.Santa Rosa,2.Barberena,0986,presidente
8413,,"{'UNE': 43, 'AZUL': 0, 'VALOR UNIONISTA': 49, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 6, 'VIVA': 17, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 7}",8,75,286,83,Sumas Asentadas sin cuadrar,6.Santa Rosa,2.Barberena,0986,presidente
8414,,"{'UNE': 30, 'AZUL': 3, 'VALOR UNIONISTA': 52, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 12}",4,73,272,0,Algún campo sin dato,6.Santa Rosa,2.Barberena,0986,presidente
8415,,"{'UNE': 41, 'AZUL': 3, 'VALOR UNIONISTA': 46, 'CABAL': 15, 'TODOS': 2, 'VAMOS': 17, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 31, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 10}",13,82,298,0,Algún campo sin dato,6.Santa Rosa,2.Barberena,0986,presidente
8416,,"{'UNE': 48, 'AZUL': 2, 'VALOR UNIONISTA': 35, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 19, 'PHG': 1, 'PR': 1, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 7, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",13,66,255,0,Algún campo sin dato,6.Santa Rosa,2.Barberena,0986,presidente
