mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8504,,"{'UNE': 32, 'AZUL': 3, 'VALOR UNIONISTA': 23, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 26, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 5, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",18,62,253,0,Algún campo sin dato,6.Santa Rosa,3.Santa Rosa De Lima,1001,presidente
8505,,"{'UNE': 27, 'AZUL': 1, 'VALOR UNIONISTA': 33, 'CABAL': 32, 'TODOS': 0, 'VAMOS': 12, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 6, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",17,86,265,0,Algún campo sin dato,6.Santa Rosa,3.Santa Rosa De Lima,1001,presidente
8506,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 33, 'CABAL': 31, 'TODOS': 1, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 30, 'FCN-NACION': 0, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 5, 'VIVA': 4, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 3}",22,71,253,0,Algún campo sin dato,6.Santa Rosa,3.Santa Rosa De Lima,1001,presidente
8507,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 31, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 1, 'VIVA': 4, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 5}",18,71,249,0,Algún campo sin dato,6.Santa Rosa,3.Santa Rosa De Lima,1001,presidente
8508,,"{'UNE': 12, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 45, 'TODOS': 1, 'VAMOS': 17, 'PHG': 0, 'PR': 3, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",17,81,246,0,Algún campo sin dato,6.Santa Rosa,3.Santa Rosa De Lima,1001,presidente
8509,,"{'UNE': 18, 'AZUL': 0, 'VALOR UNIONISTA': 38, 'CABAL': 43, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 1, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",23,100,281,0,Algún campo sin dato,6.Santa Rosa,3.Santa Rosa De Lima,1001,presidente
8510,,"{'UNE': 11, 'AZUL': 1, 'VALOR UNIONISTA': 24, 'CABAL': 37, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 1, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",10,66,200,0,Algún campo sin dato,6.Santa Rosa,3.Santa Rosa De Lima,1001,presidente
8511,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 20, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 5, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",12,73,218,0,Algún campo sin dato,6.Santa Rosa,3.Santa Rosa De Lima,1001,presidente
8512,,"{'UNE': 17, 'AZUL': 0, 'VALOR UNIONISTA': 38, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 34, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 6, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 6}",13,52,213,0,Algún campo sin dato,6.Santa Rosa,3.Santa Rosa De Lima,1001,presidente
8513,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 20, 'CABAL': 25, 'TODOS': 4, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 46, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",12,72,223,0,Algún campo sin dato,6.Santa Rosa,3.Santa Rosa De Lima,1001,presidente
