mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8542,,"{'UNE': 27, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",29,72,226,0,Algún campo sin dato,6.Santa Rosa,4.Casillas,1008,presidente
8543,,"{'UNE': 32, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 51, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 7, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",25,58,241,0,Algún campo sin dato,6.Santa Rosa,4.Casillas,1008,presidente
8544,,"{'UNE': 27, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 47, 'TODOS': 2, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",15,79,251,0,Algún campo sin dato,6.Santa Rosa,4.Casillas,1008,presidente
8545,,"{'UNE': 37, 'AZUL': 5, 'VALOR UNIONISTA': 14, 'CABAL': 39, 'TODOS': 2, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",27,62,240,0,Algún campo sin dato,6.Santa Rosa,4.Casillas,1009,presidente
8546,,"{'UNE': 39, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 48, 'TODOS': 1, 'VAMOS': 18, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",36,77,261,0,Algún campo sin dato,6.Santa Rosa,4.Casillas,1009,presidente
8547,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 37, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",32,77,252,0,Sumas Asentadas sin cuadrar,6.Santa Rosa,4.Casillas,1009,presidente
8548,,"{'UNE': 28, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 13, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",22,75,230,0,Algún campo sin dato,6.Santa Rosa,4.Casillas,1009,presidente
8549,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",21,62,200,0,Algún campo sin dato,6.Santa Rosa,4.Casillas,1009,presidente
8550,,"{'UNE': 29, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 35, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",24,64,221,0,Algún campo sin dato,6.Santa Rosa,4.Casillas,1009,presidente
8551,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",9,52,188,0,Algún campo sin dato,6.Santa Rosa,4.Casillas,1009,presidente
