mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8582,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 49, 'TODOS': 0, 'VAMOS': 13, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",40,60,246,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1017,presidente
8583,,"{'UNE': 47, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 43, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 8, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 4}",47,61,269,1,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1017,presidente
8584,,"{'UNE': 50, 'AZUL': 1, 'VALOR UNIONISTA': 19, 'CABAL': 55, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",56,70,288,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1017,presidente
8585,,"{'UNE': 64, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 73, 'TODOS': 1, 'VAMOS': 15, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 3, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",45,65,306,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1017,presidente
8586,,"{'UNE': 49, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 82, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",45,64,302,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1017,presidente
8587,,"{'UNE': 52, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 75, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",59,59,301,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1017,presidente
8588,,"{'UNE': 63, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 90, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",61,54,318,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1017,presidente
8589,,"{'UNE': 77, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 51, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",68,51,301,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1017,presidente
8590,,"{'UNE': 69, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 69, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 2, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",66,45,302,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1017,presidente
8591,,"{'UNE': 85, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 58, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",50,52,295,0,Sumas Asentadas sin cuadrar,6.Santa Rosa,5.San Rafael Las Flores,1017,presidente
8592,,"{'UNE': 67, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 55, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",43,65,275,0,Sumas Asentadas sin cuadrar,6.Santa Rosa,5.San Rafael Las Flores,1017,presidente
8593,,"{'UNE': 37, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 60, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 16, 'FCN-NACION': 2, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",22,48,229,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1017,presidente
8594,,"{'UNE': 36, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 61, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",33,55,232,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1017,presidente
8595,,"{'UNE': 37, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 56, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",29,49,232,0,Sumas Asentadas sin cuadrar,6.Santa Rosa,5.San Rafael Las Flores,1017,presidente
8596,,"{'UNE': 43, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 42, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",36,64,236,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1018,presidente
8597,,"{'UNE': 45, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 66, 'TODOS': 0, 'VAMOS': 6, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 1, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",30,57,234,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1018,presidente
8598,,"{'UNE': 43, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 68, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",24,66,250,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1018,presidente
8599,,"{'UNE': 51, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 58, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",24,60,250,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1018,presidente
8600,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 55, 'TODOS': 0, 'VAMOS': 11, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 23, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",28,86,260,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1018,presidente
8601,,"{'UNE': 53, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 62, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",31,70,275,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1018,presidente
8602,,"{'UNE': 73, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 101, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",34,42,292,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1019,presidente
8603,,"{'UNE': 51, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 55, 'TODOS': 0, 'VAMOS': 7, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",28,25,194,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1019,presidente
8604,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 32, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",13,20,116,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1019,presidente
8605,,"{'UNE': 12, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",9,22,87,0,Algún campo sin dato,6.Santa Rosa,5.San Rafael Las Flores,1019,presidente
