mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8607,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 16, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 9, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",26,56,227,0,Algún campo sin dato,6.Santa Rosa,6.Oratorio,1021,presidente
8608,,"{'UNE': 49, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 8, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 33, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",22,66,252,0,Algún campo sin dato,6.Santa Rosa,6.Oratorio,1021,presidente
8609,,"{'UNE': 46, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 22, 'TODOS': 44, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 19, 'FCN-NACION': 2, 'PPN': 14, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 20, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 6}",16,63,294,0,Sumas Asentadas sin cuadrar,6.Santa Rosa,6.Oratorio,1021,presidente
8610,,"{'UNE': 29, 'AZUL': 0, 'VALOR UNIONISTA': 19, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 18, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 8, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 11, 'VIVA': 22, 'MI FAMILIA': 9, 'CAMBIO': 2, 'VOS': 16}",14,63,273,0,Sumas Asentadas sin cuadrar,6.Santa Rosa,6.Oratorio,1021,presidente
8611,,"{'UNE': 35, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 27, 'FCN-NACION': 1, 'PPN': 10, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 13, 'VIVA': 37, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",16,78,288,0,Algún campo sin dato,6.Santa Rosa,6.Oratorio,1021,presidente
8612,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,Suma Excede Padrón,6.Santa Rosa,6.Oratorio,1021,presidente
8613,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 26, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 14, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 5, 'VIVA': 26, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 11}",3,79,255,0,Algún campo sin dato,6.Santa Rosa,6.Oratorio,1022,presidente
8614,,"{'UNE': 37, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 9, 'VIVA': 16, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 8}",5,72,217,0,Algún campo sin dato,6.Santa Rosa,6.Oratorio,1022,presidente
8615,,"{'UNE': 24, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 11, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 27, 'FCN-NACION': 1, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 11, 'VIVA': 26, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 17}",10,67,244,0,Algún campo sin dato,6.Santa Rosa,6.Oratorio,1022,presidente
8616,,"{'UNE': 39, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 9, 'VIVA': 16, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 11}",17,67,248,0,Algún campo sin dato,6.Santa Rosa,6.Oratorio,1022,presidente
