mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
9043,,"{'UNE': 44, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 20, 'TODOS': 3, 'VAMOS': 17, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 40, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 15, 'CREO': 2, 'BIEN': 6, 'VIVA': 37, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",32,37,302,0,Algún campo sin dato,7.Sololá,1.Sololá,1103,presidente
9044,,"{'UNE': 45, 'AZUL': 7, 'VALOR UNIONISTA': 11, 'CABAL': 17, 'TODOS': 2, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 28, 'FCN-NACION': 3, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 23, 'CREO': 2, 'BIEN': 2, 'VIVA': 30, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 17}",31,52,300,0,Algún campo sin dato,7.Sololá,1.Sololá,1103,presidente
9045,,"{'UNE': 59, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 18, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 33, 'FCN-NACION': 1, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 18, 'CREO': 3, 'BIEN': 1, 'VIVA': 31, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 15}",33,52,310,0,Algún campo sin dato,7.Sololá,1.Sololá,1103,presidente
9046,,"{'UNE': 31, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 42, 'FCN-NACION': 2, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 23, 'CREO': 0, 'BIEN': 2, 'VIVA': 40, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 10}",36,55,315,0,Algún campo sin dato,7.Sololá,1.Sololá,1103,presidente
9047,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 23, 'CABAL': 27, 'TODOS': 1, 'VAMOS': 24, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 47, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 20, 'CREO': 4, 'BIEN': 2, 'VIVA': 42, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 16}",23,48,328,0,Algún campo sin dato,7.Sololá,1.Sololá,1103,presidente
9048,,"{'UNE': 36, 'AZUL': 0, 'VALOR UNIONISTA': 22, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 23, 'PHG': 1, 'PR': 3, 'PIN': 2, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 47, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 18, 'CREO': 1, 'BIEN': 7, 'VIVA': 40, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 19}",2,53,309,0,Algún campo sin dato,7.Sololá,1.Sololá,1103,presidente
9049,,"{'UNE': 38, 'AZUL': 1, 'VALOR UNIONISTA': 27, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 19, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 48, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 16, 'CREO': 1, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 6, 'CAMBIO': 2, 'VOS': 23}",15,48,290,0,Algún campo sin dato,7.Sololá,1.Sololá,1103,presidente
9050,,"{'UNE': 31, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 45, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 15, 'CREO': 1, 'BIEN': 4, 'VIVA': 57, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 13}",22,56,290,0,Algún campo sin dato,7.Sololá,1.Sololá,1103,presidente
9051,,"{'UNE': 41, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 18, 'TODOS': 2, 'VAMOS': 13, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 55, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 6, 'VIVA': 25, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 20}",13,48,281,0,Algún campo sin dato,7.Sololá,1.Sololá,1103,presidente
9052,,"{'UNE': 31, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 17, 'TODOS': 2, 'VAMOS': 14, 'PHG': 1, 'PR': 5, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 48, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 17, 'CREO': 2, 'BIEN': 4, 'VIVA': 50, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 16}",21,54,309,0,Algún campo sin dato,7.Sololá,1.Sololá,1103,presidente
