mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
9496,,"{'UNE': 30, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 17, 'PHG': 3, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 12, 'SEMILLA': 27, 'FCN-NACION': 2, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 3, 'VIVA': 45, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 22}",15,52,294,0,Algún campo sin dato,7.Sololá,10.Panajachel,1177,presidente
9497,,"{'UNE': 29, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 36, 'TODOS': 0, 'VAMOS': 22, 'PHG': 2, 'PR': 8, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 16, 'SEMILLA': 35, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 1, 'VIVA': 42, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 20}",15,47,311,0,Algún campo sin dato,7.Sololá,10.Panajachel,1177,presidente
9498,,"{'UNE': 28, 'AZUL': 2, 'VALOR UNIONISTA': 25, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 25, 'PHG': 1, 'PR': 8, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 10, 'SEMILLA': 46, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 18, 'CREO': 2, 'BIEN': 5, 'VIVA': 34, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 13}",13,55,316,0,Algún campo sin dato,7.Sololá,10.Panajachel,1177,presidente
9499,,"{'UNE': 25, 'AZUL': 1, 'VALOR UNIONISTA': 21, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 15, 'PHG': 3, 'PR': 4, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 42, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 13, 'CREO': 1, 'BIEN': 6, 'VIVA': 39, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 24}",11,52,307,0,Algún campo sin dato,7.Sololá,10.Panajachel,1177,presidente
9500,,"{'UNE': 27, 'AZUL': 3, 'VALOR UNIONISTA': 24, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 20, 'PHG': 2, 'PR': 10, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 12, 'SEMILLA': 47, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 1, 'VIVA': 52, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 20}",16,43,323,0,Algún campo sin dato,7.Sololá,10.Panajachel,1177,presidente
9501,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 25, 'CABAL': 32, 'TODOS': 0, 'VAMOS': 23, 'PHG': 1, 'PR': 7, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 21, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 8, 'VIVA': 44, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 19}",16,50,323,56,Algún campo sin dato,7.Sololá,10.Panajachel,1177,presidente
9502,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 18, 'CABAL': 32, 'TODOS': 1, 'VAMOS': 27, 'PHG': 3, 'PR': 8, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 42, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 40, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 18}",22,37,309,0,Algún campo sin dato,7.Sololá,10.Panajachel,1177,presidente
9503,,"{'UNE': 20, 'AZUL': 1, 'VALOR UNIONISTA': 19, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 30, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 16, 'SEMILLA': 52, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 6, 'VIVA': 36, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 23}",12,61,319,0,,7.Sololá,10.Panajachel,1177,presidente
9504,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 13, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 16, 'SEMILLA': 55, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 5, 'VIVA': 47, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 20}",8,41,286,0,Sumas Asentadas sin cuadrar,7.Sololá,10.Panajachel,1177,presidente
9505,,"{'UNE': 26, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 25, 'TODOS': 3, 'VAMOS': 19, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 54, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 2, 'VIVA': 46, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 22}",5,44,277,0,Algún campo sin dato,7.Sololá,10.Panajachel,1177,presidente
9506,,"{'UNE': 29, 'AZUL': 4, 'VALOR UNIONISTA': 23, 'CABAL': 20, 'TODOS': 2, 'VAMOS': 15, 'PHG': 3, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 16, 'SEMILLA': 47, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 3, 'VIVA': 39, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 21}",11,35,286,0,Sumas Asentadas sin cuadrar,7.Sololá,10.Panajachel,1177,presidente
9507,,"{'UNE': 16, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 25, 'TODOS': 2, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 9, 'SEMILLA': 48, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 14, 'CREO': 3, 'BIEN': 2, 'VIVA': 41, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 25}",11,42,288,0,Algún campo sin dato,7.Sololá,10.Panajachel,1177,presidente
9508,,"{'UNE': 24, 'AZUL': 1, 'VALOR UNIONISTA': 25, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 10, 'PHG': 2, 'PR': 8, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 52, 'FCN-NACION': 4, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 2, 'VIVA': 49, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 20}",8,43,303,0,Algún campo sin dato,7.Sololá,10.Panajachel,1177,presidente
9509,,"{'UNE': 25, 'AZUL': 1, 'VALOR UNIONISTA': 22, 'CABAL': 38, 'TODOS': 0, 'VAMOS': 16, 'PHG': 2, 'PR': 6, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 55, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 4, 'VIVA': 45, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 32}",9,36,317,0,Algún campo sin dato,7.Sololá,10.Panajachel,1177,presidente
9510,,"{'UNE': 22, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 38, 'TODOS': 1, 'VAMOS': 33, 'PHG': 5, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 49, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 5, 'VIVA': 54, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 20}",7,40,318,0,Algún campo sin dato,7.Sololá,10.Panajachel,1178,presidente
9511,,"{'UNE': 14, 'AZUL': 3, 'VALOR UNIONISTA': 18, 'CABAL': 32, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 7, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 19, 'SEMILLA': 39, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 2, 'VIVA': 51, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 20}",9,47,294,0,Algún campo sin dato,7.Sololá,10.Panajachel,1178,presidente
9512,,"{'UNE': 22, 'AZUL': 4, 'VALOR UNIONISTA': 18, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 21, 'PHG': 3, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 18, 'SEMILLA': 45, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 0, 'VIVA': 43, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 23}",12,43,297,0,Algún campo sin dato,7.Sololá,10.Panajachel,1178,presidente
9513,,"{'UNE': 25, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 25, 'TODOS': 4, 'VAMOS': 18, 'PHG': 1, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 10, 'SEMILLA': 64, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 4, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 24}",2,27,277,0,Algún campo sin dato,7.Sololá,10.Panajachel,1178,presidente
9514,,"{'UNE': 14, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 12, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 106, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 5, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 19}",4,39,289,0,Algún campo sin dato,7.Sololá,10.Panajachel,1179,presidente
9515,,"{'UNE': 10, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 15, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 120, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 3, 'VIVA': 36, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 17}",3,36,288,0,Algún campo sin dato,7.Sololá,10.Panajachel,1179,presidente
9516,,"{'UNE': 8, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 14, 'PHG': 3, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 127, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 40, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 18}",0,44,313,0,Algún campo sin dato,7.Sololá,10.Panajachel,1179,presidente
9517,,"{'UNE': 12, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 14, 'PHG': 3, 'PR': 7, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 122, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 9, 'VIVA': 40, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",2,34,310,0,Algún campo sin dato,7.Sololá,10.Panajachel,1179,presidente
9518,,"{'UNE': 8, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 47, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",3,15,135,0,Algún campo sin dato,7.Sololá,10.Panajachel,1180,presidente
9519,,"{'UNE': 7, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 8, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",7,14,113,0,Algún campo sin dato,7.Sololá,10.Panajachel,1180,presidente
9520,,"{'UNE': 18, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 19, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 6, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",16,34,210,0,Algún campo sin dato,7.Sololá,10.Panajachel,1181,presidente
