mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
9615,,"{'UNE': 95, 'AZUL': 8, 'VALOR UNIONISTA': 1, 'CABAL': 35, 'TODOS': 0, 'VAMOS': 62, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",43,41,333,0,Algún campo sin dato,7.Sololá,15.San Pablo La Laguna,1201,presidente
9616,,"{'UNE': 100, 'AZUL': 14, 'VALOR UNIONISTA': 3, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 51, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",68,45,346,0,Algún campo sin dato,7.Sololá,15.San Pablo La Laguna,1201,presidente
9617,,"{'UNE': 86, 'AZUL': 12, 'VALOR UNIONISTA': 5, 'CABAL': 35, 'TODOS': 0, 'VAMOS': 61, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",58,41,347,0,Algún campo sin dato,7.Sololá,15.San Pablo La Laguna,1201,presidente
9618,,"{'UNE': 105, 'AZUL': 7, 'VALOR UNIONISTA': 2, 'CABAL': 35, 'TODOS': 0, 'VAMOS': 69, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",64,40,364,0,Algún campo sin dato,7.Sololá,15.San Pablo La Laguna,1202,presidente
9619,,"{'UNE': 99, 'AZUL': 12, 'VALOR UNIONISTA': 5, 'CABAL': 36, 'TODOS': 1, 'VAMOS': 82, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 6, 'FCN-NACION': 3, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",54,43,375,0,Algún campo sin dato,7.Sololá,15.San Pablo La Laguna,1202,presidente
9620,,"{'UNE': 101, 'AZUL': 15, 'VALOR UNIONISTA': 2, 'CABAL': 41, 'TODOS': 1, 'VAMOS': 77, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",56,38,375,0,Algún campo sin dato,7.Sololá,15.San Pablo La Laguna,1202,presidente
9621,,"{'UNE': 103, 'AZUL': 16, 'VALOR UNIONISTA': 3, 'CABAL': 42, 'TODOS': 1, 'VAMOS': 59, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 0, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",66,35,361,0,Algún campo sin dato,7.Sololá,15.San Pablo La Laguna,1203,presidente
9622,,"{'UNE': 91, 'AZUL': 11, 'VALOR UNIONISTA': 4, 'CABAL': 41, 'TODOS': 1, 'VAMOS': 48, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 1, 'VIVA': 26, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",41,41,330,0,Algún campo sin dato,7.Sololá,15.San Pablo La Laguna,1203,presidente
9623,,"{'UNE': 80, 'AZUL': 9, 'VALOR UNIONISTA': 0, 'CABAL': 35, 'TODOS': 1, 'VAMOS': 49, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 0, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",32,52,315,0,Algún campo sin dato,7.Sololá,15.San Pablo La Laguna,1203,presidente
9624,,"{'UNE': 93, 'AZUL': 11, 'VALOR UNIONISTA': 2, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 43, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",32,46,319,0,Algún campo sin dato,7.Sololá,15.San Pablo La Laguna,1203,presidente
