mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
9634,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 11, 'TODOS': 21, 'VAMOS': 123, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 36, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 30}",35,30,351,0,Algún campo sin dato,7.Sololá,17.San Juan La Laguna,1205,presidente
9635,,"{'UNE': 32, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 21, 'TODOS': 24, 'VAMOS': 125, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 2, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 28}",31,43,368,0,Algún campo sin dato,7.Sololá,17.San Juan La Laguna,1205,presidente
9636,,"{'UNE': 39, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 8, 'TODOS': 43, 'VAMOS': 110, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 30, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 21}",56,27,367,0,Algún campo sin dato,7.Sololá,17.San Juan La Laguna,1205,presidente
9637,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 12, 'TODOS': 52, 'VAMOS': 123, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 23, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 18}",55,22,382,0,Algún campo sin dato,7.Sololá,17.San Juan La Laguna,1205,presidente
9638,,"{'UNE': 37, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 11, 'TODOS': 35, 'VAMOS': 134, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 31, 'FCN-NACION': 3, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 2, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 28}",32,29,376,0,Sumas Asentadas sin cuadrar,7.Sololá,17.San Juan La Laguna,1205,presidente
9639,,"{'UNE': 31, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 18, 'TODOS': 31, 'VAMOS': 117, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 3, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 27}",34,42,371,0,Algún campo sin dato,7.Sololá,17.San Juan La Laguna,1206,presidente
9640,,"{'UNE': 31, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 14, 'TODOS': 13, 'VAMOS': 99, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 52, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 30}",23,31,333,0,Algún campo sin dato,7.Sololá,17.San Juan La Laguna,1206,presidente
9641,,"{'UNE': 11, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 12, 'TODOS': 17, 'VAMOS': 109, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 46, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 8, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 36}",19,31,322,0,Sumas Asentadas sin cuadrar,7.Sololá,17.San Juan La Laguna,1206,presidente
9642,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 12, 'TODOS': 15, 'VAMOS': 95, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 109, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 27}",15,28,341,0,Algún campo sin dato,7.Sololá,17.San Juan La Laguna,1206,presidente
9643,,"{'UNE': 18, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 7, 'TODOS': 24, 'VAMOS': 72, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 115, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 24}",11,25,327,0,Algún campo sin dato,7.Sololá,17.San Juan La Laguna,1207,presidente
