mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
9657,,"{'UNE': 33, 'AZUL': 0, 'VALOR UNIONISTA': 20, 'CABAL': 38, 'TODOS': 2, 'VAMOS': 17, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 48, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 14, 'CREO': 0, 'BIEN': 1, 'VIVA': 65, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 21}",24,45,340,0,Algún campo sin dato,7.Sololá,18.San Pedro La Laguna,1211,presidente
9658,,"{'UNE': 47, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 37, 'TODOS': 1, 'VAMOS': 17, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 12, 'CREO': 2, 'BIEN': 1, 'VIVA': 66, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 17}",39,33,343,0,Algún campo sin dato,7.Sololá,18.San Pedro La Laguna,1211,presidente
9659,,"{'UNE': 32, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 52, 'TODOS': 3, 'VAMOS': 19, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 53, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 17, 'CREO': 0, 'BIEN': 2, 'VIVA': 77, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 17}",28,23,346,0,Algún campo sin dato,7.Sololá,18.San Pedro La Laguna,1211,presidente
9660,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 24, 'CABAL': 55, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 17, 'CREO': 0, 'BIEN': 2, 'VIVA': 59, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 18}",47,33,358,0,Algún campo sin dato,7.Sololá,18.San Pedro La Laguna,1211,presidente
9661,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 24, 'CABAL': 41, 'TODOS': 2, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 45, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 17, 'CREO': 2, 'BIEN': 4, 'VIVA': 77, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 22}",39,33,361,0,Algún campo sin dato,7.Sololá,18.San Pedro La Laguna,1211,presidente
9662,,"{'UNE': 44, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 46, 'TODOS': 1, 'VAMOS': 17, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 34, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 15, 'CREO': 2, 'BIEN': 5, 'VIVA': 81, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 26}",39,31,363,0,Algún campo sin dato,7.Sololá,18.San Pedro La Laguna,1211,presidente
9663,,"{'UNE': 46, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 50, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 34, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 22, 'CREO': 0, 'BIEN': 1, 'VIVA': 61, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 26}",62,28,365,0,Algún campo sin dato,7.Sololá,18.San Pedro La Laguna,1212,presidente
9664,,"{'UNE': 35, 'AZUL': 0, 'VALOR UNIONISTA': 19, 'CABAL': 58, 'TODOS': 4, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 17, 'CREO': 2, 'BIEN': 1, 'VIVA': 77, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 24}",43,38,376,0,Algún campo sin dato,7.Sololá,18.San Pedro La Laguna,1212,presidente
9665,,"{'UNE': 35, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 65, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 35, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 0, 'VIVA': 74, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 26}",41,38,359,0,Algún campo sin dato,7.Sololá,18.San Pedro La Laguna,1212,presidente
9666,,"{'UNE': 46, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 58, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 60, 'FCN-NACION': 1, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 20, 'CREO': 1, 'BIEN': 1, 'VIVA': 67, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 28}",21,29,364,0,Algún campo sin dato,7.Sololá,18.San Pedro La Laguna,1212,presidente
9667,,"{'UNE': 44, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 46, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 50, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 16, 'CREO': 3, 'BIEN': 2, 'VIVA': 70, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",37,33,356,0,Algún campo sin dato,7.Sololá,18.San Pedro La Laguna,1212,presidente
9668,,"{'UNE': 28, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 49, 'TODOS': 3, 'VAMOS': 14, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 61, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 7, 'VIVA': 58, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 23}",19,28,317,0,Algún campo sin dato,7.Sololá,18.San Pedro La Laguna,1212,presidente
9669,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 11, 'SEMILLA': 59, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 16, 'CREO': 1, 'BIEN': 6, 'VIVA': 51, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 28}",23,34,312,0,Algún campo sin dato,7.Sololá,18.San Pedro La Laguna,1212,presidente
9670,,"{'UNE': 24, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 35, 'TODOS': 2, 'VAMOS': 13, 'PHG': 0, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 73, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 15, 'CREO': 0, 'BIEN': 3, 'VIVA': 58, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 30}",20,29,321,0,Algún campo sin dato,7.Sololá,18.San Pedro La Laguna,1213,presidente
