mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
9679,,"{'UNE': 10, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 46, 'TODOS': 4, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 13, 'VICTORIA': 2, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 4, 'BIEN': 1, 'VIVA': 99, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 13}",19,59,335,0,Sumas Asentadas sin cuadrar,7.Sololá,19.Santiago Atitlán,1215,presidente
9680,,"{'UNE': 8, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 36, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 1, 'VIVA': 114, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",26,79,328,0,Algún campo sin dato,7.Sololá,19.Santiago Atitlán,1215,presidente
9681,,"{'UNE': 12, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 29, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 12, 'VICTORIA': 1, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 3, 'VIVA': 85, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 21}",24,77,336,0,Sumas Asentadas sin cuadrar,7.Sololá,19.Santiago Atitlán,1215,presidente
9682,,"{'UNE': 7, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 44, 'TODOS': 2, 'VAMOS': 29, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 2, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 1, 'VIVA': 96, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 9}",19,62,325,0,Algún campo sin dato,7.Sololá,19.Santiago Atitlán,1215,presidente
9683,,"{'UNE': 8, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 31, 'TODOS': 0, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 8, 'VICTORIA': 4, 'SEMILLA': 22, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 5, 'BIEN': 2, 'VIVA': 85, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 17}",27,74,326,0,Algún campo sin dato,7.Sololá,19.Santiago Atitlán,1215,presidente
9684,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 37, 'TODOS': 1, 'VAMOS': 24, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 11, 'VICTORIA': 5, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 4, 'VIVA': 97, 'MI FAMILIA': 1, 'CAMBIO': 6, 'VOS': 17}",21,74,354,0,Sumas Asentadas sin cuadrar,7.Sololá,19.Santiago Atitlán,1215,presidente
9685,,"{'UNE': 18, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 40, 'TODOS': 2, 'VAMOS': 23, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 11, 'VICTORIA': 2, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 3, 'BIEN': 4, 'VIVA': 99, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 11}",19,74,343,0,Sumas Asentadas sin cuadrar,7.Sololá,19.Santiago Atitlán,1215,presidente
9686,,"{'UNE': 10, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 21, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 6, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 1, 'VIVA': 103, 'MI FAMILIA': 2, 'CAMBIO': 5, 'VOS': 23}",21,71,326,0,Algún campo sin dato,7.Sololá,19.Santiago Atitlán,1215,presidente
9687,,"{'UNE': 17, 'AZUL': 4, 'VALOR UNIONISTA': 9, 'CABAL': 36, 'TODOS': 2, 'VAMOS': 22, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 15, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 4, 'BIEN': 3, 'VIVA': 114, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 16}",11,61,344,0,Sumas Asentadas sin cuadrar,7.Sololá,19.Santiago Atitlán,1215,presidente
9688,,"{'UNE': 13, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 52, 'TODOS': 2, 'VAMOS': 19, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 15, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 3, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 3, 'VIVA': 105, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 11}",18,69,349,0,Algún campo sin dato,7.Sololá,19.Santiago Atitlán,1215,presidente
