mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
9195,,"{'UNE': 42, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 26, 'TODOS': 2, 'VAMOS': 36, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 10, 'VICTORIA': 7, 'SEMILLA': 11, 'FCN-NACION': 4, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 1, 'VIVA': 38, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",14,53,281,0,Sumas Asentadas sin cuadrar,7.Sololá,4.Santa Lucía Utatlán,1123,presidente
9196,,"{'UNE': 41, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 14, 'TODOS': 4, 'VAMOS': 42, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 3, 'VIVA': 55, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",57,58,323,0,Algún campo sin dato,7.Sololá,4.Santa Lucía Utatlán,1123,presidente
9197,,"{'UNE': 17, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 35, 'TODOS': 1, 'VAMOS': 32, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 12, 'SEMILLA': 8, 'FCN-NACION': 6, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 1, 'VIVA': 59, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",57,51,318,0,Algún campo sin dato,7.Sololá,4.Santa Lucía Utatlán,1123,presidente
9198,,"{'UNE': 42, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 33, 'TODOS': 1, 'VAMOS': 26, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 13, 'CREO': 2, 'BIEN': 1, 'VIVA': 42, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",47,65,318,0,Algún campo sin dato,7.Sololá,4.Santa Lucía Utatlán,1123,presidente
9199,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 32, 'TODOS': 3, 'VAMOS': 36, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 14, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 2, 'VIVA': 55, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",48,47,329,0,Algún campo sin dato,7.Sololá,4.Santa Lucía Utatlán,1123,presidente
9200,,"{'UNE': 60, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 41, 'PHG': 2, 'PR': 6, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 1, 'VIVA': 55, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",38,44,324,0,Algún campo sin dato,7.Sololá,4.Santa Lucía Utatlán,1123,presidente
9201,,"{'UNE': 76, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 33, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 1, 'VIVA': 35, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",56,45,324,0,Algún campo sin dato,7.Sololá,4.Santa Lucía Utatlán,1123,presidente
9202,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 27, 'TODOS': 1, 'VAMOS': 51, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 11, 'SEMILLA': 15, 'FCN-NACION': 4, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 15, 'CREO': 2, 'BIEN': 3, 'VIVA': 42, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",52,60,323,0,Algún campo sin dato,7.Sololá,4.Santa Lucía Utatlán,1123,presidente
9203,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 35, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 13, 'SEMILLA': 17, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 14, 'CREO': 3, 'BIEN': 3, 'VIVA': 59, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",30,48,294,0,Sumas Asentadas sin cuadrar,7.Sololá,4.Santa Lucía Utatlán,1123,presidente
9204,,"{'UNE': 22, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 29, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 11, 'SEMILLA': 18, 'FCN-NACION': 3, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 2, 'VIVA': 51, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 15}",19,43,255,0,Algún campo sin dato,7.Sololá,4.Santa Lucía Utatlán,1123,presidente
