mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
9229,,"{'UNE': 12, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 93, 'TODOS': 3, 'VAMOS': 100, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 0, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 9}",24,40,337,0,Algún campo sin dato,7.Sololá,5.Nahualá,1127,presidente
9230,,"{'UNE': 17, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 121, 'TODOS': 2, 'VAMOS': 91, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",34,47,347,0,Algún campo sin dato,7.Sololá,5.Nahualá,1127,presidente
9231,,"{'UNE': 12, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 110, 'TODOS': 2, 'VAMOS': 93, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",41,53,350,0,Algún campo sin dato,7.Sololá,5.Nahualá,1127,presidente
9232,,"{'UNE': 11, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 131, 'TODOS': 1, 'VAMOS': 84, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",61,39,371,0,Algún campo sin dato,7.Sololá,5.Nahualá,1127,presidente
9233,,"{'UNE': 20, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 96, 'TODOS': 3, 'VAMOS': 55, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 4, 'BIEN': 1, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 11}",50,61,346,0,Algún campo sin dato,7.Sololá,5.Nahualá,1127,presidente
9234,,"{'UNE': 16, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 66, 'TODOS': 4, 'VAMOS': 95, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 0, 'VIVA': 30, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",56,41,340,0,Algún campo sin dato,7.Sololá,5.Nahualá,1127,presidente
9235,,"{'UNE': 12, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 105, 'TODOS': 5, 'VAMOS': 74, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 4}",49,39,344,0,Algún campo sin dato,7.Sololá,5.Nahualá,1127,presidente
9236,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 84, 'TODOS': 2, 'VAMOS': 76, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",44,39,340,0,Algún campo sin dato,7.Sololá,5.Nahualá,1127,presidente
9237,,"{'UNE': 12, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 87, 'TODOS': 2, 'VAMOS': 63, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 13, 'SEMILLA': 26, 'FCN-NACION': 3, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 0, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 13}",27,47,337,0,Algún campo sin dato,7.Sololá,5.Nahualá,1127,presidente
9238,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 84, 'TODOS': 1, 'VAMOS': 51, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 0, 'VIVA': 33, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 7}",34,43,328,0,Algún campo sin dato,7.Sololá,5.Nahualá,1127,presidente
9239,,"{'UNE': 9, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 84, 'TODOS': 2, 'VAMOS': 59, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",24,50,293,0,Algún campo sin dato,7.Sololá,5.Nahualá,1127,presidente
9240,,"{'UNE': 11, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 65, 'TODOS': 3, 'VAMOS': 57, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 0, 'VIVA': 26, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",26,56,290,0,Algún campo sin dato,7.Sololá,5.Nahualá,1127,presidente
