mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
9359,,"{'UNE': 46, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 36, 'TODOS': 0, 'VAMOS': 68, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 15, 'CREO': 0, 'BIEN': 5, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",55,51,321,0,Algún campo sin dato,7.Sololá,6.Santa Catarina Ixtahuacán,1152,presidente
9360,,"{'UNE': 40, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 41, 'TODOS': 1, 'VAMOS': 60, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 0, 'VIVA': 30, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",55,59,318,0,Algún campo sin dato,7.Sololá,6.Santa Catarina Ixtahuacán,1152,presidente
9361,,"{'UNE': 26, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 61, 'TODOS': 0, 'VAMOS': 49, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",59,71,328,0,Sumas Asentadas sin cuadrar,7.Sololá,6.Santa Catarina Ixtahuacán,1152,presidente
9362,,"{'UNE': 52, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 43, 'TODOS': 2, 'VAMOS': 55, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 3, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",59,47,330,0,Sumas Asentadas sin cuadrar,7.Sololá,6.Santa Catarina Ixtahuacán,1152,presidente
9363,,"{'UNE': 25, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 34, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 14, 'CREO': 0, 'BIEN': 1, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",36,37,232,0,Sumas Asentadas sin cuadrar,7.Sololá,6.Santa Catarina Ixtahuacán,1152,presidente
9364,,"{'UNE': 17, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 32, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 36, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 2, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 17}",20,66,256,0,Algún campo sin dato,7.Sololá,6.Santa Catarina Ixtahuacán,1152,presidente
9365,,"{'UNE': 9, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 2, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",10,25,138,0,Algún campo sin dato,7.Sololá,6.Santa Catarina Ixtahuacán,1152,presidente
9366,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 4, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",10,30,134,0,Algún campo sin dato,7.Sololá,6.Santa Catarina Ixtahuacán,1152,presidente
9367,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 72, 'TODOS': 1, 'VAMOS': 118, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 1}",34,37,306,0,Algún campo sin dato,7.Sololá,6.Santa Catarina Ixtahuacán,1153,presidente
9368,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 67, 'TODOS': 1, 'VAMOS': 115, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",43,24,289,1,Algún campo sin dato,7.Sololá,6.Santa Catarina Ixtahuacán,1153,presidente
