mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
9446,,"{'UNE': 63, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 21, 'TODOS': 2, 'VAMOS': 58, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 38, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 2, 'VIVA': 26, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 0}",48,36,330,0,Sumas Asentadas sin cuadrar,7.Sololá,7.Santa Clara La Laguna,1168,presidente
9447,,"{'UNE': 69, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 35, 'TODOS': 4, 'VAMOS': 48, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 44, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 1, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",39,36,343,0,Algún campo sin dato,7.Sololá,7.Santa Clara La Laguna,1168,presidente
9448,,"{'UNE': 51, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 24, 'TODOS': 4, 'VAMOS': 62, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 46, 'SEMILLA': 0, 'FCN-NACION': 4, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 34, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 6}",45,33,333,0,Algún campo sin dato,7.Sololá,7.Santa Clara La Laguna,1168,presidente
9449,,"{'UNE': 63, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 23, 'TODOS': 4, 'VAMOS': 76, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 47, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",38,35,329,0,Sumas Asentadas sin cuadrar,7.Sololá,7.Santa Clara La Laguna,1168,presidente
9450,,"{'UNE': 50, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 23, 'TODOS': 6, 'VAMOS': 77, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 43, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",52,30,360,0,Algún campo sin dato,7.Sololá,7.Santa Clara La Laguna,1168,presidente
9451,,"{'UNE': 61, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 31, 'TODOS': 2, 'VAMOS': 78, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 58, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 36, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",35,30,360,0,Algún campo sin dato,7.Sololá,7.Santa Clara La Laguna,1168,presidente
9452,,"{'UNE': 66, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 22, 'TODOS': 4, 'VAMOS': 82, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 54, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 20, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 3}",59,25,357,0,,7.Sololá,7.Santa Clara La Laguna,1168,presidente
9453,,"{'UNE': 41, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 16, 'TODOS': 5, 'VAMOS': 49, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 41, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 59, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",18,43,305,0,Algún campo sin dato,7.Sololá,7.Santa Clara La Laguna,1168,presidente
9454,,"{'UNE': 35, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 21, 'TODOS': 2, 'VAMOS': 34, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 47, 'SEMILLA': 23, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 9}",21,55,297,0,Algún campo sin dato,7.Sololá,7.Santa Clara La Laguna,1168,presidente
9455,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 15, 'TODOS': 3, 'VAMOS': 55, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 41, 'SEMILLA': 22, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 24, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",50,32,305,0,Sumas Asentadas sin cuadrar,7.Sololá,7.Santa Clara La Laguna,1169,presidente
