mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
9462,,"{'UNE': 76, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 36, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 1}",99,78,342,0,Sumas Asentadas sin cuadrar,7.Sololá,8.Concepción,1170,presidente
9463,,"{'UNE': 73, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 32, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",131,78,358,0,Algún campo sin dato,7.Sololá,8.Concepción,1170,presidente
9464,,"{'UNE': 79, 'AZUL': 0, 'VALOR UNIONISTA': 22, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 39, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",104,85,350,0,Algún campo sin dato,7.Sololá,8.Concepción,1170,presidente
9465,,"{'UNE': 68, 'AZUL': 0, 'VALOR UNIONISTA': 20, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 31, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 0, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",119,85,360,0,Algún campo sin dato,7.Sololá,8.Concepción,1170,presidente
9466,,"{'UNE': 75, 'AZUL': 0, 'VALOR UNIONISTA': 33, 'CABAL': 0, 'TODOS': 1, 'VAMOS': 26, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",98,90,351,0,Algún campo sin dato,7.Sololá,8.Concepción,1170,presidente
9467,,"{'UNE': 64, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",109,79,318,0,Algún campo sin dato,7.Sololá,8.Concepción,1170,presidente
9468,,"{'UNE': 75, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 22, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",68,103,319,0,Algún campo sin dato,7.Sololá,8.Concepción,1170,presidente
9469,,"{'UNE': 68, 'AZUL': 1, 'VALOR UNIONISTA': 22, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",51,117,323,0,Algún campo sin dato,7.Sololá,8.Concepción,1170,presidente
9470,,"{'UNE': 64, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 32, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 0, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",66,110,325,0,Algún campo sin dato,7.Sololá,8.Concepción,1170,presidente
9471,,"{'UNE': 41, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",69,24,208,93,Sumas Asentadas sin cuadrar,7.Sololá,8.Concepción,1170,presidente
