mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
9473,,"{'UNE': 40, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 12, 'TODOS': 5, 'VAMOS': 46, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 32, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 17, 'CREO': 3, 'BIEN': 1, 'VIVA': 60, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",34,38,327,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1171,presidente
9474,,"{'UNE': 43, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 13, 'TODOS': 7, 'VAMOS': 31, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 34, 'FCN-NACION': 2, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 12, 'CREO': 1, 'BIEN': 2, 'VIVA': 59, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 12}",28,46,321,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1171,presidente
9475,,"{'UNE': 59, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 30, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 23, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 17, 'CREO': 1, 'BIEN': 4, 'VIVA': 59, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",33,47,322,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1171,presidente
9476,,"{'UNE': 60, 'AZUL': 3, 'VALOR UNIONISTA': 4, 'CABAL': 12, 'TODOS': 6, 'VAMOS': 30, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 31, 'FCN-NACION': 3, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 12, 'CREO': 2, 'BIEN': 2, 'VIVA': 39, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 10}",28,45,305,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1171,presidente
9477,,"{'UNE': 34, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 33, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 49, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 12, 'CREO': 1, 'BIEN': 5, 'VIVA': 49, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",16,43,286,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1171,presidente
9478,,"{'UNE': 34, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 13, 'TODOS': 5, 'VAMOS': 37, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 17, 'CREO': 5, 'BIEN': 4, 'VIVA': 53, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",21,43,306,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1171,presidente
9479,,"{'UNE': 37, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 67, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 2, 'VIVA': 59, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",8,33,283,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1172,presidente
9480,,"{'UNE': 26, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 10, 'TODOS': 4, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 74, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 5, 'VIVA': 50, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 14}",0,46,279,0,,7.Sololá,9.San Andrés Semetabaj,1172,presidente
9481,,"{'UNE': 12, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 5, 'TODOS': 4, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 46, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",4,13,141,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1172,presidente
9482,,"{'UNE': 26, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 7, 'TODOS': 3, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 24, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",9,19,142,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1172,presidente
9483,,"{'UNE': 63, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 7, 'TODOS': 41, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 16, 'FCN-NACION': 2, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 4, 'VIVA': 48, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",51,47,339,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1173,presidente
9484,,"{'UNE': 57, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 9, 'TODOS': 36, 'VAMOS': 31, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 12, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 1, 'VIVA': 40, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 9}",44,58,338,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1173,presidente
9485,,"{'UNE': 50, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 7, 'TODOS': 24, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 22, 'FCN-NACION': 5, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 3, 'VIVA': 49, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",27,49,294,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1174,presidente
9486,,"{'UNE': 33, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 9, 'TODOS': 28, 'VAMOS': 24, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 2, 'VIVA': 44, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 8}",13,37,250,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1174,presidente
9487,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 7, 'TODOS': 23, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 2, 'VIVA': 40, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",12,46,256,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1174,presidente
9488,,"{'UNE': 64, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 4, 'TODOS': 30, 'VAMOS': 17, 'PHG': 0, 'PR': 6, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 22, 'CREO': 1, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",57,65,313,12,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1175,presidente
9489,,"{'UNE': 77, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 9, 'TODOS': 20, 'VAMOS': 20, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 35, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 22, 'CREO': 3, 'BIEN': 0, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",39,53,315,0,Sumas Asentadas sin cuadrar,7.Sololá,9.San Andrés Semetabaj,1175,presidente
9490,,"{'UNE': 67, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 5, 'TODOS': 24, 'VAMOS': 20, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 30, 'CREO': 1, 'BIEN': 2, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",69,46,317,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1175,presidente
9491,,"{'UNE': 54, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 8, 'TODOS': 29, 'VAMOS': 25, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 10, 'SEMILLA': 22, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 19, 'CREO': 0, 'BIEN': 0, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",32,46,279,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1175,presidente
9492,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 9, 'TODOS': 25, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 33, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 18, 'CREO': 2, 'BIEN': 1, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",26,46,257,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1175,presidente
9493,,"{'UNE': 34, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 7, 'TODOS': 9, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 18, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 11, 'CREO': 0, 'BIEN': 3, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",8,11,129,0,Algún campo sin dato,7.Sololá,9.San Andrés Semetabaj,1175,presidente
