mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
9749,,"{'UNE': 18, 'AZUL': 4, 'VALOR UNIONISTA': 23, 'CABAL': 34, 'TODOS': 4, 'VAMOS': 2, 'PHG': 0, 'PR': 4, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 24, 'FCN-NACION': 2, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 13, 'CREO': 2, 'BIEN': 18, 'VIVA': 14, 'MI FAMILIA': 4, 'CAMBIO': 5, 'VOS': 40}",11,31,272,0,Algún campo sin dato,8.Totonicapán,1.Totonicapán,1230,presidente
9750,,"{'UNE': 40, 'AZUL': 7, 'VALOR UNIONISTA': 27, 'CABAL': 29, 'TODOS': 3, 'VAMOS': 3, 'PHG': 0, 'PR': 4, 'PIN': 2, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 7, 'UR': 4, 'URNG-MAIZ WINAQ': 11, 'CREO': 5, 'BIEN': 13, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 38}",7,34,286,0,Algún campo sin dato,8.Totonicapán,1.Totonicapán,1230,presidente
9751,,"{'UNE': 26, 'AZUL': 4, 'VALOR UNIONISTA': 17, 'CABAL': 40, 'TODOS': 3, 'VAMOS': 5, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 10, 'SEMILLA': 30, 'FCN-NACION': 1, 'PPN': 8, 'UR': 7, 'URNG-MAIZ WINAQ': 14, 'CREO': 2, 'BIEN': 8, 'VIVA': 14, 'MI FAMILIA': 6, 'CAMBIO': 2, 'VOS': 42}",3,29,277,0,Algún campo sin dato,8.Totonicapán,1.Totonicapán,1230,presidente
9752,,"{'UNE': 29, 'AZUL': 5, 'VALOR UNIONISTA': 15, 'CABAL': 39, 'TODOS': 4, 'VAMOS': 6, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 34, 'FCN-NACION': 1, 'PPN': 6, 'UR': 8, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 5, 'VIVA': 13, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 46}",10,31,278,0,Algún campo sin dato,8.Totonicapán,1.Totonicapán,1230,presidente
9753,,"{'UNE': 23, 'AZUL': 10, 'VALOR UNIONISTA': 11, 'CABAL': 34, 'TODOS': 4, 'VAMOS': 5, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 10, 'SEMILLA': 28, 'FCN-NACION': 2, 'PPN': 8, 'UR': 9, 'URNG-MAIZ WINAQ': 25, 'CREO': 0, 'BIEN': 3, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 4, 'VOS': 28}",13,25,268,0,Algún campo sin dato,8.Totonicapán,1.Totonicapán,1230,presidente
9754,,"{'UNE': 22, 'AZUL': 2, 'VALOR UNIONISTA': 28, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 36, 'FCN-NACION': 1, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 9, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 52}",8,25,274,2,Algún campo sin dato,8.Totonicapán,1.Totonicapán,1230,presidente
9755,,"{'UNE': 23, 'AZUL': 6, 'VALOR UNIONISTA': 23, 'CABAL': 25, 'TODOS': 1, 'VAMOS': 4, 'PHG': 1, 'PR': 6, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 45, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 10, 'CAMBIO': 2, 'VOS': 38}",10,27,265,0,Algún campo sin dato,8.Totonicapán,1.Totonicapán,1230,presidente
9756,,"{'UNE': 25, 'AZUL': 6, 'VALOR UNIONISTA': 13, 'CABAL': 30, 'TODOS': 2, 'VAMOS': 4, 'PHG': 2, 'PR': 2, 'PIN': 3, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 48, 'FCN-NACION': 4, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 9, 'CREO': 3, 'BIEN': 14, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 44}",0,33,277,0,Algún campo sin dato,8.Totonicapán,1.Totonicapán,1230,presidente
9757,,"{'UNE': 23, 'AZUL': 7, 'VALOR UNIONISTA': 19, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 5, 'SEMILLA': 34, 'FCN-NACION': 0, 'PPN': 2, 'UR': 11, 'URNG-MAIZ WINAQ': 8, 'CREO': 3, 'BIEN': 9, 'VIVA': 17, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 38}",7,40,269,0,Algún campo sin dato,8.Totonicapán,1.Totonicapán,1230,presidente
9758,,"{'UNE': 21, 'AZUL': 7, 'VALOR UNIONISTA': 26, 'CABAL': 48, 'TODOS': 0, 'VAMOS': 6, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 35, 'FCN-NACION': 2, 'PPN': 8, 'UR': 9, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 8, 'VIVA': 10, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 39}",9,34,287,0,Algún campo sin dato,8.Totonicapán,1.Totonicapán,1230,presidente
