mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
9936,,"{'UNE': 24, 'AZUL': 7, 'VALOR UNIONISTA': 10, 'CABAL': 17, 'TODOS': 2, 'VAMOS': 4, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 69, 'FCN-NACION': 2, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 15, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 35}",6,28,262,0,Algún campo sin dato,8.Totonicapán,2.San Cristóbal Totonicapán,1270,presidente
9937,,"{'UNE': 27, 'AZUL': 8, 'VALOR UNIONISTA': 17, 'CABAL': 20, 'TODOS': 2, 'VAMOS': 15, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 66, 'FCN-NACION': 0, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 5, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 48}",11,34,294,0,Algún campo sin dato,8.Totonicapán,2.San Cristóbal Totonicapán,1270,presidente
9938,,"{'UNE': 16, 'AZUL': 8, 'VALOR UNIONISTA': 21, 'CABAL': 14, 'TODOS': 3, 'VAMOS': 7, 'PHG': 0, 'PR': 4, 'PIN': 3, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 47, 'FCN-NACION': 2, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 13, 'VIVA': 26, 'MI FAMILIA': 5, 'CAMBIO': 3, 'VOS': 44}",11,35,286,0,Algún campo sin dato,8.Totonicapán,2.San Cristóbal Totonicapán,1270,presidente
9939,,"{'UNE': 36, 'AZUL': 3, 'VALOR UNIONISTA': 22, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 18, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 23, 'FCN-NACION': 2, 'PPN': 6, 'UR': 6, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 13, 'VIVA': 18, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 39}",21,32,284,0,Algún campo sin dato,8.Totonicapán,2.San Cristóbal Totonicapán,1270,presidente
9940,,"{'UNE': 24, 'AZUL': 2, 'VALOR UNIONISTA': 23, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 12, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 50, 'FCN-NACION': 4, 'PPN': 0, 'UR': 12, 'URNG-MAIZ WINAQ': 5, 'CREO': 4, 'BIEN': 6, 'VIVA': 15, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 41}",6,19,258,0,Sumas Asentadas sin cuadrar,8.Totonicapán,2.San Cristóbal Totonicapán,1271,presidente
9941,,"{'UNE': 22, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 5, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 64, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 11, 'VIVA': 23, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 46}",6,20,262,0,Algún campo sin dato,8.Totonicapán,2.San Cristóbal Totonicapán,1272,presidente
9942,,"{'UNE': 23, 'AZUL': 4, 'VALOR UNIONISTA': 15, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 64, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 10, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 42}",5,23,258,0,Algún campo sin dato,8.Totonicapán,2.San Cristóbal Totonicapán,1272,presidente
9943,,"{'UNE': 17, 'AZUL': 6, 'VALOR UNIONISTA': 22, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 13, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 71, 'FCN-NACION': 1, 'PPN': 1, 'UR': 8, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 10, 'VIVA': 13, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 44}",8,18,277,8,Algún campo sin dato,8.Totonicapán,2.San Cristóbal Totonicapán,1272,presidente
9944,,"{'UNE': 15, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 7, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 64, 'FCN-NACION': 3, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 16, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 52}",5,4,243,20,Algún campo sin dato,8.Totonicapán,2.San Cristóbal Totonicapán,1272,presidente
9945,,"{'UNE': 16, 'AZUL': 6, 'VALOR UNIONISTA': 14, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 12, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 58, 'FCN-NACION': 3, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 10, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 39}",12,18,247,0,Algún campo sin dato,8.Totonicapán,2.San Cristóbal Totonicapán,1272,presidente
