mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
10001,,"{'UNE': 22, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 11, 'SEMILLA': 46, 'FCN-NACION': 0, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 10, 'CREO': 2, 'BIEN': 4, 'VIVA': 30, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 35}",16,49,275,0,Algún campo sin dato,8.Totonicapán,3.San Francisco El Alto,1289,presidente
10002,,"{'UNE': 33, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 47, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 10, 'CREO': 2, 'BIEN': 8, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 32}",20,54,299,0,Algún campo sin dato,8.Totonicapán,3.San Francisco El Alto,1289,presidente
10003,,"{'UNE': 29, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 12, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 31, 'FCN-NACION': 2, 'PPN': 11, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 7, 'VIVA': 34, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 18}",26,52,266,0,Sumas Asentadas sin cuadrar,8.Totonicapán,3.San Francisco El Alto,1289,presidente
10004,,"{'UNE': 25, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 43, 'FCN-NACION': 1, 'PPN': 8, 'UR': 2, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 5, 'VIVA': 33, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 28}",25,45,259,0,Algún campo sin dato,8.Totonicapán,3.San Francisco El Alto,1289,presidente
10005,,"{'UNE': 35, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 4, 'VIVA': 37, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 23}",15,35,267,0,Algún campo sin dato,8.Totonicapán,3.San Francisco El Alto,1290,presidente
10006,,"{'UNE': 25, 'AZUL': 5, 'VALOR UNIONISTA': 11, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 47, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 6, 'VIVA': 35, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 38}",14,48,286,0,Algún campo sin dato,8.Totonicapán,3.San Francisco El Alto,1290,presidente
10007,,"{'UNE': 22, 'AZUL': 6, 'VALOR UNIONISTA': 6, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 9, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 47, 'FCN-NACION': 0, 'PPN': 7, 'UR': 3, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 4, 'VIVA': 29, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 29}",7,33,235,0,Algún campo sin dato,8.Totonicapán,3.San Francisco El Alto,1290,presidente
10008,,"{'UNE': 30, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 44, 'FCN-NACION': 1, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 5, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",6,23,195,0,Algún campo sin dato,8.Totonicapán,3.San Francisco El Alto,1290,presidente
10009,,"{'UNE': 28, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 9, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 13, 'CREO': 0, 'BIEN': 8, 'VIVA': 41, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 21}",37,46,286,0,Algún campo sin dato,8.Totonicapán,3.San Francisco El Alto,1291,presidente
10010,,"{'UNE': 36, 'AZUL': 9, 'VALOR UNIONISTA': 9, 'CABAL': 18, 'TODOS': 3, 'VAMOS': 17, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 10, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 2, 'BIEN': 6, 'VIVA': 34, 'MI FAMILIA': 3, 'CAMBIO': 3, 'VOS': 34}",28,50,294,0,Algún campo sin dato,8.Totonicapán,3.San Francisco El Alto,1291,presidente
