mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
10144,,"{'UNE': 21, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 28, 'TODOS': 4, 'VAMOS': 6, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 30, 'FCN-NACION': 0, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 9, 'VIVA': 25, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 17}",16,45,241,0,Sumas Asentadas sin cuadrar,8.Totonicapán,5.Momostenango,1320,presidente
10145,,"{'UNE': 23, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 35, 'TODOS': 9, 'VAMOS': 12, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 12, 'FCN-NACION': 3, 'PPN': 1, 'UR': 10, 'URNG-MAIZ WINAQ': 12, 'CREO': 2, 'BIEN': 3, 'VIVA': 23, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 17}",25,41,259,0,Algún campo sin dato,8.Totonicapán,5.Momostenango,1320,presidente
10146,,"{'UNE': 26, 'AZUL': 9, 'VALOR UNIONISTA': 15, 'CABAL': 34, 'TODOS': 9, 'VAMOS': 10, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 0, 'UR': 7, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 12, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 19}",20,48,256,0,Sumas Asentadas sin cuadrar,8.Totonicapán,5.Momostenango,1320,presidente
10147,,"{'UNE': 30, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 42, 'TODOS': 4, 'VAMOS': 7, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 17, 'CREO': 5, 'BIEN': 8, 'VIVA': 34, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 20}",25,45,288,0,Algún campo sin dato,8.Totonicapán,5.Momostenango,1320,presidente
10148,,"{'UNE': 23, 'AZUL': 6, 'VALOR UNIONISTA': 15, 'CABAL': 39, 'TODOS': 9, 'VAMOS': 4, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 16, 'FCN-NACION': 3, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 11, 'CREO': 2, 'BIEN': 11, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 17}",11,52,268,0,Algún campo sin dato,8.Totonicapán,5.Momostenango,1320,presidente
10149,,"{'UNE': 23, 'AZUL': 3, 'VALOR UNIONISTA': 20, 'CABAL': 26, 'TODOS': 5, 'VAMOS': 7, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 1, 'UR': 8, 'URNG-MAIZ WINAQ': 13, 'CREO': 3, 'BIEN': 7, 'VIVA': 26, 'MI FAMILIA': 4, 'CAMBIO': 3, 'VOS': 15}",17,39,248,0,Algún campo sin dato,8.Totonicapán,5.Momostenango,1320,presidente
10150,,"{'UNE': 22, 'AZUL': 5, 'VALOR UNIONISTA': 11, 'CABAL': 43, 'TODOS': 3, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 13, 'CREO': 4, 'BIEN': 9, 'VIVA': 35, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 14}",14,42,256,0,Algún campo sin dato,8.Totonicapán,5.Momostenango,1320,presidente
10151,,"{'UNE': 28, 'AZUL': 4, 'VALOR UNIONISTA': 14, 'CABAL': 31, 'TODOS': 2, 'VAMOS': 9, 'PHG': 3, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 9, 'FCN-NACION': 2, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 8, 'CREO': 4, 'BIEN': 14, 'VIVA': 33, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 15}",19,36,247,0,Algún campo sin dato,8.Totonicapán,5.Momostenango,1320,presidente
10152,,"{'UNE': 18, 'AZUL': 4, 'VALOR UNIONISTA': 15, 'CABAL': 21, 'TODOS': 2, 'VAMOS': 2, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 9, 'VIVA': 26, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 22}",11,45,227,0,Algún campo sin dato,8.Totonicapán,5.Momostenango,1320,presidente
10153,,"{'UNE': 15, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 23, 'TODOS': 3, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 23, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 8, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 19}",3,46,202,0,Algún campo sin dato,8.Totonicapán,5.Momostenango,1320,presidente
10154,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 22, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 10, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 4, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 19}",6,38,216,0,Algún campo sin dato,8.Totonicapán,5.Momostenango,1321,presidente
10155,,"{'UNE': 20, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 4, 'UR': 6, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 12, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 23}",8,42,249,0,Algún campo sin dato,8.Totonicapán,5.Momostenango,1321,presidente
