mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
10277,,"{'UNE': 20, 'AZUL': 5, 'VALOR UNIONISTA': 4, 'CABAL': 29, 'TODOS': 7, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 12, 'VIVA': 50, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",26,43,236,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1347,presidente
10278,,"{'UNE': 26, 'AZUL': 3, 'VALOR UNIONISTA': 19, 'CABAL': 21, 'TODOS': 2, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 9, 'VIVA': 40, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 13}",40,32,235,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1347,presidente
10279,,"{'UNE': 21, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 19, 'TODOS': 7, 'VAMOS': 7, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 16, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",38,52,232,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1347,presidente
10280,,"{'UNE': 23, 'AZUL': 7, 'VALOR UNIONISTA': 11, 'CABAL': 23, 'TODOS': 3, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 52, 'VIVA': 47, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 3}",29,35,252,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1347,presidente
10281,,"{'UNE': 27, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 28, 'TODOS': 4, 'VAMOS': 4, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 62, 'VIVA': 61, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",33,34,277,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1348,presidente
10282,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,,8.Totonicapán,6.Santa María Chiquimula,1348,presidente
10283,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,,8.Totonicapán,6.Santa María Chiquimula,1348,presidente
10284,,"{'UNE': 46, 'AZUL': 3, 'VALOR UNIONISTA': 27, 'CABAL': 39, 'TODOS': 7, 'VAMOS': 1, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 10, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 7, 'VIVA': 66, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",25,32,287,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1349,presidente
10285,,"{'UNE': 26, 'AZUL': 6, 'VALOR UNIONISTA': 22, 'CABAL': 63, 'TODOS': 3, 'VAMOS': 2, 'PHG': 1, 'PR': 2, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 9, 'VIVA': 65, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",36,38,294,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1350,presidente
10286,,"{'UNE': 35, 'AZUL': 4, 'VALOR UNIONISTA': 13, 'CABAL': 47, 'TODOS': 5, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 17, 'VIVA': 61, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 5}",17,31,254,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1351,presidente
10287,,"{'UNE': 23, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 36, 'TODOS': 5, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 13, 'VIVA': 60, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",16,35,227,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1351,presidente
10288,,"{'UNE': 17, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 25, 'TODOS': 7, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 15, 'VIVA': 56, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",29,38,229,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1351,presidente
10289,,"{'UNE': 22, 'AZUL': 5, 'VALOR UNIONISTA': 19, 'CABAL': 31, 'TODOS': 6, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 69, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 9}",23,28,250,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1351,presidente
10290,,"{'UNE': 17, 'AZUL': 5, 'VALOR UNIONISTA': 13, 'CABAL': 27, 'TODOS': 4, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 21, 'VIVA': 71, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",22,42,246,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1352,presidente
10291,,"{'UNE': 20, 'AZUL': 3, 'VALOR UNIONISTA': 29, 'CABAL': 32, 'TODOS': 9, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 9, 'VIVA': 54, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 8}",11,37,234,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1352,presidente
10292,,"{'UNE': 24, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 37, 'TODOS': 7, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 22, 'VIVA': 48, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",8,27,212,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1352,presidente
10293,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 20, 'TODOS': 4, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 10, 'VIVA': 75, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",8,32,214,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1353,presidente
10294,,"{'UNE': 14, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 19, 'TODOS': 4, 'VAMOS': 2, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 13, 'VIVA': 61, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",13,35,199,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1354,presidente
10295,,"{'UNE': 8, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 20, 'TODOS': 5, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 18, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",9,17,140,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1354,presidente
10296,,"{'UNE': 14, 'AZUL': 4, 'VALOR UNIONISTA': 8, 'CABAL': 20, 'TODOS': 4, 'VAMOS': 1, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 11, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",12,22,155,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1354,presidente
10297,,"{'UNE': 42, 'AZUL': 4, 'VALOR UNIONISTA': 17, 'CABAL': 22, 'TODOS': 4, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 17, 'VIVA': 40, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",31,34,240,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1355,presidente
10298,,"{'UNE': 35, 'AZUL': 4, 'VALOR UNIONISTA': 14, 'CABAL': 27, 'TODOS': 6, 'VAMOS': 6, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 5, 'BIEN': 23, 'VIVA': 42, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 21}",33,38,266,0,Algún campo sin dato,8.Totonicapán,6.Santa María Chiquimula,1355,presidente
10299,,"{'UNE': 22, 'AZUL': 3, 'VALOR UNIONISTA': 17, 'CABAL': 56, 'TODOS': 7, 'VAMOS': 1, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 8, 'VIVA': 66, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",30,37,257,0,Sumas Asentadas sin cuadrar,8.Totonicapán,6.Santa María Chiquimula,1355,presidente
10300,,"{'UNE': 20, 'AZUL': 1, 'VALOR UNIONISTA': 38, 'CABAL': 36, 'TODOS': 4, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 11, 'VIVA': 35, 'MI FAMILIA': 1, 'CAMBIO': 5, 'VOS': 5}",50,43,274,0,Sumas Asentadas sin cuadrar,8.Totonicapán,6.Santa María Chiquimula,1355,presidente
