mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
10355,,"{'UNE': 73, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 38, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 4, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",22,54,241,0,Algún campo sin dato,8.Totonicapán,7.Santa Lucía La Reforma,1363,presidente
10356,,"{'UNE': 90, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 51, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",39,48,264,0,Algún campo sin dato,8.Totonicapán,7.Santa Lucía La Reforma,1363,presidente
10357,,"{'UNE': 137, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 0, 'TODOS': 1, 'VAMOS': 52, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 8, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",46,30,308,0,Algún campo sin dato,8.Totonicapán,7.Santa Lucía La Reforma,1363,presidente
10358,,"{'UNE': 120, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 55, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",49,54,315,0,Algún campo sin dato,8.Totonicapán,7.Santa Lucía La Reforma,1363,presidente
10359,,"{'UNE': 101, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 51, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",37,50,268,0,Algún campo sin dato,8.Totonicapán,7.Santa Lucía La Reforma,1363,presidente
10360,,"{'UNE': 122, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 56, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",51,40,313,0,,8.Totonicapán,7.Santa Lucía La Reforma,1363,presidente
10361,,"{'UNE': 116, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 49, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 20, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",31,44,298,0,Algún campo sin dato,8.Totonicapán,7.Santa Lucía La Reforma,1363,presidente
10362,,"{'UNE': 142, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 47, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 0, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 0}",37,46,313,0,Algún campo sin dato,8.Totonicapán,7.Santa Lucía La Reforma,1363,presidente
10363,,"{'UNE': 127, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 37, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",25,52,297,0,Algún campo sin dato,8.Totonicapán,7.Santa Lucía La Reforma,1363,presidente
10364,,"{'UNE': 117, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 42, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",18,54,286,0,Algún campo sin dato,8.Totonicapán,7.Santa Lucía La Reforma,1363,presidente
