mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
10388,,"{'UNE': 44, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 1, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 45, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",41,44,250,0,Algún campo sin dato,8.Totonicapán,8.San Bartolo,1367,presidente
10389,,"{'UNE': 56, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 43, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",59,56,298,0,Sumas Asentadas sin cuadrar,8.Totonicapán,8.San Bartolo,1367,presidente
10390,,"{'UNE': 71, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 5, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 60, 'VIVA': 26, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",39,49,293,1,Algún campo sin dato,8.Totonicapán,8.San Bartolo,1367,presidente
10391,,"{'UNE': 67, 'AZUL': 3, 'VALOR UNIONISTA': 4, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 56, 'VIVA': 25, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 5}",72,52,319,124,Sumas Asentadas sin cuadrar,8.Totonicapán,8.San Bartolo,1367,presidente
10392,,"{'UNE': 63, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 78, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",61,47,300,0,Algún campo sin dato,8.Totonicapán,8.San Bartolo,1367,presidente
10393,,"{'UNE': 62, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 2, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 42, 'VIVA': 26, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",52,49,275,0,Algún campo sin dato,8.Totonicapán,8.San Bartolo,1367,presidente
10394,,"{'UNE': 69, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 3, 'TODOS': 4, 'VAMOS': 5, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 65, 'VIVA': 22, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 4}",33,59,293,0,Algún campo sin dato,8.Totonicapán,8.San Bartolo,1367,presidente
10395,,"{'UNE': 54, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 61, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",22,42,249,0,Algún campo sin dato,8.Totonicapán,8.San Bartolo,1367,presidente
10396,,"{'UNE': 48, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 8, 'TODOS': 3, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 19, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 40, 'VIVA': 32, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 12}",25,44,253,0,Algún campo sin dato,8.Totonicapán,8.San Bartolo,1367,presidente
10397,,"{'UNE': 37, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 5, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 56, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",26,52,260,0,Algún campo sin dato,8.Totonicapán,8.San Bartolo,1368,presidente
