mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
10407,,"{'UNE': 9, 'AZUL': 6, 'VALOR UNIONISTA': 27, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 7, 'PHG': 1, 'PR': 7, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 89, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 7, 'CREO': 3, 'BIEN': 10, 'VIVA': 5, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 46}",1,31,290,0,Algún campo sin dato,9.Quetzaltenango,1.Quetzaltenango,1373,presidente
10408,,"{'UNE': 5, 'AZUL': 7, 'VALOR UNIONISTA': 22, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 9, 'PHG': 6, 'PR': 0, 'PIN': 0, 'ELEFANTE': 8, 'VICTORIA': 5, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 8, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 12, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 53}",2,28,235,0,Sumas Asentadas sin cuadrar,9.Quetzaltenango,1.Quetzaltenango,1373,presidente
10409,,"{'UNE': 20, 'AZUL': 6, 'VALOR UNIONISTA': 21, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 6, 'PHG': 2, 'PR': 5, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 76, 'FCN-NACION': 2, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 7, 'VIVA': 8, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 51}",4,28,285,0,Sumas Asentadas sin cuadrar,9.Quetzaltenango,1.Quetzaltenango,1373,presidente
10410,,"{'UNE': 15, 'AZUL': 7, 'VALOR UNIONISTA': 24, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 5, 'PHG': 3, 'PR': 9, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 85, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 10, 'VIVA': 8, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 54}",0,22,292,0,Algún campo sin dato,9.Quetzaltenango,1.Quetzaltenango,1373,presidente
10411,,"{'UNE': 15, 'AZUL': 3, 'VALOR UNIONISTA': 24, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 6, 'PHG': 3, 'PR': 6, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 74, 'FCN-NACION': 0, 'PPN': 5, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 12, 'VIVA': 9, 'MI FAMILIA': 4, 'CAMBIO': 3, 'VOS': 54}",2,22,286,0,Algún campo sin dato,9.Quetzaltenango,1.Quetzaltenango,1373,presidente
10412,,"{'UNE': 14, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 3, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 73, 'FCN-NACION': 0, 'PPN': 0, 'UR': 7, 'URNG-MAIZ WINAQ': 9, 'CREO': 3, 'BIEN': 11, 'VIVA': 6, 'MI FAMILIA': 8, 'CAMBIO': 3, 'VOS': 55}",2,29,283,0,Sumas Asentadas sin cuadrar,9.Quetzaltenango,1.Quetzaltenango,1373,presidente
10413,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 3, 'PHG': 3, 'PR': 4, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 75, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 19, 'VIVA': 8, 'MI FAMILIA': 4, 'CAMBIO': 2, 'VOS': 42}",3,27,256,0,Algún campo sin dato,9.Quetzaltenango,1.Quetzaltenango,1374,presidente
10414,,"{'UNE': 13, 'AZUL': 3, 'VALOR UNIONISTA': 21, 'CABAL': 18, 'TODOS': 2, 'VAMOS': 12, 'PHG': 5, 'PR': 6, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 62, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 10, 'VIVA': 3, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 46}",1,24,249,0,Algún campo sin dato,9.Quetzaltenango,1.Quetzaltenango,1374,presidente
10415,,"{'UNE': 12, 'AZUL': 10, 'VALOR UNIONISTA': 20, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 5, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 65, 'FCN-NACION': 3, 'PPN': 1, 'UR': 7, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 7, 'VIVA': 7, 'MI FAMILIA': 8, 'CAMBIO': 3, 'VOS': 56}",3,17,266,0,Algún campo sin dato,9.Quetzaltenango,1.Quetzaltenango,1374,presidente
10416,,"{'UNE': 11, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 7, 'PHG': 1, 'PR': 6, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 87, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 15, 'VIVA': 9, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 52}",0,27,272,0,Algún campo sin dato,9.Quetzaltenango,1.Quetzaltenango,1374,presidente
10417,,"{'UNE': 12, 'AZUL': 2, 'VALOR UNIONISTA': 22, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 8, 'PHG': 2, 'PR': 8, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 1, 'SEMILLA': 70, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 9, 'CREO': 3, 'BIEN': 17, 'VIVA': 6, 'MI FAMILIA': 6, 'CAMBIO': 5, 'VOS': 51}",0,20,272,0,Algún campo sin dato,9.Quetzaltenango,1.Quetzaltenango,1374,presidente
10418,,"{'UNE': 9, 'AZUL': 4, 'VALOR UNIONISTA': 28, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 78, 'FCN-NACION': 2, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 7, 'VIVA': 3, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 48}",1,27,264,0,Algún campo sin dato,9.Quetzaltenango,1.Quetzaltenango,1374,presidente
10419,,"{'UNE': 19, 'AZUL': 7, 'VALOR UNIONISTA': 8, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 9, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 9, 'SEMILLA': 98, 'FCN-NACION': 0, 'PPN': 0, 'UR': 6, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 14, 'VIVA': 6, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 46}",0,23,289,0,Algún campo sin dato,9.Quetzaltenango,1.Quetzaltenango,1374,presidente
