mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11011,,"{'UNE': 18, 'AZUL': 1, 'VALOR UNIONISTA': 18, 'CABAL': 18, 'TODOS': 2, 'VAMOS': 24, 'PHG': 6, 'PR': 2, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 30, 'FCN-NACION': 1, 'PPN': 8, 'UR': 6, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 10, 'VIVA': 29, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 27}",21,60,305,0,Algún campo sin dato,9.Quetzaltenango,10.San Mateo,1470,presidente
11012,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 21, 'CABAL': 16, 'TODOS': 3, 'VAMOS': 21, 'PHG': 5, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 14, 'SEMILLA': 38, 'FCN-NACION': 2, 'PPN': 8, 'UR': 0, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 5, 'VIVA': 23, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 31}",22,0,253,64,Sumas Asentadas sin cuadrar,9.Quetzaltenango,10.San Mateo,1470,presidente
11013,,"{'UNE': 19, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 9, 'TODOS': 3, 'VAMOS': 25, 'PHG': 6, 'PR': 2, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 10, 'SEMILLA': 48, 'FCN-NACION': 4, 'PPN': 15, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 7, 'VIVA': 27, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 25}",21,74,327,0,Algún campo sin dato,9.Quetzaltenango,10.San Mateo,1470,presidente
11014,,"{'UNE': 15, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 12, 'TODOS': 13, 'VAMOS': 18, 'PHG': 3, 'PR': 4, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 11, 'SEMILLA': 47, 'FCN-NACION': 4, 'PPN': 15, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 9, 'VIVA': 19, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 34}",31,51,321,0,Algún campo sin dato,9.Quetzaltenango,10.San Mateo,1470,presidente
11015,,"{'UNE': 28, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 15, 'PHG': 6, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 12, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 8, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 40}",17,49,287,0,Algún campo sin dato,9.Quetzaltenango,10.San Mateo,1470,presidente
11016,,"{'UNE': 13, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 15, 'TODOS': 5, 'VAMOS': 22, 'PHG': 9, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 45, 'FCN-NACION': 1, 'PPN': 10, 'UR': 5, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 12, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 28}",19,47,287,0,Algún campo sin dato,9.Quetzaltenango,10.San Mateo,1470,presidente
11017,,"{'UNE': 16, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 19, 'TODOS': 3, 'VAMOS': 18, 'PHG': 3, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 47, 'FCN-NACION': 3, 'PPN': 12, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 9, 'VIVA': 31, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 32}",16,48,294,0,,9.Quetzaltenango,10.San Mateo,1470,presidente
11018,,"{'UNE': 18, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 15, 'TODOS': 3, 'VAMOS': 13, 'PHG': 4, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 10, 'SEMILLA': 40, 'FCN-NACION': 0, 'PPN': 15, 'UR': 5, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 9, 'VIVA': 34, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 27}",27,56,302,0,Algún campo sin dato,9.Quetzaltenango,10.San Mateo,1470,presidente
11019,,"{'UNE': 23, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 15, 'TODOS': 4, 'VAMOS': 9, 'PHG': 11, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 10, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 9, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 11, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 40}",26,67,321,0,Algún campo sin dato,9.Quetzaltenango,10.San Mateo,1470,presidente
11020,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 9, 'TODOS': 2, 'VAMOS': 20, 'PHG': 5, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 88, 'FCN-NACION': 2, 'PPN': 13, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 12, 'VIVA': 20, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 30}",15,48,311,0,Algún campo sin dato,9.Quetzaltenango,10.San Mateo,1471,presidente
11021,,"{'UNE': 11, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 17, 'PHG': 3, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 97, 'FCN-NACION': 1, 'PPN': 5, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 16, 'VIVA': 26, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 25}",10,32,293,0,Algún campo sin dato,9.Quetzaltenango,10.San Mateo,1471,presidente
11022,,"{'UNE': 14, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 21, 'TODOS': 3, 'VAMOS': 20, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 100, 'FCN-NACION': 0, 'PPN': 9, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 6, 'VIVA': 24, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 26}",0,0,254,0,Algún campo sin dato,9.Quetzaltenango,10.San Mateo,1471,presidente
11023,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 10, 'TODOS': 4, 'VAMOS': 23, 'PHG': 5, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 80, 'FCN-NACION': 1, 'PPN': 10, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 7, 'VIVA': 39, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 19}",7,43,287,0,Algún campo sin dato,9.Quetzaltenango,10.San Mateo,1471,presidente
11024,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 15, 'TODOS': 4, 'VAMOS': 16, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 10, 'SEMILLA': 54, 'FCN-NACION': 2, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 5, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 14}",9,35,224,0,Sumas Asentadas sin cuadrar,9.Quetzaltenango,10.San Mateo,1471,presidente
