mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11025,,"{'UNE': 20, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 10, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 18, 'SEMILLA': 30, 'FCN-NACION': 0, 'PPN': 7, 'UR': 1, 'URNG-MAIZ WINAQ': 18, 'CREO': 1, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 39}",15,44,251,0,Algún campo sin dato,9.Quetzaltenango,11.Concepción Chiquirichapa,1472,presidente
11026,,"{'UNE': 22, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 20, 'TODOS': 2, 'VAMOS': 7, 'PHG': 2, 'PR': 0, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 11, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 8, 'UR': 3, 'URNG-MAIZ WINAQ': 15, 'CREO': 1, 'BIEN': 0, 'VIVA': 10, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 25}",38,32,238,0,Algún campo sin dato,9.Quetzaltenango,11.Concepción Chiquirichapa,1472,presidente
11027,,"{'UNE': 13, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 11, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 11, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 17, 'CREO': 2, 'BIEN': 1, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 30}",18,47,247,0,Algún campo sin dato,9.Quetzaltenango,11.Concepción Chiquirichapa,1473,presidente
11028,,"{'UNE': 11, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 12, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 12, 'SEMILLA': 23, 'FCN-NACION': 2, 'PPN': 11, 'UR': 3, 'URNG-MAIZ WINAQ': 16, 'CREO': 4, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 26}",29,33,222,0,Algún campo sin dato,9.Quetzaltenango,11.Concepción Chiquirichapa,1473,presidente
11029,,"{'UNE': 9, 'AZUL': 5, 'VALOR UNIONISTA': 4, 'CABAL': 13, 'TODOS': 3, 'VAMOS': 12, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 18, 'SEMILLA': 16, 'FCN-NACION': 3, 'PPN': 20, 'UR': 4, 'URNG-MAIZ WINAQ': 12, 'CREO': 3, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 21}",30,34,221,0,Algún campo sin dato,9.Quetzaltenango,11.Concepción Chiquirichapa,1473,presidente
11030,,"{'UNE': 11, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 12, 'TODOS': 2, 'VAMOS': 15, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 12, 'UR': 4, 'URNG-MAIZ WINAQ': 16, 'CREO': 2, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 29}",22,40,219,0,Algún campo sin dato,9.Quetzaltenango,11.Concepción Chiquirichapa,1473,presidente
11031,,"{'UNE': 20, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 12, 'TODOS': 2, 'VAMOS': 18, 'PHG': 2, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 22, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 15, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 13}",19,26,201,0,Algún campo sin dato,9.Quetzaltenango,11.Concepción Chiquirichapa,1474,presidente
11032,,"{'UNE': 10, 'AZUL': 5, 'VALOR UNIONISTA': 14, 'CABAL': 7, 'TODOS': 2, 'VAMOS': 8, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 12, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 10, 'UR': 4, 'URNG-MAIZ WINAQ': 24, 'CREO': 1, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 25}",29,42,238,0,Algún campo sin dato,9.Quetzaltenango,11.Concepción Chiquirichapa,1474,presidente
11033,,"{'UNE': 8, 'AZUL': 3, 'VALOR UNIONISTA': 5, 'CABAL': 25, 'TODOS': 5, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 11, 'SEMILLA': 34, 'FCN-NACION': 1, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 21, 'CREO': 0, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 28}",28,44,239,0,Algún campo sin dato,9.Quetzaltenango,11.Concepción Chiquirichapa,1474,presidente
11034,,"{'UNE': 7, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 30, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 6, 'UR': 1, 'URNG-MAIZ WINAQ': 15, 'CREO': 1, 'BIEN': 4, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 27}",4,29,181,0,Algún campo sin dato,9.Quetzaltenango,11.Concepción Chiquirichapa,1474,presidente
