mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11050,,"{'UNE': 23, 'AZUL': 60, 'VALOR UNIONISTA': 5, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 24, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 3, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 13, 'CREO': 2, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",78,44,290,0,Algún campo sin dato,9.Quetzaltenango,12.San Martín Sacatepéquez,1478,presidente
11051,,"{'UNE': 34, 'AZUL': 72, 'VALOR UNIONISTA': 8, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 15, 'CREO': 0, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",84,56,332,0,Algún campo sin dato,9.Quetzaltenango,12.San Martín Sacatepéquez,1478,presidente
11052,,"{'UNE': 28, 'AZUL': 78, 'VALOR UNIONISTA': 8, 'CABAL': 6, 'TODOS': 4, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 11, 'CREO': 0, 'BIEN': 1, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",81,45,313,0,Algún campo sin dato,9.Quetzaltenango,12.San Martín Sacatepéquez,1478,presidente
11053,,"{'UNE': 10, 'AZUL': 45, 'VALOR UNIONISTA': 18, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 41, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",107,38,289,0,Algún campo sin dato,9.Quetzaltenango,12.San Martín Sacatepéquez,1478,presidente
11054,,"{'UNE': 12, 'AZUL': 47, 'VALOR UNIONISTA': 8, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 0, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 8}",52,56,256,0,Algún campo sin dato,9.Quetzaltenango,12.San Martín Sacatepéquez,1479,presidente
11055,,"{'UNE': 20, 'AZUL': 45, 'VALOR UNIONISTA': 8, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 24, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 3, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",52,48,266,0,Algún campo sin dato,9.Quetzaltenango,12.San Martín Sacatepéquez,1479,presidente
11056,,"{'UNE': 7, 'AZUL': 43, 'VALOR UNIONISTA': 5, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 1, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",35,35,191,0,Algún campo sin dato,9.Quetzaltenango,12.San Martín Sacatepéquez,1479,presidente
11057,,"{'UNE': 8, 'AZUL': 43, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 2, 'VAMOS': 24, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",37,44,196,0,Algún campo sin dato,9.Quetzaltenango,12.San Martín Sacatepéquez,1479,presidente
11058,,"{'UNE': 38, 'AZUL': 7, 'VALOR UNIONISTA': 22, 'CABAL': 5, 'TODOS': 3, 'VAMOS': 30, 'PHG': 3, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 16, 'CREO': 6, 'BIEN': 0, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",39,33,250,0,Algún campo sin dato,9.Quetzaltenango,12.San Martín Sacatepéquez,1480,presidente
11059,,"{'UNE': 33, 'AZUL': 18, 'VALOR UNIONISTA': 36, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 4, 'UR': 5, 'URNG-MAIZ WINAQ': 11, 'CREO': 3, 'BIEN': 0, 'VIVA': 32, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",50,38,278,0,Algún campo sin dato,9.Quetzaltenango,12.San Martín Sacatepéquez,1480,presidente
11060,,"{'UNE': 45, 'AZUL': 10, 'VALOR UNIONISTA': 14, 'CABAL': 6, 'TODOS': 2, 'VAMOS': 34, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 3, 'SEMILLA': 0, 'FCN-NACION': 2, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",52,50,269,0,Algún campo sin dato,9.Quetzaltenango,12.San Martín Sacatepéquez,1480,presidente
